Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-001,3DS Flow & Successful 3DS Challenge Completion via Datman SDK,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS authentication is enabled for the merchant
- An Cardstream 3DS challenge test card is available in the test environment
- A valid test merchant with SplitFee capability is configured","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
SplitFee: one entry with a valid partner merchant configured in the environment; split value less than the total Amount; value_type set to amount
Card: an Adyen-provided 3DS challenge test card as per Cardstream test card documentation","1. Build and POST the Create Session payload to the Datman SDK Create Session endpoint through SDK App
2. Verify the response returns a valid session_id.
3. Use the session_id to initialise the Datman SDK payment form in the browser.
4. Verify the payment form renders and displays the correct Amount.
5. Enter the 3DS challenge test card details and submit.
6. Verify the 3DS challenge screen is presented.
7. Complete the 3DS challenge via the Cardstream test simulator (authorise).
8. Verify the shopper is redirected to the configured RedirectUrl.
9. Confirm the payment status is approved in the webhook notification.
10. Confirm SplitFee is reflected in the transaction.","1. Create Session returns a valid session_id.
2. Datman SDK payment form loads and displays the correct Amount.
3. 3DS challenge screen is presented after card submission.
4. On successful completion: payment is approved and PSP reference is generated.
5. Shopper is redirected to the configured RedirectUrl.
6. Webhook is delivered to the configured WebhookUrl with payment approved status.
7. SplitFee is reflected in the transaction details as per the configured split.

DB Validation — payments table (1 entry — Saved Card 3DS Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_method_id : 1 (Saved Card)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - country_code / currency_code : As per merchant region (e.g. GB / GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway (e.g. 26032311KZ24TW19PQ59RSQ)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - source_ip : IP address of the request
   - last_4_digits : Last 4 digits of the card used (e.g. 0821)
   - firstname / lastname / email_address / address : As per payload
   - master_token_id : NULL (saved card — token is created after the sale, not before)
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing (e.g. 122468)
   - TxAuthNo : Auth number returned by Cardstream gateway (e.g. 777205)
   - delete_status : 0, withdrawn_status : 0
   - transaction_mode_id : 2 (3DS authenticated)

DB Validation — master_token table:
-> Verify ONE entry created after successful sale with:
   - token : Generated master_token for this card / customer
   - customer_id : shopper_id from payload
   - merchant_id : merchant_id from payload
   - last_4_digits : Last 4 digits of card used
   - delete_status : 0 (active)","3ds_flow, create_session, datman_sdk",P0,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-002,3DS Flow & Frictionless 3DS Completion (No Challenge Screen) via Datman SDK,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS frictionless flow is enabled for the merchant
- An Cardstream frictionless 3DS test card is available in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided frictionless 3DS test card as per Cardstream test card documentation","1. Build and POST the Create Session payload to the Datman SDK Create Session endpoint.
2. Verify the response returns a valid session_id.
3. Use the session_id to load the Datman SDK payment form.
4. Enter the frictionless 3DS test card details and submit.
5. Observe that no 3DS challenge screen is presented.
6. Verify the shopper is redirected to the configured RedirectUrl without interruption.
7. Confirm the payment is approved.","1. Create Session returns a valid session_id.
2. Payment form submits without presenting a 3DS challenge screen.
3. Payment is approved in a frictionless manner with a PSP reference generated.
4. Shopper is redirected to the configured RedirectUrl.
5. Webhook is delivered with payment approved status and the correct Amount.

DB Validation — payments table (1 entry — Saved Card 3DS Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_method_id : 1 (Saved Card)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - country_code / currency_code : As per merchant region (e.g. GB / GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway (e.g. 26032311KZ24TW19PQ59RSQ)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - source_ip : IP address of the request
   - last_4_digits : Last 4 digits of the card used (e.g. 0821)
   - firstname / lastname / email_address / address : As per payload
   - master_token_id : NULL (saved card — token is created after the sale, not before)
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing (e.g. 122468)
   - TxAuthNo : Auth number returned by Cardstream gateway (e.g. 777205)
   - delete_status : 0, withdrawn_status : 0
   - transaction_mode_id : 2 (3DS authenticated)

DB Validation — master_token table:
-> Verify ONE entry created after successful sale with:
   - token : Generated master_token for this card / customer
   - customer_id : shopper_id from payload
   - merchant_id : merchant_id from payload
   - last_4_digits : Last 4 digits of card used
   - delete_status : 0 (active)","3ds_flow, frictionless, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-003,3DS Flow & Shopper Cancels 3DS Challenge; Redirected to CancelUrl,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS is enabled for the merchant
- An Cardstream 3DS challenge test card is available in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided 3DS challenge test card as per Cardstream test card documentation","1. Build and POST the Create Session payload to the Datman SDK Create Session endpoint.
2. Verify the response returns a valid session_id.
3. Load the Datman SDK payment form using the session_id.
4. Enter the 3DS challenge card details and submit.
5. On the 3DS challenge screen, select Cancel or Refuse authentication.
6. Verify the shopper is redirected to the configured CancelUrl.
7. Confirm that no payment has been charged.","1. Create Session returns a valid session_id.
2. 3DS challenge screen is presented after card submission.
3. On cancellation: shopper is redirected to the configured CancelUrl.
4. No payment is charged and no approved PSP reference is generated.
5. Webhook (if configured for declined/cancelled events) reflects a declined or cancelled status.

DB Validation — payments table (1 entry — Saved Card 3DS Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_method_id : 1 (Saved Card)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - country_code / currency_code : As per merchant region (e.g. GB / GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway (e.g. 26032311KZ24TW19PQ59RSQ)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - source_ip : IP address of the request
   - last_4_digits : Last 4 digits of the card used (e.g. 0821)
   - firstname / lastname / email_address / address : As per payload
   - master_token_id : NULL (saved card — token is created after the sale, not before)
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing (e.g. 122468)
   - TxAuthNo : Auth number returned by Cardstream gateway (e.g. 777205)
   - delete_status : 0, withdrawn_status : 0
   - transaction_mode_id : 2 (3DS authenticated)","3ds_flow, cancel, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-004,3DS Flow & 3DS Authentication Refused by Shopper Results in Decline,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS is enabled for the merchant
- An Cardstream 3DS refuse test card is available in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided 3DS refuse test card as per Cardstream test card documentation","1. Build and POST the Create Session payload to the Datman SDK Create Session endpoint.
2. Verify the response returns a valid session_id.
3. Load the Datman SDK payment form using the session_id.
4. Enter the 3DS refuse test card details and submit.
5. When the 3DS challenge screen appears, select Refuse.
6. Capture the payment form response and any redirect behaviour.
7. Confirm the transaction is declined.","1. Create Session returns a valid session_id.
2. 3DS challenge screen is presented.
3. On refusal: payment is declined; no approved PSP reference is generated.
4. Payment form displays an appropriate decline message.
5. Shopper is redirected to the configured CancelUrl.
6. No amount is charged.

DB Validation — payments table:
-> Verify NO entry is created in the payments table
-> The invalid input / failed validation is caught before reaching the Cardstream gateway
-> API returns an error response without persisting any record","3ds_flow, decline, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-005,3DS Flow & Session Expires Before Shopper Completes 3DS Challenge,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- Session TTL is defined and active in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided 3DS challenge test card as per Cardstream test card documentation
Wait period: allow the session TTL to elapse before completing the 3DS challenge","1. Build and POST the Create Session payload and note the session_id.
2. Load the Datman SDK payment form and begin card entry.
3. Wait without submitting until the session TTL has elapsed.
4. Attempt to submit the payment after the session has expired.
5. Observe the payment form or API response.
6. Confirm no payment is processed.","1. Payment form displays a session expiry message prompting the shopper to restart checkout.
2. API returns HTTP 401 Unauthorised or HTTP 410 Gone.
3. No payment is processed and no PSP reference is generated.
4. Shopper is prompted to restart or is redirected to the configured backurl or CancelUrl.

DB Validation — payments table:
-> Verify NO entry is created in the payments table
-> The invalid input / failed validation is caught before reaching the Cardstream gateway
-> API returns an error response without persisting any record","3ds_flow, session_expiry, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-006,3DS Flow & Network Drop/Throttling During 3DS Challenge Results in Pending or Failed State,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS is enabled for the merchant
- Network simulation capability is available in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided 3DS challenge test card as per Cardstream test card documentation
Network condition: simulate a network drop after the 3DS challenge screen loads","1. Build and POST the Create Session payload and note the session_id.
2. Load the Datman SDK payment form and submit the card to trigger the 3DS challenge.
3. Once the 3DS challenge screen is visible, simulate a network interruption.
4. Observe the payment form behaviour after the network drop.
5. Restore network connectivity and check the transaction state.
6. Confirm how the system handles the incomplete 3DS authentication.","1. Payment form displays a timeout or network error message.
2. Transaction is recorded in a pending or failed state; no successful PSP reference is generated.
3. No amount is charged to the shopper.
4. Session remains in an incomplete state and cannot be reused for a new charge.
5. Shopper can restart checkout by creating a new session.

DB Validation — payments table:
-> Verify NO entry is created in the payments table
-> The invalid input / failed validation is caught before reaching the Cardstream gateway
-> API returns an error response without persisting any record","3ds_flow, network_drop, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-007,3DS Flow & Wrong OTP Entered During 3DS Challenge Results in Authentication Failure,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS challenge flow requires OTP entry in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided 3DS challenge test card requiring OTP as per Cardstream test card documentation","1. Build and POST the Create Session payload and note the session_id.
2. Load the Datman SDK payment form and submit the card.
3. When the 3DS challenge OTP screen appears, enter an incorrect OTP.
4. Capture the challenge screen response and any error messaging.
5. Confirm the transaction outcome.","1. 3DS challenge screen rejects the incorrect OTP and displays an authentication failure message.
2. Payment is declined; no approved PSP reference is generated.
3. No amount is charged to the shopper.
4. Shopper is informed of the authentication failure on the payment form.

DB Validation — payments table:
-> Verify NO entry is created in the payments table
-> The invalid input / failed validation is caught before reaching the Cardstream gateway
-> API returns an error response without persisting any record","3ds_flow, otp_failure, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-011,3DS Flow & SplitFee Correctly Distributed After Successful 3DS Approval,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS is enabled for the merchant
- A valid partner merchant with SplitFee capability is configured in the environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
SplitFee: one entry with a valid partner merchant; split value less than the total Amount; value_type set to amount
Card: an Adyen-provided 3DS challenge test card as per Cardstream test card documentation","1. Build and POST the Create Session payload including the SplitFee entry.
2. Complete the 3DS challenge flow successfully as per NC-3DS-SDK-001.
3. Capture the PSP reference from the approved transaction.
4. Verify the webhook payload includes the SplitFee breakdown.
5. Confirm the split value is allocated to the configured partner merchant.
6. Confirm the remaining net amount is allocated to the primary merchant.","1. Transaction is approved with a valid PSP reference.
2. Webhook payload includes SplitFee details reflecting the configured split.
3. Split value is correctly allocated to the partner merchant.
4. Remaining net amount (total Amount minus split value minus platform fee) is allocated to the primary merchant.
5. No errors related to split fee processing are returned.

DB Validation — payments table (1 entry — Saved Card 3DS Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_method_id : 1 (Saved Card)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - country_code / currency_code : As per merchant region (e.g. GB / GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway (e.g. 26032311KZ24TW19PQ59RSQ)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - source_ip : IP address of the request
   - last_4_digits : Last 4 digits of the card used (e.g. 0821)
   - firstname / lastname / email_address / address : As per payload
   - master_token_id : NULL (saved card — token is created after the sale, not before)
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing (e.g. 122468)
   - TxAuthNo : Auth number returned by Cardstream gateway (e.g. 777205)
   - delete_status : 0, withdrawn_status : 0
   - transaction_mode_id : 2 (3DS authenticated)

DB Validation — payments table — Split Partner Sale entry:
-> Verify ONE entry per split partner with:
   - order_ref : <order_id>SC<split_commission_id> (e.g. 519626099SC36018993)
   - merchant_id : Partner merchant_id (from split_fee payload)
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 2 (3DS — matches main sale)
   - transaction_method_id : 1 (Saved Card)
   - gross : Split amount as per split_fee value
   - fee : 0 (partner split rows carry no fee unless configured)
   - net : Same as gross
   - psp_reference : Same as main sale psp_reference
   - internal_reference : Same as main sale (O<order_id>M<merchant_id>T<payment_id>)
   - source_ip : Same as main sale
   - last_4_digits : Same as main sale
   - TxAuthNo : Same as main sale
   - master_token_id : NULL
   - shopper_id : Same as main sale
   - cs_mid : Cardstream MID (122468)
   - delete_status : 0, withdrawn_status : 0

DB Validation — payments_split_commission table:
-> Verify entry per split with commission_type_id, partner_merchant_id, amount as per split_fee payload

DB Validation — master_token table:
-> Verify ONE entry created after successful sale with:
   - token : Generated master_token for this card / customer
   - customer_id : shopper_id from payload
   - merchant_id : merchant_id from payload
   - last_4_digits : Last 4 digits of card used
   - delete_status : 0 (active)","3ds_flow, split_fee, create_session, datman_sdk",P1,Pending,UK,NA,NA
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-013,3DS Flow & Back Navigation During 3DS Challenge Redirects to BackUrl,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS is enabled for the merchant
- backurl is configured in the Create Session payload","Create Session Payload: all required fields populated with valid test-environment values including a valid backurl
Amount: a valid value below 40
Card: an Adyen-provided 3DS challenge test card as per Cardstream test card documentation","1. Build and POST the Create Session payload including a valid backurl.
2. Load the Datman SDK payment form using the session_id.
3. Submit the card to trigger the 3DS challenge.
4. On the 3DS challenge screen, use the browser back button or any available back navigation.
5. Observe the redirect behaviour.
6. Confirm no payment is processed.","1. Shopper is redirected to the configured backurl after using back navigation on the 3DS challenge screen.
2. No payment is charged and no approved PSP reference is generated.
3. Shopper can initiate a new checkout from the backurl destination.

DB Validation — payments table (1 entry — Saved Card 3DS Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_method_id : 1 (Saved Card)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - country_code / currency_code : As per merchant region (e.g. GB / GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway (e.g. 26032311KZ24TW19PQ59RSQ)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - source_ip : IP address of the request
   - last_4_digits : Last 4 digits of the card used (e.g. 0821)
   - firstname / lastname / email_address / address : As per payload
   - master_token_id : NULL (saved card — token is created after the sale, not before)
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing (e.g. 122468)
   - TxAuthNo : Auth number returned by Cardstream gateway (e.g. 777205)
   - delete_status : 0, withdrawn_status : 0
   - transaction_mode_id : 2 (3DS authenticated)","3ds_flow, back_navigation, backurl, create_session, datman_sdk",P1,Automated,UK,NA,CS_SC_TC_011_back_button_validation_sanity.spec.js
Cardstream Saved Card,Saved Card - 3DS Flow,SC-3DS,SC-3DS-014,3DS Flow & Incompatible Card (Non-3DS-Enrolled) Handled Gracefully,"- MID is pointed to Cardstream
- Datman SDK Create Session endpoint is active
- 3DS is enabled for the merchant
- An Cardstream test card that is not enrolled in 3DS is available in the test environment","Create Session Payload: all required fields populated with valid test-environment values
Amount: a valid value below 40
Card: an Adyen-provided test card that is not enrolled in 3DS as per Cardstream test card documentation","1. Build and POST the Create Session payload.
2. Load the Datman SDK payment form using the session_id.
3. Submit the non-3DS-enrolled test card.
4. Observe the system's handling of the card that cannot complete 3DS authentication.
5. Confirm the transaction outcome.","1. System detects the card is not enrolled in 3DS.
2. If 3DS is mandatory: payment is declined with an appropriate message; no PSP reference is generated; no amount is charged.
3. If 3DS exemption is permitted: payment proceeds without 3DS and completes successfully with a PSP reference.
4. Shopper receives a clear message reflecting the outcome.
5. Webhook reflects the correct final status.

DB Validation — payments table (1 entry — Saved Card Non-3DS Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_method_id : 1 (Saved Card)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - country_code / currency_code : As per merchant region (e.g. GB / GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway (e.g. 26032311KZ24TW19PQ59RSQ)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - source_ip : IP address of the request
   - last_4_digits : Last 4 digits of the card used (e.g. 0821)
   - firstname / lastname / email_address / address : As per payload
   - master_token_id : NULL (saved card — token is created after the sale, not before)
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing (e.g. 122468)
   - TxAuthNo : Auth number returned by Cardstream gateway (e.g. 777205)
   - delete_status : 0, withdrawn_status : 0
   - transaction_mode_id : 1 (Non-3DS)

DB Validation — master_token table:
-> Verify ONE entry created after successful sale with:
   - token : Generated master_token for this card / customer
   - customer_id : shopper_id from payload
   - merchant_id : merchant_id from payload
   - last_4_digits : Last 4 digits of card used
   - delete_status : 0 (active)","3ds_flow, non_enrolled, create_session, datman_sdk",P1,Pending,UK,NA,NA
