Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation status,Countries applicable,Partners applicable,Automation mapped TC
Gift Card,Purchase,GC-PUR-CORE,GC-PUR-001,Purchase gift card with new card (UK merchant),"- Merchant configured in Adyen
- Gift card functionality enabled
- Country: UK (country_id: 1)
- Currency: GBP
- Payment provider: Adyen (payment_provider_id: 5)
- New card details available","- Merchant ID: Valid UK merchant
- Card: New Visa card (4111111111111111)
- Amount: £50.00
- Gift card code: Auto-generated
- Order reference: Unique order_ref","1. Customer initiates gift card purchase
2. Enters new card details (Visa 4111...)
3. Enters gift card amount: £50.00
4. Completes 3DS authentication (if required)
5. Confirms purchase","1. Payment SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 1 (new card)
-> transaction_mode_id: 1 or 2 (3DS status)
-> country_code: GBP
-> gross: £50.00
-> fee: £0.50
-> net: £49.50
-> payment_provider_id: 5 (Adyen)
-> order_ref: Unique reference

Database - master_token table:
-> scheme_name: 'visa'
-> last_4_digit: '1111'
-> three_ds_status: 0 or 1
-> delete_status: 0
-> provider: 5 (Adyen)

Database - gift_card_transactions table:
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated unique code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated gift card code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_issuer: Issuer info
-> created_at: Timestamp
-> Gift card created successfully
-> merchant_id: Merchant ID

2. Customer receives gift card code ✓
3. Gift card ready for redemption ✓",gift_card;purchase;new_card;uk;adyen;positive_test,P1,Automated,"UK, US",NA,AD_NC_TC_076_uk_gift_card_sale_full_redemption.spec
Gift Card,Purchase,GC-PUR-CORE,GC-PUR-002,Purchase gift card with saved card (UK merchant),"- Merchant configured in Adyen
- Gift card functionality enabled
- Customer has saved card token
- master_token table entry exists
- delete_status: 0 (active)","- Merchant ID: Valid UK merchant
- Saved card token: Valid Adyen token
- Amount: £100.00
- Card: Saved Visa (last 4 digits: 1234)","1. Customer selects saved card for purchase
2. Enters gift card amount: £100.00
3. Confirms CVV (if required)
4. Completes purchase","1. Payment SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 2 (saved card)
-> master_token_id: Links to master_token.id
-> gross: £100.00
-> fee: £1.00
-> net: £99.00

Database - master_token table:
-> token: Existing Adyen token
-> delete_status: 0 (active)
-> scheme_name: 'visa'

Database - gift_card_transactions table:
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated unique code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated gift card code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_issuer: Issuer info
-> created_at: Timestamp
-> Gift card created

2. Saved card used successfully ✓",gift_card;purchase;saved_card;token;positive_test,P1,Automated,UK. US,NA,AD_SC_TC_042_uk_gift_card_sale_partial_redemption.spec
Gift Card,Purchase,GC-PUR-CORE,GC-PUR-003,Purchase gift card from FH (Food Hub) account,"- FH merchant configured
- Gift card merchant for FH purchase exists
- Country configuration in country table
- FH merchant has balance/credit","- FH Merchant ID: FH merchant identifier
- Gift card merchant: Configured in country table
- Amount: £75.00
- Payment method: FH account","1. Purchase gift card through FH merchant
2. Pass FH merchant ID in payload
3. Specify gift card amount: £75.00
4. Complete FH account purchase","1. Purchase SUCCESSFUL ✓

Database - payments table:
-> merchant_id: FH merchant ID
-> transaction_status_id: 1 (success)
-> transaction_method_id: 7 (FH account)
-> gross: £75.00

Database - gift_card_transactions table:
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated unique code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated gift card code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_issuer: Issuer info
-> created_at: Timestamp
-> Gift card created via FH
-> merchant_id: FH merchant ID

2. FH account charged ✓
3. Gift card ready for redemption ✓",gift_card;purchase;fh_account;food_hub;positive_test,P1,Automated,"UK, US",NA,AD_SC_TC_042_uk_gift_card_sale_partial_redemption.spec
Gift Card,Purchase,GC-PUR-CORE,GC-PUR-005,Gift card Purchase - Complete E2E validation,"- All systems operational
- Merchant configured end-to-end
- Payment gateway active
- Gift card system active","- Merchant: UK merchant
- Card: Visa 4111111111111111
- Amount: £100.00
- 3DS: Required","1. Initiate purchase
2. Enter card details
3. Complete 3DS authentication
4. Verify payment processing
5. Verify gift card creation
6. Verify all database entries","1. Complete flow SUCCESSFUL ✓

Database - payments table:
-> All fields populated correctly
-> transaction_status_id: 1
-> psp_reference: Adyen reference

Database - master_token table:
-> Token created and stored
-> three_ds_status: 1

Database - gift_card_transactions table:
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated unique code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_transaction_type_id: 1 (PURCHASE)
-> gc_reference: Generated gift card code
-> amount: Purchase amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_issuer: Issuer info
-> created_at: Timestamp
-> Gift card created
-> All relationships linked

2. End-to-end validation PASSED ✓",gift_card;purchase;e2e;full_flow;positive_test,P1,Automated,"UK, US",NA,AD_NC_TC_055_us_gift_card_sale_full_redemption_from_fh.spec
Gift Card,Saved Card Purchase,GC-SAV-TOKEN,GC-SAV-001,Gift card purchase using saved card with valid token,"- Customer has saved card
- master_token table entry exists
- delete_status: 0 (active)
- Token valid in Adyen","- master_token_id: Valid token ID
- Card: Saved Visa (last 4: 1234)
- Amount: £75.00","1. Customer selects saved card
2. Enters gift card amount
3. Confirms purchase (CVV if required)","1. Purchase SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1
-> transaction_method_id: 2 (saved card)
-> master_token_id: Links to token

Database - master_token table:
-> token: Valid Adyen token
-> delete_status: 0
-> Used successfully

Database - gift_card_transactions table:

2. Saved card processed successfully ✓",gift_card;purchase;saved_card;token;positive_test,P1,Automated,"UK, US",NA,AD_SC_TC_038_us_gift_card_sale_full_redemption_from_fh.spec
Gift Card,Saved Card Purchase,GC-SAV-TOKEN,GC-SAV-002,Saved card purchase with expired token,"- Customer has saved card
- Token expired in Adyen
- master_token entry exists but token invalid","- master_token_id: Token ID
- Token: Expired Adyen token
- Amount: £50.00","1. Customer selects saved card
2. System attempts to use expired token
3. Adyen rejects expired token","1. Purchase FAILED ✓

Response:
-> Error: ""Saved card token expired""
-> Message: ""Please use a different card""

Database - payments table:
-> transaction_status_id: 2 (failed)
-> reason: ""Token expired""

Database - master_token table:
-> Token marked as invalid/expired

2. Customer prompted to add new card ✓",gift_card;saved_card;token_expired;negative_test,P2,Prod monitoring,"UK, US",NA,NA
Gift Card,Saved Card Purchase,GC-SAV-TOKEN,GC-SAV-003,Saved card purchase after card deletion,"- Card was previously saved
- Card deleted by customer
- delete_status: 1","- master_token_id: Deleted token
- delete_status: 1
- Amount: £50.00","1. Customer attempts to use deleted card
2. System checks delete_status
3. Rejects deleted card","1. Purchase REJECTED ✓

Response:
-> Error: ""Card no longer available""
-> Message: ""Please select a different card""

Database - master_token table:
-> delete_status: 1 (deleted)
-> Token not used

Database - payments table:
-> No entry created OR
-> transaction_status_id: 2 (failed)

2. Deleted card cannot be used ✓",gift_card;saved_card;deleted_card;validation;negative_test,P2,Pending,"UK, US",NA,NA
Gift Card,Saved Card Purchase,GC-SAV-TOKEN,GC-SAV-004,Saved card purchase with CVV required for security,"- Merchant requires CVV for saved cards
- CVV verification enabled
- Card saved without CVV stored","- Saved card: Visa ending 1234
- CVV: 123 (required)
- Amount: £100.00","1. Customer selects saved card
2. System prompts for CVV
3. Customer enters CVV
4. Purchase processed","1. CVV validation SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1
-> transaction_method_id: 2 (saved card)
-> CVV verified (not stored)

Database - gift_card_transactions table:

2. CVV requirement satisfied ✓
3. Purchase completed ✓",gift_card;saved_card;cvv_required;security;positive_test,P2,Automated,"UK, US",NA,AD_SC_TC_044_uk_gift_card_sale_full_redemption_from_fh.spec
Gift Card,Saved Card Purchase,GC-SAV-TOKEN,GC-SAV-005,Saved card purchase with token mismatch (security),"- Token ID doesn't match customer
- Security validation active
- Potential fraud attempt","- master_token_id: Token belonging to different customer
- shopper_id mismatch
- Amount: £50.00","1. Attempt to use another customer's token
2. System validates token ownership
3. Mismatch detected","1. Purchase BLOCKED ✓

Response:
-> Error: ""Invalid card token""
-> Security alert triggered

Database - payments table:
-> transaction_status_id: 2 (failed)
-> reason: ""Token validation failed""

2. Token ownership validated ✓
3. Security violation logged ✓
4. Customer prevented from using other's card ✓",gift_card;saved_card;token_mismatch;security;fraud;negative_test,P1,Pending,"UK, US",NA,NA
Gift Card,Redemption,GC-RED-CORE,GC-RED-001,Full redemption of gift card (complete balance),"- Gift card exists with balance
- gift_card_transactions table entry
- Status: Active
- Balance: £100.00","- Gift card code: Valid code
- Current balance: £100.00
- Redemption amount: £100.00 (full balance)
- Order total: £100.00","1. Customer enters gift card code
2. System validates gift card
3. Applies full balance: £100.00
4. Completes order","1. Redemption SUCCESSFUL ✓

Database - gift_card_transactions table:
-> gc_transaction_type_id: 2 (REDEEM)
-> gc_reference: Gift card code
-> amount: Redemption amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> gc_transaction_type_id: 2 (REDEEM)
-> gc_reference: Gift card code being redeemed
-> amount: Redemption amount
-> merchant_id: Merchant identifier
-> shopper_id: Customer identifier
-> payment_id: Links to payments.id
-> created_at: Timestamp



Balance Calculation (not stored, calculated from transactions):
-> Query all transactions for this gc_reference
-> Balance = PURCHASE amount - SUM(REDEEM amounts) + SUM(REFUND amounts)
-> Example: £100 (purchase) - £60 (redeemed) = £40 (current balance)
Database - payments table:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 8 (gift card)
-> gross: £100.00
-> fee: £0.00
-> net: £100.00

2. Gift card balance: £0.00 ✓
3. Order completed ✓
4. Gift card marked as fully redeemed ✓",gift_card;redemption;full_redemption;positive_test,P1,Automated,"UK, US",NA,AD_SC_TC_044_uk_gift_card_sale_full_redemption_from_fh.spec
