Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
WALLET,wallet_payment,WP-01,WP-01TC001,Wallet Payment - End to End with Sufficient Balance,"""- Merchant in UK (country_id: 1) configured
- Customer has wallet balance available
- Wallet payment enabled
- Fund transfer configured (Datman to Merchant)""","""- Refer Git repository
- Email: testing@datman.je
- Country: UK
- Currency: GBP
- Customer ID: valid
- Wallet balance: £100.00
- Payment amount: £50.00
- Merchant ID: configured for wallet
- Fund transfer account: active""","""1. Verify customer wallet balance: £100.00

2. Navigate to payment page

3. Select wallet payment method

4. Enter payment amount: £50.00

5. Confirm payment

6. Payment processed from wallet

7. Verify payment success

8. Check wallet balance deduction

9. Verify wallet history entry

10. Check database entries

11. Verify fund transfer (Datman → Merchant)

12. Validate all DB tables updated""","""1. Payment SUCCESSFUL from wallet ✓

2. Wallet balance validation:
-> Initial balance: £100.00
-> Payment amount: £50.00
-> Final balance: £50.00 ✓
-> Deduction: Correct

3. Database - transaction_wallet:
-> transaction_id: generated
-> customer_id: [provided]
-> transaction_type: 'payment' or 'debit'
-> amount: -50.00 (negative = debit)
-> currency: 'GBP'
-> payment_id: [linked payment]
-> status: 'completed'
-> created_at: timestamp ✓

4. Database - transaction_wallet:
-> customer_id: [provided]
-> currency: 'GBP'
-> balance: 50.00 (updated) ✓
-> previous_balance: 100.00
-> last_updated: timestamp

5. Database - payments:
-> payment_id: generated
-> customer_id: [provided]
-> amount: 50.00
-> currency: 'GBP'
-> transaction_status_id: 1 (success)
-> wallet_transaction_id: [linked]
-> created_at: timestamp ✓

6. Wallet history visible:
-> Transaction: Payment
-> Amount: -£50.00
-> Balance after: £50.00
-> Date/Time: [timestamp]
-> Description: ""Payment for order #[order_id]""
-> User can view in wallet dashboard ✓

7. Fund transfer (Datman → Merchant):
-> Transfer initiated: YES ✓
-> Transfer amount: £50.00
-> From account: Datman wallet pool
-> To account: Merchant settlement account
-> Transfer status: 'completed' or 'pending'
-> Settlement batch: included

8. Database - fund_transfer_transactions:
-> transfer_id: generated
-> payment_id: [linked]
-> transfer_type: 'merchant_settlement'
-> amount: 50.00
-> currency: 'GBP'
-> from_account: 'datman_wallet'
-> to_account: 'merchant_[merchant_id]'
-> status: 'completed'
-> initiated_at: timestamp
-> completed_at: timestamp ✓

9. Database - fund_transfer_transactions:
-> settlement_id: generated
-> merchant_id: [provided]
-> payment_id: [linked]
-> amount: 50.00
-> currency: 'GBP'
-> wallet_funded: 1 ✓

10. All DB entries consistent:
-> transaction_wallet ↔ payments: Linked ✓
-> payments ↔ fund_transfer_transactions: Linked ✓
-> fund_transfer_transactions ↔ fund_transfer_transactions: Linked ✓
-> All amounts match: £50.00 ✓
-> All timestamps logical ✓

11. End-to-end flow complete:
-> Payment processed ✓
-> Wallet debited ✓
-> History updated ✓
-> Fund transfer executed ✓
-> Merchant credited ✓
-> All systems synchronized ✓""","""wallet_payment;end_to_end;sufficient_balance;wallet_debit;fund_transfer;datman_to_merchant;wallet_history;database_validation;payment_success;region_uk;currency_gbp;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC002,Wallet Payment - Insufficient Balance (Payment > Balance),"""- Merchant in UK configured
- Customer has limited wallet balance
- Wallet payment enabled
- Insufficient funds handling configured""","""- Email: testing@datman.je
- Country: UK
- Currency: GBP
- Wallet balance: £30.00
- Payment amount: £50.00 (EXCEEDS balance)
- Difference: £20.00 shortfall""","""1. Verify wallet balance: £30.00

2. Attempt payment: £50.00

3. System checks balance

4. Insufficient funds detected

5. Verify payment FAILS

6. Check error message

7. Verify wallet balance unchanged

8. Check database entries""","""1. Payment FAILED - insufficient wallet balance

2. Balance validation:
-> Required: £50.00
-> Available: £30.00
-> Shortfall: £20.00
-> Status: INSUFFICIENT ✗

3. Error response:
-> HTTP 400 (Bad Request) or 402 (Payment Required)
-> Error: ""Insufficient wallet balance""
-> Message: ""Your wallet balance (£30.00) is insufficient for this payment (£50.00)""
-> Shortfall displayed: ""You need £20.00 more""
-> User prompted to top up wallet

4. Database - transaction_wallet:
-> Balance: £30.00 (UNCHANGED) ✓
-> No deduction made
-> Balance preserved

5. Database - transaction_wallet:
-> NO new transaction created ✓
-> OR transaction with status: 'failed'
-> Reason: 'insufficient_balance'

6. Database - payments:
-> payment_id: may be created
-> transaction_status_id: 3 (failed) or 7 (declined)
-> failure_reason: 'insufficient_transaction_wallet'
-> amount: 50.00
-> No wallet_transaction_id (NULL)

7. No fund transfer:
-> NO fund transfer initiated ✓
-> No entry in fund_transfer_transactions table
-> Merchant NOT credited
-> Datman wallet unchanged

8. User experience:
-> Clear error message
-> Current balance shown: £30.00
-> Required amount shown: £50.00
-> Option to:
  * Top up wallet (recharge)
  * Use different payment method
  * Reduce order amount

9. Wallet balance unchanged ✓

10. No merchant settlement ✓

11. Payment gateway:
-> Payment attempt logged
-> Failure reason recorded
-> Analytics: Insufficient balance event""","""wallet_payment;insufficient_balance;payment_failed;balance_exceeded;insufficient_funds;error_handling;no_deduction;negative_test;region_uk;currency_gbp;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC003,Wallet Payment - Currency Validation - UK Region (GBP),"""- Merchant in UK (country_id: 1)
- Customer has GBP wallet balance
- Currency-specific wallet
- Region validation enabled""","""- Email: testing@datman.je
- Country: UK
- Payment currency: GBP
- Wallet balance GBP: £100.00
- Wallet balance USD: $0.00 (if exists)
- Wallet balance AUD: $0.00 (if exists)
- Payment amount: £50.00""","""1. Verify customer in UK region

2. Check wallet balances by currency

3. Confirm GBP balance: £100.00

4. Attempt payment in GBP: £50.00

5. Verify correct currency wallet used

6. Process payment

7. Verify GBP wallet debited

8. Confirm other currency wallets unchanged

9. Check database entries""","""1. Payment SUCCESSFUL - correct currency used ✓

2. Currency validation:
-> Payment region: UK
-> Payment currency: GBP ✓
-> Wallet currency available: GBP ✓
-> Match: YES ✓

3. Database - transaction_wallet (GBP):
-> customer_id: [provided]
-> currency: 'GBP'
-> Deduction: 50.00 ✓

4. Database - transaction_wallet (USD) - UNCHANGED:
-> customer_id: [provided]
-> currency: 'USD'
-> balance: 0.00 (unchanged) ✓
-> No cross-currency usage

5. Database - transaction_wallet (AUD) - UNCHANGED:
-> customer_id: [provided]
-> currency: 'AUD'
-> balance: 0.00 (unchanged) ✓
-> No cross-currency usage

6. Database - transaction_wallet:
-> transaction_id: generated
-> currency: 'GBP' ✓
-> amount: -50.00
-> Region matched: UK ✓

7. Database - payments:
-> currency: 'GBP' ✓
-> amount: 50.00
-> country_id: 1 (UK)
-> Payment processed in correct currency

8. Region-currency validation:
-> UK requires: GBP ✓
-> GBP wallet used: YES ✓
-> Cross-currency blocked: N/A
-> Correct currency enforcement ✓

9. Fund transfer:
-> Amount: £50.00 (GBP)
-> Currency: GBP ✓
-> Merchant receives: GBP
-> No currency conversion

10. Important: Cross-currency NOT allowed:
-> Cannot use USD wallet for GBP payment ✗
-> Cannot use AUD wallet for GBP payment ✗
-> Only GBP wallet for UK payments ✓""","""wallet_payment;currency_validation;region_uk;currency_gbp;correct_currency;multi_currency;currency_specific;payment_success;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC004,Wallet Payment - Currency Validation - US Region (USD),"""- Merchant in US (country_id: 7)
- Customer has USD wallet balance
- May have GBP balance but cannot use
- Currency-region enforcement""","""- Email: testing@datman.je
- Country: US
- Payment currency: USD
- Wallet balance USD: $100.00
- Wallet balance GBP: £50.00 (exists but cannot use)
- Payment amount: $50.00""","""1. Customer in US region

2. Check wallet balances

3. Payment currency: USD

4. Verify USD wallet: $100.00

5. Process payment: $50.00

6. Confirm USD wallet used (not GBP)

7. Verify GBP balance unchanged

8. Check database entries""","""1. Payment SUCCESSFUL - USD wallet used ✓

2. Currency-region validation:
-> Payment region: US
-> Required currency: USD ✓
-> Wallet currency used: USD ✓
-> GBP wallet: Available but NOT used ✓

3. Database - transaction_wallet (USD):
-> currency: 'USD'
-> Deduction: $50.00 ✓

4. Database - transaction_wallet (GBP) - UNCHANGED:
-> currency: 'GBP'
-> balance: 50.00 (unchanged) ✓
-> Cross-region restriction enforced ✓

5. Database - transaction_wallet:
-> currency: 'USD' ✓
-> amount: -50.00
-> Description: Payment in US

6. Database - payments:
-> currency: 'USD' ✓
-> country_id: 7 (US)
-> amount: 50.00

7. Cross-currency prevention:
-> System validates: US requires USD
-> GBP wallet exists: £50.00
-> But GBP NOT used for US payment ✓
-> Correct currency enforcement

8. Region-specific rules:
-> US payments: USD only
-> UK payments: GBP only
-> AU payments: AUD only
-> No cross-currency allowed ✓""","""wallet_payment;currency_validation;region_us;currency_usd;cross_currency_prevention;multi_currency;payment_success;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC005,Wallet Payment - Currency Validation - AU Region (AUD),"""- Merchant in AU (country_id: 3)
- Customer has AUD wallet balance
- Multi-currency wallet
- Region validation strict""","""- Email: testing@datman.je
- Country: Australia
- Payment currency: AUD
- Wallet balance AUD: $150.00
- Wallet balance GBP: £0.00
- Wallet balance USD: $0.00
- Payment amount: $75.00 AUD""","""1. Customer in AU region

2. Check wallet balances

3. Payment in AUD: $75.00

4. Verify AUD wallet: $150.00

5. Process payment

6. Verify AUD wallet debited

7. Check other currencies unchanged

8. Validate database""","""1. Payment SUCCESSFUL - AUD wallet used ✓

2. Currency validation:
-> Region: Australia
-> Required: AUD ✓
-> Used: AUD ✓
-> Match: CORRECT ✓

3. Database - transaction_wallet (AUD):
-> currency: 'AUD'
-> Deduction: $75.00 AUD ✓

4. Database - transaction_wallet (GBP/USD):
-> Both UNCHANGED ✓
-> Cross-region restriction working

5. Database - payments:
-> currency: 'AUD' ✓
-> country_id: 3 (AU)
-> amount: 75.00

6. Region-currency matrix enforced:
-> UK → GBP only ✓
-> US → USD only ✓
-> AU → AUD only ✓""","""wallet_payment;currency_validation;region_au;currency_aud;multi_currency;payment_success;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC006,Wallet Payment - Cross-Region Balance Prevention (GBP in US,"""- Customer in US region
- Has GBP wallet balance
- NO USD wallet balance
- Cross-currency prevention enforced""","""- Email: testing@datman.je
- Country: US
- Payment currency: USD
- Wallet balance GBP: £100.00 (cannot use)
- Wallet balance USD: $0.00 (insufficient)
- Payment amount: $50.00""","""1. Customer attempting US payment

2. Payment currency: USD required

3. Check USD wallet: $0.00

4. Check GBP wallet: £100.00 (exists)

5. Attempt payment: $50.00

6. System validates currency

7. Verify payment FAILS

8. Confirm cross-currency blocked

9. Check error message""","""1. Payment FAILED - wrong currency wallet

2. Currency validation:
-> Payment region: US
-> Required currency: USD ✓
-> USD wallet balance: $0.00 (insufficient)
-> GBP wallet balance: £100.00 (available but wrong currency)
-> Cross-currency: NOT ALLOWED ✗

3. Error response:
-> HTTP 400 (Bad Request)
-> Error: ""Insufficient USD wallet balance""
-> Message: ""You have £100.00 in GBP wallet, but USD is required for US payments""
-> Suggestion: ""Please top up your USD wallet or switch to a different payment method""

4. Database - transaction_wallet (USD):
-> Balance: $0.00 (unchanged) ✓
-> No deduction possible

5. Database - transaction_wallet (GBP):
-> Balance: £100.00 (unchanged) ✓
-> NOT used for USD payment ✓
-> Cross-currency blocked

6. Database - payments:
-> Payment may be created
-> transaction_status_id: 3 (failed)
-> failure_reason: 'insufficient_transaction_wallet_usd'
-> Note: GBP balance NOT considered

7. Why cross-currency blocked:
-> Currency conversion complexity
-> Exchange rate fluctuations
-> Regulatory requirements
-> Accounting simplification
-> Clear separation by region

8. User guidance:
-> Current GBP balance shown: £100.00
-> USD balance shown: $0.00
-> Message: ""Top up USD wallet to use wallet payment in US""
-> Option to:
  * Add funds to USD wallet
  * Use card payment
  * Switch to UK site (use GBP)

9. Important rule:
-> SAME customer, DIFFERENT currency wallets
-> GBP for UK only
-> USD for US only
-> AUD for AU only
-> NO cross-usage allowed ✓

10. No payment processed ✓

11. No fund transfer ✓""","""wallet_payment;cross_currency;wrong_currency;insufficient_balance;currency_mismatch;region_validation;payment_failed;negative_test;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC007,Wallet Payment - No Wallet Balance (Zero Balance),"""- Different customer (new shopper_id)
- NO wallet balance
- Wallet feature enabled
- Zero balance scenario""","""- Email: newcustomer@datman.je
- Customer ID: new/different shopper
- Country: UK
- Currency: GBP
- Wallet balance: £0.00 (zero)
- Payment amount: £25.00""","""1. Use different customer (shopper_id)

2. Check wallet balance: £0.00

3. Attempt wallet payment: £25.00

4. System checks balance

5. Zero balance detected

6. Verify payment FAILS

7. Check error message

8. Validate database""","""1. Payment FAILED - zero wallet balance

2. Balance validation:
-> Customer wallet balance: £0.00
-> Payment required: £25.00
-> Shortfall: £25.00
-> Status: INSUFFICIENT (zero balance) ✗

3. Error response:
-> HTTP 400 or 402
-> Error: ""No wallet balance available""
-> Message: ""Your wallet balance is £0.00. Please add funds to your wallet or use a different payment method.""

4. Database - transaction_wallet:
-> customer_id: [new shopper]
-> currency: 'GBP'
-> balance: 0.00 ✓
-> No deduction possible

5. Database - transaction_wallet:
-> NO transaction created ✓
-> No entry for this payment

6. Database - payments:
-> payment_id: may be created
-> transaction_status_id: 3 (failed)
-> failure_reason: 'no_transaction_wallet' or 'zero_balance'

7. First-time wallet user scenario:
-> Customer never added funds
-> Wallet exists but empty
-> Must recharge to use

8. User experience:
-> Clear message: ""Wallet is empty""
-> Call-to-action: ""Add funds to wallet""
-> Alternatives offered:
  * Top up wallet now
  * Use credit/debit card
  * Use saved card

9. No payment processed ✓

10. No fund transfer ✓

11. Wallet remains at £0.00 ✓""","""wallet_payment;zero_balance;no_balance;insufficient_funds;new_customer;different_shopper;payment_failed;negative_test;region_uk;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC008,Wallet Refund - Complete Refund (100%),"""- Original payment processed via wallet
- Payment successful and settled
- Refund requested for full amount
- Fund transfer reversal required (Merchant → Datman)""","""- Email: testing@datman.je
- Country: UK
- Original payment: £50.00 (wallet)
- Wallet balance after payment: £50.00
- Refund amount: £50.00 (FULL refund)
- Merchant account: has funds
- Refund reason: Customer request""","""1. Original wallet payment completed: £50.00

2. Initiate complete refund request

3. Refund amount: £50.00 (100%)

4. Process refund

5. Verify wallet credited back

6. Check wallet history

7. Verify fund transfer reversal (Merchant → Datman)

8. Check all database entries

9. Verify Adyen dashboard refund""","""1. Refund SUCCESSFUL - full amount returned to wallet ✓

2. Wallet balance update:
-> Balance before refund: £50.00
-> Refund amount: £50.00
-> Balance after refund: £100.00 ✓
-> Credit: Correct

3. Database - transaction_wallet (refund entry):
-> transaction_id: generated (new)
-> customer_id: [provided]
-> transaction_type: 'refund' or 'credit'
-> amount: +50.00 (positive = credit) ✓
-> currency: 'GBP'
-> related_payment_id: [original payment]
-> refund_id: [linked]
-> status: 'completed'
-> created_at: timestamp ✓

4. Database - transaction_wallet:
-> customer_id: [provided]
-> currency: 'GBP'
-> balance: 100.00 (restored) ✓
-> Full amount returned

5. Database - refunds:
-> refund_id: generated
-> payment_id: [original payment]
-> refund_amount: 50.00
-> refund_type: 'full' or 'complete'
-> refund_status: 'completed'
-> refund_method: 'wallet' (returned to wallet)
-> wallet_transaction_id: [linked]
-> initiated_at: timestamp
-> completed_at: timestamp ✓

6. Database - payments (original):
-> payment_id: [original]
-> refund_status: 'fully_refunded' ✓
-> refunded_amount: 50.00
-> remaining_amount: 0.00 ✓

7. Wallet history visible:
-> Entry 1: Payment -£50.00 (original)
-> Entry 2: Refund +£50.00 (new) ✓
-> Balance: £100.00 (restored)
-> User can see both entries

8. Fund transfer REVERSAL (Merchant → Datman):
-> Transfer initiated: YES ✓
-> Transfer type: 'refund_settlement'
-> Amount: £50.00
-> From: Merchant account
-> To: Datman wallet pool ✓
-> Direction: REVERSED from original

9. Database - fund_transfer_transactions (refund):
-> transfer_id: generated (new)
-> refund_id: [linked]
-> transfer_type: 'refund_from_merchant'
-> amount: 50.00
-> currency: 'GBP'
-> from_account: 'merchant_[merchant_id]' ✓
-> to_account: 'datman_wallet' ✓
-> status: 'completed'
-> initiated_at: timestamp
-> completed_at: timestamp ✓

10. Database - fund_transfer_transactions (reversal):
-> settlement_id: generated or updated
-> merchant_id: [provided]
-> refund_id: [linked]
-> amount: -50.00 (negative = debit from merchant)
-> currency: 'GBP'
-> settlement_type: 'refund_deduction'
-> status: 'completed'
-> Merchant account debited ✓

11. Adyen Dashboard (if original payment via Adyen):
-> Navigate to payment
-> Refund visible: £50.00
-> Refund status: Successful
-> Refund method: Wallet credit
-> Refund date: [timestamp]
-> Full refund marked ✓

12. All DB entries consistent:
-> transaction_wallet ↔ refunds: Linked ✓
-> refunds ↔ payments: Linked ✓
-> refunds ↔ fund_transfer_transactions: Linked ✓
-> All amounts: £50.00 (match) ✓

13. Refund flow complete:
-> Customer wallet credited ✓
-> Merchant account debited ✓
-> Datman pool balanced ✓
-> All systems updated ✓""","""wallet_refund;complete_refund;full_refund;wallet_credit;fund_transfer_reversal;merchant_to_datman;refund_success;adyen_dashboard;database_validation;region_uk;currency_gbp;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC009,Wallet Refund - Partial Refund (50%),"""- Original payment processed via wallet
- Payment successful and settled
- Partial refund requested
- Fund transfer reversal for partial amount""","""- Email: testing@datman.je
- Country: UK
- Original payment: £80.00 (wallet)
- Wallet balance after payment: £20.00
- Refund amount: £40.00 (PARTIAL - 50%)
- Remaining amount: £40.00""","""1. Original wallet payment: £80.00

2. Initiate partial refund

3. Refund amount: £40.00 (50%)

4. Process partial refund

5. Verify wallet credited: £40.00

6. Check wallet balance

7. Verify partial fund transfer reversal

8. Check remaining payment amount

9. Validate database entries""","""1. Partial refund SUCCESSFUL ✓

2. Wallet balance update:
-> Balance before: £20.00
-> Refund: £40.00 (partial)
-> Balance after: £60.00 ✓

3. Database - transaction_wallet (partial refund):
-> transaction_type: 'refund' or 'partial_refund'
-> amount: +40.00 ✓
-> related_payment_id: [original]

4. Database - refunds:
-> refund_amount: 40.00 (partial) ✓
-> refund_type: 'partial'
-> original_amount: 80.00
-> refunded_amount: 40.00
-> remaining_amount: 40.00 ✓
-> refund_status: 'completed'

5. Database - payments (original):
-> original_amount: 80.00
-> refund_status: 'partially_refunded' ✓
-> refunded_amount: 40.00 ✓
-> remaining_amount: 40.00 ✓
-> Can refund more: YES (£40.00 available)

6. Fund transfer reversal (PARTIAL):
-> Amount: £40.00 (only refunded amount) ✓
-> From: Merchant account
-> To: Datman wallet pool
-> Remaining £40.00: Stays with merchant ✓

7. Database - fund_transfer_transactions (partial reversal):
-> amount: 40.00 (partial) ✓
-> transfer_type: 'partial_refund_from_merchant'
-> from_account: 'merchant_[merchant_id]'
-> to_account: 'datman_wallet'

8. Database - fund_transfer_transactions:
-> amount: -40.00 (partial debit) ✓
-> Merchant still has: £40.00 from original
-> Net merchant settlement: £40.00 ✓

9. Refund summary:
-> Original: £80.00
-> Refunded: £40.00 ✓
-> Remaining: £40.00 ✓
-> Can refund more: YES ✓

10. Wallet history:
-> Payment: -£80.00
-> Partial refund: +£40.00 ✓
-> Balance: £60.00 ✓""","""wallet_refund;partial_refund;wallet_credit;fund_transfer_reversal;partial_settlement;database_validation;region_uk;currency_gbp;""",P1,Automated,"AU,UK,US",NO,
WALLET,wallet_payment,WP-01,WP-01TC010,Wallet Refund - Multiple Partial Refunds (3 refunds),"""- Original payment processed via wallet
- Payment successful
- Multiple partial refunds requested
- Fund transfer reversal for each refund""","""- Email: testing@datman.je
- Country: UK
- Original payment: £100.00 (wallet)
- Refund 1: £30.00 (30%)
- Refund 2: £20.00 (20%)
- Refund 3: £25.00 (25%)
- Total refunded: £75.00 (75%)
- Remaining: £25.00""","""1. Original payment: £100.00

2. Process refund 1: £30.00

3. Verify wallet credit 1

4. Process refund 2: £20.00

5. Verify wallet credit 2

6. Process refund 3: £25.00

7. Verify wallet credit 3

8. Check total refunded: £75.00

9. Verify all fund transfers

10. Validate database for all 3 refunds""","""1. Multiple partial refunds SUCCESSFUL ✓

2. Wallet balance progression:
-> Initial (after payment): £0.00
-> After refund 1 (+£30): £30.00 ✓
-> After refund 2 (+£20): £50.00 ✓
-> After refund 3 (+£25): £75.00 ✓
-> Total credited: £75.00 ✓

3. Database - transaction_wallet (3 entries):

Refund 1:
-> transaction_id: [1]
-> amount: +30.00
-> transaction_type: 'refund'

Refund 2:
-> transaction_id: [2]
-> amount: +20.00
-> transaction_type: 'refund'

Refund 3:
-> transaction_id: [3]
-> amount: +25.00
-> transaction_type: 'refund'

All linked to original payment ✓

4. Database - refunds (3 separate entries):

Refund 1:
-> refund_id: [1]
-> refund_amount: 30.00
-> refund_sequence: 1
-> payment_id: [original]

Refund 2:
-> refund_id: [2]
-> refund_amount: 20.00
-> refund_sequence: 2
-> payment_id: [original]

Refund 3:
-> refund_id: [3]
-> refund_amount: 25.00
-> refund_sequence: 3
-> payment_id: [original]

All completed ✓

5. Database - payments (original):
-> original_amount: 100.00
-> refund_status: 'partially_refunded' ✓
-> refunded_amount: 75.00 (cumulative) ✓
-> remaining_amount: 25.00 ✓
-> refund_count: 3 ✓
-> Can refund more: YES (£25.00 available)

6. Fund transfers (3 separate reversals):

Transfer 1 (Refund 1):
-> Amount: £30.00
-> From: Merchant → Datman
-> Status: completed ✓

Transfer 2 (Refund 2):
-> Amount: £20.00
-> From: Merchant → Datman
-> Status: completed ✓

Transfer 3 (Refund 3):
-> Amount: £25.00
-> From: Merchant → Datman
-> Status: completed ✓

Total reversed: £75.00 ✓

7. Database - fund_transfer_transactions (3 entries):
-> Each refund has separate fund transfer ✓
-> All linked to respective refunds ✓
-> All from merchant to Datman ✓
-> Total: £75.00 ✓

8. Database - fund_transfer_transactions:
-> Original credit: +£100.00
-> Refund debit 1: -£30.00
-> Refund debit 2: -£20.00
-> Refund debit 3: -£25.00
-> Net settlement: £25.00 ✓
-> Merchant keeps: £25.00 (non-refunded)

9. Wallet history (4 entries total):
-> Payment: -£100.00 (original)
-> Refund 1: +£30.00 ✓
-> Refund 2: +£20.00 ✓
-> Refund 3: +£25.00 ✓
-> Current balance: £75.00 ✓
-> All visible to customer

10. Refund summary:
-> Original: £100.00
-> Refund 1: £30.00 ✓
-> Refund 2: £20.00 ✓
-> Refund 3: £25.00 ✓
-> Total refunded: £75.00 ✓
-> Remaining: £25.00 ✓
-> Maximum additional refund: £25.00

11. All database entries consistent:
-> 3 transaction_wallet (refunds) ✓
-> 3 refunds records ✓
-> 3 fund_transfer_transactions ✓
-> All linked correctly ✓
-> All amounts match ✓""","""wallet_refund;multiple_partial_refunds;multiple_refunds;wallet_credit;fund_transfer_reversal;cumulative_refund;database_validation;region_uk;currency_gbp;""",P1,Automated,"AU,UK,US",NO,
