Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status
WALLET,wallet_recharge,WR-CS,WR-CS-TC001,Wallet Recharge - Duplicate order_id - Cardstream provider,"- Cardstream merchant configured
- Customer has wallet balance available
- Wallet recharge enabled","- Refer Apidog for the Wallet recharge API request
- Email: sundaresan@datman.je
- Payment provider: CARDSTREAM
- shopper_id: valid
- order_id: duplicate (already used)","1. Process a wallet recharge via the Cardstream provider with a valid payload

2. Note the order_id used in the successful recharge

3. Initiate a second wallet recharge using the same order_id

4. Verify the second request is rejected

5. Verify wallet balance is not double-recharged

6. Verify no duplicate entry in transaction_wallet table","1. Second recharge FAILED with duplicate order_id error

2. API response:
-> outcome: failed
-> message: ""Duplicate order_id""

3. Wallet balance: UNCHANGED from first recharge only

4. transaction_wallet: Only one entry for the original recharge

5. payments table: Only one entry for the original recharge",wallet_recharge;duplicate_order_id;negative_test;cardstream;,P1,Not-Automated
WALLET,wallet_recharge,WR-CS,WR-CS-TC002,Wallet Recharge - End to End - Cardstream merchant - AccountOnFile token,"- Cardstream merchant configured
- Customer has valid AccountOnFile master token
- Wallet recharge enabled","curl --location 'https://stage.datmanpay.com/api2.php?action=wallet_rechargeV2'
--header 'Content-Type: application/json'
--header 'api_token: <api_token>'
--header 'qa-auth: <qa_auth>'
--data-raw '{
""shopper_id"": <valid_shopper_id>,
""merchantTokenId"": ""<valid_master_token>"",
""amount"": ""10.00"",
""order_id"": <unique_order_id>,
""merchant_id"": <cardstream_merchant_id>,
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""to"",
""address"": {""house_number"": ""10"",""flat"": ""11"",""address1"": ""10"",""address2"": ""11"",""postcode"": ""NN178YG""},
""avs"": {""house_number"": ""11, 10"",""postcode"": ""NN178YG""},
""AddressOnFile"": [{""AvsHouseNumber"": ""11, 10"",""AvsPostcode"": ""NN178YG""}],
""cvv"": ""356"",
""email"": ""sundaresan@datman.je""
}'","1. Send wallet recharge API request with valid Cardstream master token and all mandatory fields

2. Verify API response is success (HTTP 200, outcome: success)

3. Verify payments table entry:
-> origin: API_WALLET
-> method: AccountOnFile
-> customer_id: 0
-> payment_provider: CARDSTREAM
-> All payload values present

4. Verify wallet balance updated with recharge amount

5. Verify wallet history shows new recharge transaction

6. Using the same order_id, send wallet payment API request

7. Verify wallet payment success

8. Verify payments table entry for wallet payment:
-> origin: WALLET
-> method: empty
-> customer_id: <merchant_id from payload>
-> payment_provider: WALLET

9. Verify wallet balance deducted with payment amount

10. Verify wallet history updated with payment transaction

11. Verify transaction_wallet table has entry for wallet payment","1. Wallet recharge SUCCESSFUL
-> HTTP 200, outcome: success

2. payments table (recharge):
-> origin: API_WALLET
-> method: AccountOnFile
-> customer_id: 0
-> payment_provider: CARDSTREAM
-> All payload values correct

3. Wallet balance increased by recharge amount

4. Wallet history shows recharge entry

5. Wallet payment SUCCESSFUL
-> HTTP 200, outcome: success

6. payments table (payment):
-> origin: WALLET
-> method: empty
-> customer_id: <merchant_id from payload>
-> payment_provider: WALLET

7. Wallet balance deducted by payment amount

8. Wallet history shows payment entry

9. transaction_wallet table updated with payment entry",wallet_recharge;wallet_payment;end_to_end;cardstream;accountonfile;sanity;,P1,Not-Automated
WALLET,wallet_recharge,WR-CS,WR-CS-TC003,Wallet Recharge - Invalid Master Token - Special characters,"- Cardstream merchant configured
- Customer provides invalid/special character master token
- Token validation occurs before gateway call","- Refer Apidog for the Wallet recharge API request
- Email: sundaresan@datman.je
- Payment provider: CARDSTREAM
- shopper_id: valid
- merchantTokenId: special characters (e.g. !@#$%^&*)
- amount: 10.00","1. Send wallet recharge request with special character master token

2. Verify request fails with 1010 error

3. Verify no entry in DB

4. Send request with blank master token

5. Verify error: ""Request missing required params""

6. Send request with spaces-only master token

7. Verify error: ""Transaction failed"" with 1010

8. Send request with alphanumeric invalid token

9. Verify error: ""Transaction failed"" with 1010

10. Send request with numbers-only token

11. Verify error: ""Transaction failed"" with 1010

12. Send request with valid master token but invalid shopper_id

13. Verify error: ""Transaction failed"" with 1010

14. Send request with valid master token and shopper_id but invalid AVS postcode

15. Verify sale is SUCCESS (AVS mismatch does not block Cardstream)

16. Send request with valid master token and shopper_id but invalid CVV

17. Verify error: ""Card declined""

18. Send request with valid master token and shopper_id but invalid email

19. Verify error: ""Card declined""

20. Send request with valid master token, shopper_id, and sending=Collection

21. Verify sale is SUCCESS and DB updated","1. Special character token → 1010 error, no DB entry

2. Blank token → ""Request missing required params"", no DB entry

3. Spaces-only token → ""Transaction failed"" with 1010 error, no DB entry

4. Alphanumeric invalid token → ""Transaction failed"" with 1010 error, no DB entry

5. Numbers-only token → ""Transaction failed"" with 1010 error, no DB entry

6. Valid token + invalid shopper_id → ""Transaction failed"" with 1010 error, no DB entry

7. Valid token + invalid AVS postcode → Sale SUCCESS

8. Valid token + invalid CVV → ""Card declined""

9. Valid token + invalid email → ""Card declined""

10. Valid token + sending=Collection → Sale SUCCESS, DB updated",wallet_recharge;invalid_master_token;negative_test;cardstream;token_validation;sanity;,P1,Not-Automated
WALLET,wallet_recharge,WR-CS,WR-CS-TC004,Wallet Recharge + Payment - OMT Reference Validation in AWS Metadata,"- Cardstream merchant configured
- Customer has valid AccountOnFile master token
- AWS ECS log access available","curl --location 'https://stage.datmanpay.com/api2.php?action=wallet_rechargeV2'
--header 'Content-Type: application/json'
--header 'api_token: <api_token>'
--header 'qa-auth: <qa_auth>'
--data-raw '{
""shopper_id"": <valid_shopper_id>,
""merchantTokenId"": ""<valid_master_token>"",
""amount"": ""10.00"",
""order_id"": <unique_order_id>,
""merchant_id"": <cardstream_merchant_id>,
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""to"",
""address"": {""house_number"": ""10"",""flat"": ""11"",""address1"": ""10"",""address2"": ""11"",""postcode"": ""NN178YG""},
""avs"": {""house_number"": ""11, 10"",""postcode"": ""NN178YG""},
""cvv"": ""356"",
""email"": ""sundaresan@datman.je""
}'","1. Send wallet recharge API request with valid Cardstream master token

2. Verify API response is success (HTTP 200, outcome: success)

3. Verify payments table entry is as expected (origin: API_WALLET, payment_provider: CARDSTREAM)

4. Verify wallet balance updated with recharge amount

5. Verify wallet history shows recharge transaction

6. Using same order_id, send wallet payment API request and verify success

7. Verify payments table entry for payment (origin: WALLET, payment_provider: WALLET)

8. Verify wallet balance deducted and history updated

9. Verify transaction_wallet table has payment entry

10. Navigate to AWS ECS logs and verify OMT reference is visible in metadata","1. Wallet recharge SUCCESSFUL - HTTP 200, outcome: success

2. Wallet payment SUCCESSFUL - HTTP 200, outcome: success

3. payments table (recharge): origin: API_WALLET, method: AccountOnFile, customer_id: 0, payment_provider: CARDSTREAM

4. payments table (payment): origin: WALLET, method: empty, customer_id: <merchant_id>, payment_provider: WALLET

5. Wallet balance and history updated correctly

6. transaction_wallet table has payment entry

7. AWS ECS logs: OMT reference is visible in metadata",wallet_recharge;wallet_payment;omt_reference;metadata;aws_logs;cardstream;sanity;,P1,Not-Automated
WALLET,wallet_recharge,WR-CS,WR-CS-TC005,Wallet Recharge - Invalid Master Token Variants - Token validation edge cases,"- Cardstream merchant configured
- Various invalid master token scenarios
- Token format validation","- Refer Apidog for the Wallet recharge API request
- Email: sundaresan@datman.je
- Payment provider: CARDSTREAM
- shopper_id: valid
- Test variations: special chars, blank, spaces, alphanumeric, numbers-only, invalid shopper_id, invalid AVS, invalid CVV, invalid email, sending=Collection","1. Repeat all token validation scenarios from WR-CS-TC003 using a different Cardstream build/endpoint

2. Send wallet recharge with special character master token → verify 1010 error

3. Send with blank token → verify ""Request missing required params""

4. Send with spaces-only token → verify ""Transaction failed"" with 1010

5. Send with alphanumeric invalid token → verify ""Transaction failed"" with 1010

6. Send with numbers-only token → verify ""Transaction failed"" with 1010

7. Send with valid token + invalid shopper_id → verify ""Transaction failed"" with 1010

8. Send with valid token + invalid AVS → verify sale SUCCESS

9. Send with valid token + invalid CVV → verify ""Card declined""

10. Send with valid token + sending=Collection → verify SUCCESS","1. All token validation scenarios behave as expected

2. Invalid tokens consistently return 1010 error with no DB entries

3. Blank token returns ""Request missing required params""

4. Invalid CVV returns ""Card declined""

5. Invalid AVS and Collection sending: sale SUCCESS

6. No DB entries created for failed transactions",wallet_recharge;invalid_master_token;token_validation;negative_test;cardstream;sanity;,P1,Not-Automated
WALLET,wallet_recharge,WR-CS,WR-CS-TC006,Wallet Recharge - Collection and Delivery Payload Variations,"- Cardstream/Optomany/Checkout-HF/Cardstream-CH/DNA merchant configured
- Various sending values tested (to/collection)
- is_billing_address variations tested","- Refer Apidog for the Wallet recharge API request
- sending: ""to"" (delivery) or ""collection""
- address: empty, valid, or invalid values
- is_billing_address: 0 or 1
- Providers: Cardstream, Optomany, Paystack-HF, Checkout-HF, Cardstream-CH, DNA","1. Collection order with no address values (sending=collection, address empty) → verify success

2. Collection order with valid address values (sending=collection, valid address) → verify success

3. Collection order with invalid address values (sending=collection, invalid postcode) → verify success

4. Verify payments/card_payment table entry for each above

5. Test is_billing_address=0 with sending=collection → verify request processed

6. Test is_billing_address=1 with sending=collection → verify request processed

7. Repeat steps 1-6 for all providers (Cardstream, Optomany, Paystack-HF, Checkout-HF, Cardstream-CH, DNA)

8. Delivery order with no address values (sending=to, address empty) → verify success

9. Delivery order with valid address values (sending=to, valid address) → verify success

10. Delivery order with invalid address values (sending=to, invalid postcode) → verify success

11. Test is_billing_address=0 with sending=to → verify request processed

12. Test is_billing_address=1 with sending=to → verify request processed

13. Repeat steps 8-12 for all providers","1. All collection orders succeed regardless of address values

2. All delivery orders succeed regardless of address validity (postcode mismatch does not block)

3. payments/card_payment table has new entry for each transaction

4. Provider dashboard updated for each transaction

5. is_billing_address=0 and =1 both process as expected

6. All providers handle sending variations consistently",wallet_recharge;collection;delivery;address_validation;is_billing_address;multi_provider;cardstream;,P1,Not-Automated
WALLET,wallet_to_card,W2C-CS,W2C-CS-TC001,"Wallet to Card - Invalid Payload Values - order_id, shopper_id, amount","- Cardstream merchant configured
- Customer has wallet balance with eligible refund (withdrawal_status=1)
- Wallet to card API available","- Refer Apidog for the Wallet to card API request
- Test invalid values:
  a) Invalid order_id
  b) Invalid shopper_id
  c) Invalid amount","1. Complete a Cardstream sale (New card/Saved card/Express checkout/MOTO)

2. Verify sale entry in payments table and MMS dashboard

3. Process refund to wallet (destination=WALLET) and verify:
-> payments table updated with refund
-> transaction_wallet table has new entry with withdrawal_status=1

4. Submit wallet to card API request with invalid order_id

5. Verify error response received

6. Submit wallet to card API request with invalid shopper_id

7. Verify error response received

8. Submit wallet to card API request with invalid amount (mismatch)

9. Verify error response received

10. Verify withdrawal_status remains 1 (not changed) for all invalid attempts

11. Verify no new transaction_wallet entries created for failed attempts","1. Cardstream sale SUCCESS - entries in payments table and MMS dashboard

2. Refund to wallet SUCCESS - transaction_wallet withdrawal_status=1

3. Invalid order_id: Error response received, withdrawal_status unchanged (1), no new DB entry

4. Invalid shopper_id: Error response received, withdrawal_status unchanged (1), no new DB entry

5. Invalid amount: Error response ""Mismatched amount or not eligible for reversal to the card"", withdrawal_status unchanged (1), no new DB entry",wallet_to_card;invalid_payload;negative_test;cardstream;order_id_validation;shopper_id_validation;,P1,Not-Automated
WALLET,wallet_payment,WP-CS,WP-CS-TC001,Wallet Payment - Verify payment based on shopper_id - Cardstream and Checkout-HF,"- Cardstream and Checkout-HF merchants configured
- Customer has valid master token in master_token table
- shopper_id mapping configured in DB","- Refer Apidog for the Wallet payment API request
- Master token: from master_token table - Cardstream provider
- merchant_id: Cardstream merchant
- CVV: correct
- Email: correct
- sending: to
- Address: correct address linked to card","1. Process Express Pay sale using:
   → master_token from Cardstream provider
   → Cardstream merchant_id
   → Correct CVV, email, sending=to, correct address

2. Verify sale SUCCESS

3. Verify payments table entry for the wallet payment:
   Verify payments table — Wallet payment entry (complete column validation):
   → order_ref: <order_ref from payload>
   → merchant_id: <merchant_id from payload> (e.g. 1235000)
   → country_code: GB / currency_code: GBP
   → gross: <sale_amount_in_pence>
   → fee: <platform_fee_in_pence>
   → net: gross − fee
   → psp_reference: O<order_ref>M<merchant_id>T<payment_id>
   → internal_reference: O<order_ref>M<merchant_id>T<payment_id> (matches psp_reference)
   → last_4_digits: NULL (wallet payment — no card involved)
   → delete_status: 0
   → withdrawn_status: 0
   → payment_provider_id: 9 (WALLET)
   → transaction_status_id: 1 (success)
   → transaction_mode_id: 1 (wallet_payment)
   → transaction_method_id: 6 (wallet)
   → TxAuthNo: NULL
   → master_token_id: NULL
   → shopper_id: <shopper_id from payload>
   → cs_mid: NULL

4. Process sale using Cardstream token with Checkout-HF merchant_id and shopper_id from DB

5. Verify payments table entry updated as expected and Checkout-HF dashboard updated

6. Process sale with invalid shopper_id scenarios:
   → shopper_id not in DB
   → random shopper_id
   → empty shopper_id

7. Verify error for each invalid shopper_id","1. Express Pay sale SUCCESS ✓

2. payments table (wallet payment):
   payments table — Wallet payment entry validated ✓
   → order_ref: matches payload order_ref
   → merchant_id: matches payload merchant_id
   → gross: <sale_amount_in_pence> ✓
   → fee: <platform_fee> / net: gross − fee ✓
   → psp_reference: O<order_ref>M<merchant_id>T<payment_id> ✓
   → internal_reference: matches psp_reference ✓
   → last_4_digits: NULL ✓ (no card number for wallet payment)
   → delete_status: 0 / withdrawn_status: 0 ✓
   → payment_provider_id: 9 (WALLET) ✓
   → transaction_status_id: 1 (success) ✓
   → transaction_mode_id: 1 (wallet_payment) ✓
   → transaction_method_id: 6 (wallet) ✓
   → TxAuthNo: NULL ✓
   → master_token_id: NULL ✓
   → shopper_id: <shopper_id> ✓
   → cs_mid: NULL ✓
   (NOTE: Validated in payments table, NOT card_payment table)

3. Sale with Cardstream token + Checkout-HF merchant: SUCCESS
   → payments table and Checkout-HF dashboard updated correctly

4. Invalid shopper_id scenarios:
   → Error: {""message"": ""Transaction failed - <master_token_value>"", ""outcome"": ""failed"", ""code"": 1010}
   → No payments table entry created for failed transactions",wallet_payment;shopper_id;cardstream;checkout_hf;cross_provider;,P1,Not-Automated
WALLET,wallet_recharge,WR-CS,WR-CS-TC007,Wallet Recharge - Token Validation - Cardstream token availability across providers,"- Cardstream and Checkout-HF merchants configured
- Token availability varies across providers
- shopper_id correctly mapped in DB","curl --location --request POST 'https://ws5.datmanpay.com/api2.php?action=wallet_rechargeV2'
--header 'Content-Type: application/json'
--header 'api_token: <api_token>'
--header 'qa-auth: 762b5a41717faec828a5e1f71253b8b9'
--data-raw '{
""shopper_id"": 80491037,
""merchantTokenId"":""<valid_cs_token>"",
""amount"": ""54.00"",
""order_id"": ""<unique_order_id>"",
""merchant_id"":""<cs_merchant_id>"",
""customer_id"": <customer_id>,
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""to"",
""address"": {""house_number"": ""10"",""flat"": ""11"",""address1"": ""10"",""address2"": ""11"",""postcode"": ""NN17 8YG""},
""avs"": {""house_number"": ""11"",""postcode"": ""NN17 8YG""},
""cvv"": ""356"",
""email"": ""valid@datman.je""
}'","1. Process wallet recharge with Cardstream token and Cardstream merchant_id

2. Verify recharge SUCCESS and wallet balance updated

3. Using same order_id, process wallet payment and verify SUCCESS

4. Verify payments/payments_split_commission/webhook_log/shoppers tables updated correctly

5. Test token availability scenarios:
-> Token in Cardstream only (not Checkout-HF): recharge via Cardstream SUCCESS
-> Token in both Cardstream and Checkout-HF: both recharge attempts SUCCESS
-> No tokens (delete token from DB): recharge FAILS
-> Token in Checkout-HF only (not Cardstream): Cardstream recharge FAILS, Checkout-HF SUCCESS","1. Wallet recharge and payment SUCCESS for valid Cardstream token

2. payments table: transaction_status_id=1, transaction_method_id=7, transaction_mode_id=2, master_token_id correct

3. payments_split_commission: commission type, amount, payment_status, fee_type, master_token_id correct

4. webhook_log: updated in DB, no duplicate entries

5. Token availability results:
-> Token in CS only: CS recharge SUCCESS
-> Token in both: both SUCCESS
-> No tokens: recharge FAILS
-> Token in Checkout-HF only: CS FAILS, Checkout-HF SUCCESS",wallet_recharge;wallet_payment;token_validation;cardstream;checkout_hf;split_commission;,P1,Not-Automated
WALLET,wallet_to_card,W2C-CS,W2C-CS-TC002,Wallet to Card - Partial Wallet + Partial Card Payment - Refund and W2C Withdrawal,"- Cardstream merchant configured
- Customer completes recharge and payment with same and different amounts
- Refund to wallet available
- W2C eligibility validated (withdrawal_status=1, within 30 days)","- Refer Apidog (https://apidog.com/apidoc/project-420514) for API requests
- Recharge amount: e.g. £10.00
- Payment amount: same as recharge (scenario A) or different (scenario B)
- Refund destination: WALLET","Scenario A - Same amount:
1. Process wallet recharge for £10.00 - verify SUCCESS

2. Using same order_id, process wallet payment for £10.00 - verify SUCCESS

3. Verify transaction_wallet: withdrawal_status=0, transaction_type_id=1

4. Process refund to WALLET (destination=WALLET) - verify withdrawal_status=1

5. Process W2C API with valid order_id, shopper_id, amount

6. Verify W2C SUCCESS, transaction_type_id=9, withdrawal_status=2

7. Attempt second W2C on same entry - verify ""Wallet to card has already been processed""

8. Process refund to CARD (destination=CARD) - verify withdrawal_status=0

9. Verify that refund-to-card entry is not eligible for W2C

Scenario B - Different amounts:
10. Recharge wallet for £10.00, process payment for a DIFFERENT higher amount

11. Process refund to WALLET - verify:
-> Recharge entry withdrawal_status=0
-> Refund entry for eligible amount: withdrawal_status=1

12. Process W2C for wallet amount - verify amounts match or ""Mismatched amount"" error

13. Verify DB entries as expected

NOTE — payments table validation (migration from card_payment):
Verify payments table for the initial sale entry:
   → merchant_id: <merchant_id>
   → payment_provider_id: 9 (WALLET)
   → transaction_status_id: 1 (success)
   → transaction_mode_id: 1
   → transaction_method_id: 6 (wallet)
   → master_token_id: NULL, cs_mid: NULL

Verify payments table for the recharge entry (if Wallet+X was used):
   → merchant_id: 0
   → payment_provider_id: 1 (CARDSTREAM)
   → transaction_mode_id: 2
   → transaction_method_id: 19/20/21 (new_card/saved_card/gpay)
   → cs_mid: <cardstream_cs_mid>","Scenario A results:
1. Recharge + payment SUCCESS
2. transaction_wallet withdrawal_status=0, transaction_type_id=1 after recharge
3. Refund to wallet: withdrawal_status=1 for eligible entry
4. W2C SUCCESS: transaction_type_id=9, withdrawal_status=2
5. Duplicate W2C: ""Wallet to card has already been processed""
6. Refund to CARD: withdrawal_status=0, entry NOT eligible for W2C

Scenario B results:
7. Recharge + payment with different amounts SUCCESS
8. Wallet refund: recharge entry withdrawal_status=0; eligible refund entry withdrawal_status=1
9. W2C: SUCCESS if exact amount match; ""Mismatched amount or not eligible for reversal to the card"" if mismatch

payments table entries:
   Recharge row: merchant_id=0, payment_provider_id=1, transaction_mode_id=2, cs_mid=<cs_mid>
   Wallet payment row: merchant_id=<merchant_id>, payment_provider_id=9, transaction_mode_id=1, transaction_method_id=6, cs_mid=NULL",wallet_to_card;wallet_recharge;wallet_payment;refund_to_wallet;refund_to_card;cardstream;withdrawal_status;,P1,Not-Automated
