Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
Cardstream-CH Add Card,Add Card - 3DS Flow,ACCH-3DS,ACCH-3DS-001,Add Card - Cardstream-CH 3DS card - Card added with three_ds_status = 0,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled for merchant

- Customer account exists


- Cardstream-CH gateway configured

- cardstream_store_id_enabled = 1

- 3DS enabled for merchant""","""- Refer Git repository for Add card test script

- Email: testing@datman.je

- api_key: (refer to QA team for Stage key)

- Country: USA (country_id: 7)

- Currency: USD

- Customer ID: valid customer

- 3DS Capable Card: 4929 4212 3460 0821 (Cardstream-CH 3DS test card)

- CVV: 356

- Expiry: 03/2030

- Cardholder name: Test User

- All mandatory fields""","""1. Open Add Card page using test script

2. Verify page loads successfully

3. Verify NO Google Pay or Apple Pay buttons (Add Card flow)

4. Enter 3DS capable card details:
   - Card: 4929 4212 3460 0821
   - CVV: 356
   - Expiry: 03/2030

5. Enter billing address

6. Submit card details

7. NO 3DS challenge triggered at Add Card stage

8. Verify redirect to success page

9. Capture customer_id and card token

10. Verify database entries

11. Verify Cardstream-CH dashboard

12. Check three_ds_status value""","Database - master_token table:
-> customer_id: provided customer ID
-> scheme_name: 'visa'
-> last_4_digit: '0821'
-> expiry_date: 03
-> three_ds_status: 0 ✓ (NOT yet authenticated)
-> provider: Cardstream-CH
-> token (Cardstream-CH token): Cardstream-CH token
-> customer_reference: Cardstream-CH customer reference
-> created_date: timestamp
-> Token entry created
-> token: Cardstream-CH token
-> token_type: 'recurring'
-> Shopper reference created
-> Card Reference Token stored
-> Card details tokenized
-> NO payment authorization yet
-> Card ready for future payments
-> 3DS capability: detected as 3DS card
-> Value: 0 ✓
-> Meaning: Card added but NOT 3DS authenticated
-> Status will update to 1 on first successful 3DS payment
-> Card is 3DS capable but not yet authenticated
-> Card details encrypted
-> Only token stored
-> Full card number NOT stored
-> CVV NOT stored
-> PCI compliant storage
-> Card ready for Express Pay
-> Card ready for Saved Card payments
-> Card ready for Wallet recharge
-> First payment will trigger 3DS authentication
-> After 3DS success: three_ds_status updates to 1
-> Success message displayed
-> Card visible in payment methods
-> Can set as default card
-> Can use immediately for payments
-> three_ds_status = 0 is EXPECTED at Add Card stage
-> 3DS authentication happens on FIRST PAYMENT
-> After successful 3DS payment: status becomes 1
-> Subsequent payments may bypass 3DS (SCA exemption)""",add_card_cardstream; 3ds_card; three_ds_status_0; card_tokenization; region_us; currency_usd; no_3ds_at_add,P1,Automated,US,NA,CH_AC_TC_001_add_card_with_saved_card_sale.spec.js
Cardstream-CH Add Card,Add Card - 3DS Flow,ACCH-3DS,ACCH-3DS-002,Add Card - Cardstream-CH Non-3DS card - Card added with three_ds_status = 0,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Customer account exists

- Non-3DS card support

- Cardstream-CH gateway configured""","""- Refer Git repository

- Email: testing@datman.je

- Country: USA

- Currency: USD

- Customer ID: valid

- Non-3DS Card: 4532 1100 0000 0001 (Cardstream-CH standard Visa test card)

- CVV: 356

- Expiry: 03/2030

- All mandatory fields""","""1. Open Add Card page

2. Enter Non-3DS card: 4532 1100 0000 0001

3. Enter CVV and expiry

4. Enter billing address

5. Submit card details

6. NO 3DS challenge (Non-3DS card)

7. Verify redirect to success

8. Capture card token

9. Check database entries

10. Verify three_ds_status""","""1. Card added successfully
Database - master_token table:
-> customer_id: provided
-> scheme_name: 'visa'
-> last_4_digit: '0001'
-> three_ds_status: 0 ✓
-> token (Cardstream-CH token): present
Card behavior:
-> Non-3DS card detected
-> No 3DS capability
-> three_ds_status = 0 ✓
-> Will remain 0 even after payments
-> Future payments: non-3DS flow
Cardstream-CH dashboard:
-> Card tokenized
-> Non-3DS card flagged
-> No 3DS authentication required
three_ds_status = 0 ✓ (expected for Non-3DS)
Card ready for payments (non-3DS flow)""",add_card_cardstream; non_3ds_card; three_ds_status_0; card_tokenization; region_us,P1,Automated,US,NA,CH_AC_TC_001_add_card_with_saved_card_sale.spec.js
Cardstream-CH Add Card,Add Card - 3DS Flow,ACCH-3DS,ACCH-3DS-003,Add Card + Express Pay Sale - 3DS authentication and three_ds_status update to 1,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Express Pay configured

- 3DS enabled

- Customer has NO saved cards initially

- WALLET_RECHARGE_AGAINST_ORDER key support""","""- Refer Git repository for Add Card and Express Pay

- Email: testing@datman.je

- api_key: (QA team)

- Country: USA

- Currency: USD

- Customer ID: valid

- 3DS Card: 4929 4212 3460 0821

- CVV: 356

- Expiry: 03/2030

- Express Pay amount: $50.00

- Order details for Express Pay

- All mandatory fields""","""PHASE 1 - ADD CARD:

1. Open Add Card page

2. Enter 3DS card: 4929 4212 3460 0821

3. Complete Add Card process

4. Verify card added with three_ds_status = 0

5. Capture card token and customer_id

6. Verify card visible in payment methods

PHASE 2 - EXPRESS PAY WITH SAVED CARD:

7. Initiate Express Pay transaction for $50.00

8. Express Pay API selects saved card (just added)

9. 3DS challenge triggered (FIRST payment with this card)

10. Customer enters 3DS password: 'password'

11. Complete 3DS authentication

12. Payment authorizes successfully

13. Verify payment successful

14. Verify three_ds_status UPDATED to 1

15. Check all database entries""","""PHASE 1 - ADD CARD (Initial):
Card added successfully
-> three_ds_status: 0 ✓
-> card added but not authenticated
PHASE 2 - EXPRESS PAY PAYMENT:
Express Pay initiated with saved card
3DS authentication flow:
-> FIRST payment with this card
-> 3DS challenge triggered
-> Customer redirected to 3DS page
-> Password entered: 'password'
-> Authentication successful
Database - master_token table:
-> provider: Cardstream-CH
three_ds_status update logic:
-> Before: 0 (card added, not authenticated)
-> After 3DS success: 1 (card authenticated)
-> Status persists for future payments
-> Future payments may bypass 3DS (if rules allow)
Express Pay validation:
-> Saved card selected automatically
-> 3DS triggered on first use
-> Payment successful
-> Card authenticated
-> Status updated
Cardstream-CH dashboard:
-> Express Pay transaction
-> 3DS authenticated
-> Card marked as authenticated
webhook_log:
-> payment_success notification
-> Express Pay details
-> 3DS authentication confirmed
Future payments with this card:
-> three_ds_status = 1 (already authenticated)
-> May NOT require 3DS again (exemption rules)
-> Lower friction for recurring payments
-> SCA compliant""",add_card_express_pay; 3ds_authentication; three_ds_status_update; status_0_to_1; express_pay; saved_card; region_us,P1,Automated,US,NA,CH_AC_TC_002_add_card_with_express_pay_sale.spec
Cardstream-CH Add Card,Add Card - 3DS Flow,ACCH-3DS,ACCH-3DS-004,Add Card + Saved Card Payment - 3DS authentication and three_ds_status update to 1,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Saved Card payment flow configured

- 3DS enabled

- Master token generation enabled

- Customer has NO saved cards initially""","""- Refer Git repository for Add Card and Saved Card payment

- Email: testing@datman.je

- Country: USA

- Currency: USD

- Customer ID: valid

- 3DS Card: 4929 4212 3460 0821

- CVV: 356 (for Add Card)

- Expiry: 03/2030

- Saved Card Payment amount: $75.00

- CVV: NOT required for saved card payment

- Order details

- All mandatory fields""","""PHASE 1 - ADD CARD:

1. Open Add Card page

2. Enter 3DS card details

3. Complete Add Card

4. Verify three_ds_status = 0

5. Card saved with master token

PHASE 2 - SAVED CARD PAYMENT:

6. Open cardstream page

7. Select saved card (just added)

8. Initiate payment for $75.00

9. NO CVV required (saved card)

10. 3DS challenge triggered (first payment)

11. Complete 3DS authentication

12. Payment successful

13. Verify three_ds_status updated to 1

14. Verify master token active

15. Check database validations""","""PHASE 1 - ADD CARD:
Card added with master token
-> three_ds_status: 0 ✓
-> master_token: Cardstream-CH token
PHASE 2 - SAVED CARD PAYMENT:
Saved card payment initiated
3DS authentication:
-> FIRST payment with saved card
-> 3DS challenge triggered
-> Authentication successful
Database - master_token table:
-> master_token_used: 1
-> saved_card_payment: 1
-> authentication_type: 'challenge'
Master token validation:
-> Token remains active
-> Token now associated with 3DS authenticated card
-> Can be reused for future payments
-> May bypass 3DS on subsequent transactions
Saved card flow benefits:
-> No CVV required
-> Master token used
-> 3DS on first payment only
-> Future payments: smoother (may skip 3DS)
-> Enhanced security with 3DS
Database - master_token (if used):
-> token_id: master token reference
-> last_used: timestamp
Cardstream-CH dashboard:
-> Saved card payment
-> 3DS authenticated
-> Master token visible
-> Recurring setup complete
Future saved card payments:
-> three_ds_status = 1
-> May use frictionless 3DS or exempt
-> Lower friction
-> SCA compliant""",add_card_saved_card; 3ds_authentication; three_ds_status_update; master_token; saved_card_payment; status_0_to_1; region_us,P1,Automated,US,NA,CH_AC_TC_002_add_card_with_express_pay_sale.spec
Cardstream-CH Add Card,Add Card - Non-3DS,ACCH-NON3DS,ACCH-NON3DS-002,Add Card - Long Redirect URL (>600 characters) - Card added successfully,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Long URL handling configured

- redirect_url > 600 characters

- Customer account exists""","""- Refer Git repository

- Email: testing@datman.je

- Country: USA

- Currency: USD

- Customer ID: valid

- Valid card: 4532 1100 0000 0001

- CVV: 356

- Expiry: 03/2030

- redirect_url: Long URL (>600 chars)
  Example: https://merchant.com/payment/success?order_id=12345&customer_id=67890&session_token=abc123def456ghi789jkl012mno345pqr678stu901vwx234yz... (continue to >600 chars)

- All mandatory fields""","""1. Open Add Card page with long redirect URL

2. Verify URL length > 600 characters

3. Enter valid card details

4. Submit card details

5. Verify card tokenization successful

6. Verify redirect to LONG URL

7. Check URL handling

8. Verify success page loads

9. Verify all query parameters preserved

10. Check database entries

11. Verify no URL truncation""","""1. Card added successfully with long redirect URL
URL handling:
-> redirect_url length: >600 characters
-> URL NOT truncated ✓
-> All query parameters preserved ✓
-> Redirect successful ✓
-> No URL encoding issues
-> Card added successfully
-> three_ds_status: 0
-> All card details stored
Redirect validation:
-> User redirected to long URL
-> All parameters in URL intact:
* order_id present
* customer_id present
* session_token present
* All custom parameters preserved
-> No truncation or data loss
URL length validation:
-> System handles URLs > 600 chars ✓
-> No 414 error (URI Too Long)
-> Browser handles long URL
-> Backend processes correctly
gateway_request_log:
-> Add card request logged
-> redirect_url stored (full length)
-> Success status
Success page:
-> Loads correctly from long URL
-> All parameters accessible
-> JavaScript can read URL params
-> No browser issues
Edge case handling:
-> Long URLs supported ✓
-> No character limit issues
-> URL encoding proper
-> Query string intact
Cardstream-CH dashboard:
-> Card tokenization successful
-> No issues from long redirect URL
Best practices validated:
-> System supports long URLs
-> No arbitrary length limits
-> Proper URL encoding
-> All data preserved
Browser compatibility:
-> Chrome: handles long URLs ✓
-> Firefox: handles long URLs ✓
-> Safari: handles long URLs ✓
-> Edge: handles long URLs ✓""",add_card_long_url; long_redirect_url; url_handling; edge_case; region_us,P2,Automated,US,NA,CH_AC_TC_004_add_card_with_long_redirect_url.spec
Cardstream-CH Add Card,Add Card - 3DS Flow,ACCH-3DS,ACCH-3DS-005,Add Card + Wallet Recharge - 3DS authentication and three_ds_status update to 1,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Wallet feature enabled for customer

- Wallet recharge configured

- 3DS enabled

- WALLET_RECHARGE_AGAINST_ORDER key configured

- Customer has wallet with balance""","""- Refer Git repository for Add Card and Wallet Recharge

- Email: testing@datman.je

- Country: USA

- Currency: USD

- Customer ID: valid with wallet

- Current wallet balance: $10.00

- 3DS Card: 4929 4212 3460 0821

- CVV: 356

- Expiry: 03/2030

- Wallet recharge amount: $50.00

- Order amount: $60.00 (for context)

- WALLET_RECHARGE_AGAINST_ORDER: enabled

- All mandatory fields""","""PHASE 1 - ADD CARD:

1. Open Add Card page

2. Enter 3DS card: 4929 4212 3460 0821

3. Complete Add Card process

4. Verify card added with three_ds_status = 0

5. Capture card token

PHASE 2 - WALLET RECHARGE:

6. Customer wallet balance: $10.00

7. Order total: $60.00

8. Insufficient wallet balance detected

9. Initiate wallet recharge: $50.00

10. System selects saved card (just added)

11. 3DS challenge triggered (first payment)

12. Customer enters 3DS password

13. Complete 3DS authentication

14. Wallet recharge successful: +$50.00

15. New wallet balance: $60.00

16. Verify three_ds_status updated to 1

17. Check database entries""","""PHASE 1 - ADD CARD:
Card added successfully
-> three_ds_status: 0 ✓
-> Card ready for wallet recharge
PHASE 2 - WALLET RECHARGE:
Wallet recharge flow:
-> Current balance: $10.00
-> Required: $60.00 (order amount)
-> Shortage: $50.00
-> Recharge initiated: $50.00
3DS authentication:
-> FIRST payment with this card
-> 3DS challenge triggered
-> Customer authenticated
Database - master_token table:
-> provider: Cardstream-CH
-> purpose: 'wallet_recharge'
Database - wallet_transactions:
-> transaction_type: 'recharge' or 'credit'
-> amount: $50.00
-> payment_id: [recharge payment_id]
-> previous_balance: $10.00
-> new_balance: $60.00
-> recharge_successful: 1
-> transaction_date: timestamp
-> first_successful_payment: 'wallet_recharge'
Database - wallet_balance (customer):
-> Previous balance: $10.00
-> Recharged: +$50.00
-> wallet_active: 1
Wallet recharge validation:
-> Insufficient balance detected ✓
-> Recharge amount calculated: $50.00 ✓
-> Card charged: $50.00 ✓
-> Wallet credited: $50.00 ✓
-> Balance sufficient for order: $60.00 ✓
three_ds_status update:
-> Before recharge: 0
-> After successful 3DS payment: 1 ✓
-> Card now authenticated
-> Future wallet recharges may skip 3DS
Cardstream-CH dashboard:
-> Wallet recharge payment
-> Amount: $50.00
-> 3DS authenticated
-> Purpose: Wallet top-up
webhook_log:
-> payment_success for wallet recharge
-> Wallet balance updated
Order flow completion:
-> Wallet balance: $60.00
-> Order amount: $60.00
-> Sufficient balance ✓
-> Can proceed with order using wallet
Future wallet recharges:
-> three_ds_status = 1 (authenticated)
-> May use frictionless 3DS
-> Or may be exempt from 3DS
-> Smoother recharge experience""",add_card_wallet_recharge; 3ds_authentication; three_ds_status_update; wallet_recharge; status_0_to_1; saved_card; region_us,P1,Pending,US,NA,NA
Cardstream-CH Add Card,Add Card - Error Handling,ACCH-ERROR,ACCH-ERROR-001,Add Card - Invalid Card Number Validation,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Card validation configured

- Customer account exists""","""- Refer Git repository

- Email: testing@datman.je

- Country: USA

- Currency: USD

- Customer ID: valid

- Invalid Card Numbers:
  * 1234 5678 9012 3456 (invalid format)
  * 0000 0000 0000 0000 (all zeros)
  * 1111 1111 1111 1111 (fails Luhn check)
  * 4111 1111 1111 111 (too short)
  * 4532 1100 0000 00011 (too long)

- CVV: 356

- Expiry: 03/2030""","""1. Open Add Card page

2. Enter invalid card number: 1234 5678 9012 3456

3. Enter valid CVV and expiry

4. Enter billing address

5. Submit card details

6. Verify validation error

7. Check error message

8. Repeat with different invalid formats

9. Verify no card saved

10. Check database entries""","""1. Card addition FAILS - invalid card number
Validation errors:
-> ""Invalid card number""
-> ""Please enter a valid card number""
-> ""Card number format is incorrect""
-> Client-side validation catches error
Client-side validation:
-> Luhn algorithm check fails
-> Invalid length detected
-> Invalid format detected
-> Error shown before submission
Server-side validation (if reached):
-> HTTP 400 (Bad Request)
-> Error: ""Invalid card number""
-> Card validation failed
-> No tokenization attempted
-> NO entry created ✓
-> Invalid card NOT saved
-> Validation prevents storage
Database - gateway_request_log:
-> Request may be logged
-> Validation error: Invalid card number
-> No API call to Cardstream-CH (if client-side caught)
Error handling:
-> Clear error message displayed
-> User can correct and retry
-> Input field highlighted
Security validation:
-> Prevents invalid data submission
-> Luhn check working ✓
-> Format validation working ✓
-> Length validation working ✓
User experience:
-> Immediate feedback
-> Clear error message
-> Easy to correct
-> No frustration
Card formats tested:
-> 1234 5678 9012 3456: Invalid format
-> 0000 0000 0000 0000: Invalid (all zeros)
-> 1111 1111 1111 1111: Fails Luhn check
-> 4111 1111 1111 111: Too short (15 digits)
-> 4532 1100 0000 00011: Too long (17 digits)
-> All rejected ✓
No card saved ✓
Customer can retry with valid card""",add_card_validation; invalid_card_number; validation_error; luhn_check; error_handling; negative_test,P1,Pending,US,NA,NA
Cardstream-CH Add Card,Add Card - Error Handling,ACCH-ERROR,ACCH-ERROR-002,Add Card - Invalid Expiry Date Validation,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Expiry validation configured""","""- Refer Git repository

- Email: testing@datman.je

- Country: USA

- Currency: USD

- Valid Card: 4532 1100 0000 0001

- CVV: 356

- Invalid Expiry Dates:
  * 13/2030 (month > 12)
  * 00/2030 (month = 0)
  * 01/2020 (expired)
  * 12/2015 (expired)
  * 99/2030 (invalid month)""","""1. Open Add Card page

2. Enter valid card: 4532 1100 0000 0001

3. Enter invalid expiry: 13/2030

4. Submit card details

5. Verify validation error

6. Test expired date: 01/2020

7. Test invalid month: 00/2030

8. Check error messages

9. Verify no card saved""","""1. Card addition FAILS - invalid expiry
Validation errors:
Expiry 13/2030:
-> ""Invalid expiry month""
-> ""Month must be between 01 and 12""
Expiry 01/2020:
-> ""Card has expired""
-> ""Please enter a future expiry date""
Expiry 00/2030:
-> ""Invalid month""
-> ""Month cannot be 00""
Client-side validation:
-> Month range: 01-12
-> Year: future date
-> Current date comparison
-> Format: MM/YYYY
Server-side validation:
-> HTTP 400 (Bad Request)
-> ""Invalid expiry date""
-> Expiry validation failed
-> NO entry created ✓
-> Invalid expiry NOT saved
Error handling:
-> Clear error messages
-> Field highlighting
-> User can correct
-> Immediate feedback
Expiry validation rules:
-> Month: 01-12 only
-> Not expired ✓
-> Valid format: MM/YYYY
All invalid expiries rejected ✓""",add_card_validation; invalid_expiry; expiry_validation; validation_error; negative_test,P1,Pending,US,NA,
Cardstream-CH Add Card,Add Card - Error Handling,ACCH-ERROR,ACCH-ERROR-005,Add Card - Invalid Redirect URL Validation,"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- redirect_url validation configured""","""- Refer Git repository

- Email: testing@datman.je

- Country: USA

- Valid card details

- Invalid redirect_url:
  * Not a valid URL format
  * Missing protocol (http/https)
  * Invalid characters
  * Localhost/internal IP (if blocked)
  * javascript: protocol (XSS attempt)""","""1. Prepare Add Card request

2. Set redirect_url: ""not-a-url""

3. Submit request

4. Verify validation error

5. Test: ""javascript:alert(1)""

6. Test: ""file:///etc/passwd""

7. Test: ""http://localhost""

8. Check error responses""","""1. Add Card FAILS - invalid redirect URL
Validation errors:
""not-a-url"":
-> ""Invalid redirect URL format""
-> ""Must be valid HTTP/HTTPS URL""
""javascript:alert(1)"":
-> ""Invalid URL protocol""
-> ""Only HTTP/HTTPS allowed""
-> XSS attempt blocked ✓
""file:///etc/passwd"":
-> Security risk blocked ✓
""http://localhost"" (if blocked):
-> ""Internal URLs not allowed""
-> ""Redirect must be public URL""
URL validation rules:
-> Must start with http:// or https://
-> Valid domain format
-> No javascript: protocol
-> No file: protocol
-> No data: protocol
-> Public URLs only (if configured)
Server-side validation:
-> HTTP 400 (Bad Request)
-> ""Invalid redirect_url""
-> URL format validation
-> Protocol validation
Security validation:
-> XSS prevention ✓
-> Open redirect prevention
-> Protocol whitelist enforced
-> Dangerous protocols blocked
Database - gateway_request_log:
-> Invalid request logged
-> Error: Invalid redirect URL
-> Security incident flagged
Error response:
-> Clear error message
-> Security details NOT exposed
-> Generic message to client
No card saved ✓
Security incident logged
All malicious URLs blocked ✓""",add_card_validation; invalid_redirect_url; url_validation; security_validation; xss_prevention; negative_test,P1,Pending,US,NA,NA
Cardstream-CH Add Card,Add Card - Non-3DS,ACCH-NON3DS,ACCH-NON3DS-003,Add Card - Redirect URL Exceeds Maximum Length (>2000 chars),"""- Merchant in USA (country_id: 7) pointed to Cardstream-CH

- Add card feature enabled

- Maximum URL length configured

- URL length limit: typically 2000 chars""","""- Refer Git repository

- Email: testing@datman.je

- Country: USA

- Valid card details

- redirect_url: >2000 characters
  Example: https://merchant.com/success?param1=value1&param2=value2... (continue to >2000 chars)""","""1. Prepare Add Card request

2. Generate redirect_url >2000 chars

3. Include many query parameters

4. Submit request

5. Verify length validation

6. Check error response

7. Test boundary: exactly 2000 chars

8. Test: 2001 chars (over limit)""","""1. Add Card FAILS - URL too long
Validation error:
-> ""redirect_url exceeds maximum length""
-> ""URL must be less than 2000 characters""
-> ""Please use shorter redirect URL""
URL length validation:
-> Maximum: 2000 characters (typical)
-> Current length: >2000 characters
-> Exceeds limit: REJECTED ✓
Server-side validation:
-> HTTP 400 (Bad Request)
-> Error: ""redirect_url too long""
-> Length: [actual length] > 2000
Technical limits:
-> HTTP URL length limits
-> Browser limitations
-> Server configuration
-> Database field limits
Boundary testing:
-> 1999 chars: ACCEPTED ✓
-> 2000 chars: ACCEPTED ✓
-> 2001 chars: REJECTED ✓
-> >2000 chars: REJECTED ✓
Error response:
-> Clear message
-> Actual length shown (optional)
-> Guidance provided
Database - gateway_request_log:
-> Invalid request logged
-> Length recorded
No card saved ✓
Workaround suggestions:
-> Use URL shortener
-> Reduce query parameters
-> Use session tokens instead
-> Store data server-side
Note: TC006 tested >600 chars (success)
This test: >2000 chars (failure)
Sweet spot: 600-2000 chars acceptable""",add_card_validation; url_too_long; length_validation; max_length_exceeded; negative_test,P2,Automated,US,NA,CH_AC_TC_004_add_card_with_long_redirect_url.spec.js
