Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status
Adyen Google Pay,Google Pay 3DS Flow,GP-3DS,GP-3DS-001,Google Pay Web Sale - UK Standard Sale (Non-3DS),"""- Merchant in UK (country_id: 1) pointed to Adyen

- Google Pay enabled in digital_wallet_visibility_rules for Adyen and UK

- Valid Google Pay test cards available

- New card page accessible""","""- Refer Git repository for test script to open new card page

- Email: testing@datman.je

- api_key: (refer to QA team for Stage key)

- Webhook url: webhook_url

- Country: United Kingdom (country_id: 1)

- Currency: GBP

- Transaction amount: £50.00 (within express pay limit)

- Address objects in format:
  - address: {house_number, flat, address1, address2, postcode}
  - avs: {house_number, postcode}
  - AddressOnFile: [{AvsHouseNumber, AvsPostcode}]

- Google Pay test card: Non-3DS card from Google test suite

- All mandatory fields""","""1. Open new card page using test script

2. Verify Google Pay button displayed in payment form

3. Click Google Pay button

4. Select Non-3DS test card from Google Pay card list

5. Complete payment through Google Pay flow

6. Verify redirect to redirect_url upon completion

7. Capture order_id and verify database entries""","""1. Payment completes successfully and redirects to redirect_url

2. Database verification - gateway_request_log:
-> Entry created with raw payload
-> Payment method: Google Pay Web
-> Country: UK, Currency: GBP

3. Database verification - payments table:
-> transaction_status_id: 1 (success)
-> payment_provider_id: 5 (Adyen)
-> transaction_method_id: 8 (Google Pay Web)
-> transaction_time: valid BST timestamp
-> firstname, lastname captured
-> psp_reference: Adyen reference present
-> merchant_id, country_code: 'GB', currency_code: 'GBP'
-> fee: calculated based on merchant fee_tier
-> net: gross - fee
-> gross: £50.00
-> internal_reference: O<order_id>M<merchant_id>T<payment_id>
-> last_4_digits: last 4 digits of card
-> email_address: testing@datman.je
-> shopper_id populated

4. Database verification - webhook_log:
-> webhook_url present
-> action: 'payment_success'
-> encrypted_payload present
-> http_response_code: ""200""
-> payload: {transaction_id, customer_id, order_info_id, amount, reference, metadata}

5. Database verification - adyen_webhook_notification_log:
-> event: ""AUTHORISATION - true""
-> reference: O<order_id>M<merchant_id>T<payment_id>
-> merchant_id present
-> payload: Adyen webhook payload

6. Adyen UK dashboard verification:
-> Payment lifecycle complete
-> Transaction amount: £50.00 GBP
-> Payment method: Google Pay
-> No splits involved (standard sale)
-> Settlement status visible""","""googlepay_web_adyen;
googlepay_web_standard;
region_uk;
currency_gbp;
non_3ds;
""",P1,Automated
Adyen Google Pay,Google Pay 3DS Flow,GP-3DS,GP-3DS-002,Google Pay Web Sale - US Standard Sale (Non-3DS),"""- Merchant in US (country_id: 7) pointed to Adyen

- Google Pay enabled in digital_wallet_visibility_rules for Adyen and US

- Valid Google Pay test cards available

- New card page accessible""","""- Refer Git repository for test script

- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: United States (country_id: 7)

- Currency: USD

- Transaction amount: $75.00 (within express pay limit)

- Address objects properly formatted

- Google Pay test card: Non-3DS from test suite

- All mandatory fields""","""1. Open new card page using test script

2. Verify Google Pay button displayed

3. Click Google Pay button

4. Select Non-3DS test card from Google Pay

5. Complete payment through Google Pay flow

6. Verify redirect to redirect_url

7. Capture order_id and verify database entries""","""1. Payment completes successfully with redirect

2. Database verification - gateway_request_log:
-> Entry created with US payload
-> Payment method: Google Pay Web
-> Country: US, Currency: USD

3. Database verification - payments table:
-> transaction_status_id: 1
-> payment_provider_id: 5
-> transaction_method_id: 8
-> country_code: 'US'
-> currency_code: 'USD'
-> gross: $75.00
-> fee: calculated for US merchant
-> net: $75.00 - fee
-> internal_reference: O<order_id>M<merchant_id>T<payment_id>
-> All required fields populated

4. Database verification - webhook_log:
-> webhook_url, action: payment_success
-> http_response_code: ""200""
-> payload with US transaction details

5. Database verification - adyen_webhook_notification_log:
-> event: ""AUTHORISATION - true""
-> US transaction reference
-> Adyen payload present

6. Adyen US dashboard verification:
-> Payment lifecycle complete
-> Amount: $75.00 USD
-> Google Pay transaction
-> No splits
-> Shopper statement shows merchant name""","""googlepay_web_adyen;
googlepay_web_standard;
region_us;
currency_usd;
non_3ds;
""",P1,Automated
Adyen Google Pay,Google Pay 3DS Flow,GP-3DS,GP-3DS-003,Google Pay Web Sale - AU Standard Sale (Non-3DS),"""- Merchant in Australia (country_id: 3) pointed to Adyen

- Google Pay enabled for Adyen and AU

- Valid Google Pay test cards

- New card page accessible""","""- Refer Git repository for test script

- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: Australia (country_id: 3)

- Currency: AUD

- Transaction amount: 100 AUD (within limit)

- Address objects formatted

- Google Pay test card: Non-3DS

- All mandatory fields""","""1. Open new card page

2. Verify Google Pay button displayed

3. Click Google Pay button

4. Select Non-3DS test card

5. Complete Google Pay payment

6. Verify redirect to redirect_url

7. Verify database entries""","""1. Payment successful with redirect

2. Database verification - gateway_request_log:
-> AU payload captured
-> Google Pay Web method
-> Country: AU, Currency: AUD

3. Database verification - payments table:
-> transaction_status_id: 1
-> payment_provider_id: 5
-> transaction_method_id: 8
-> country_code: 'AU'
-> currency_code: 'AUD'
-> gross: 100.00 AUD
-> fee: AU merchant fee tier
-> net: 100.00 - fee
-> internal_reference format correct
-> All fields populated

4. Database verification - webhook_log:
-> payment_success action
-> http_response_code: ""200""
-> AU transaction payload

5. Database verification - adyen_webhook_notification_log:
-> AUTHORISATION event
-> AU reference
-> Adyen payload

6. Adyen AU dashboard verification:
-> Payment complete
-> Amount: 100 AUD
-> Google Pay method
-> No splits
-> Settlement in AUD""","""googlepay_web_adyen;
googlepay_web_standard;
region_au;
currency_aud;
non_3ds;
""",P1,Automated
Adyen Google Pay,Google Pay 3DS Flow,GP-3DS,GP-3DS-004,Google Pay Web Sale - UK with 3DS Authentication,"""- Merchant in UK pointed to Adyen

- Google Pay enabled for Adyen and UK

- 3DS test card available in Google Pay suite

- 3DS authentication enabled""","""- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: UK (country_id: 1)

- Currency: GBP

- Transaction amount: £100.00

- Google Pay test card: 3DS-enabled card

- cancel_url: https://merchant.com/cancel

- back_url: https://merchant.com/back

- All mandatory 3DS fields""","""1. Open new card page

2. Verify Google Pay button displayed

3. Click Google Pay button

4. Select 3DS test card from Google Pay

5. Complete Google Pay card selection

6. System triggers 3DS authentication flow

7. Complete 3DS authentication (OTP/challenge)

8. Verify transaction completion after 3DS

9. Verify redirect to redirect_url

10. Check database entries""","""1. Google Pay card selection successful

2. 3DS authentication flow initiated

3. 3DS challenge completed successfully

4. Payment processed after 3DS authentication

5. Redirect to redirect_url successful

6. Database verification - gateway_request_log:
-> UK payload with 3DS data captured
-> Google Pay Web + 3DS

7. Database verification - payments table:
-> transaction_status_id: 1
-> payment_provider_id: 5
-> transaction_method_id: 8
-> country_code: 'GB'
-> gross: £100.00
-> 3DS authentication flags set
-> All fields populated

8. Database verification - adyen_webhook_notification_log:
-> 3DS challenge logged
-> challenge_required: true
-> authentication_result: success
-> Google Pay with 3DS

9. Database verification - webhook_log:
-> payment_success after 3DS completion
-> http_response_code: ""200""

10. Database verification - adyen_webhook_notification_log:
-> AUTHORISATION with 3DS details
-> 3DS authentication successful

11. Adyen UK dashboard:
-> Payment lifecycle shows 3DS
-> Amount: £100.00
-> 3DS authentication: success
-> Google Pay method visible""","""googlepay_web_adyen;
googlepay_web_3ds;
region_uk;
3ds_authentication;
""",P1,Automated
Adyen Google Pay,Google Pay 3DS Flow,GP-3DS,GP-3DS-005,Google Pay Web Sale - US with 3DS Authentication,"""- Merchant in US pointed to Adyen

- Google Pay enabled for US

- 3DS test card available

- 3DS enabled""","""- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: US (country_id: 7)

- Currency: USD

- Amount: $150.00

- Google Pay 3DS test card

- cancel_url, back_url provided

- All 3DS fields""","""1. Open new card page

2. Click Google Pay button

3. Select 3DS test card from Google Pay

4. Complete card selection

5. System triggers 3DS flow

6. Complete 3DS authentication

7. Verify transaction completes

8. Verify redirect

9. Check database""","""1. Google Pay card selected

2. 3DS authentication initiated

3. 3DS challenge successful

4. Payment processed

5. Database verification - payments:
-> transaction_status_id: 1
-> payment_method_id: 8
-> country_code: 'US', currency: 'USD'
-> gross: $150.00
-> 3DS completed

6. Database verification - adyen_webhook_notification_log:
-> 3DS authentication: success
-> Google Pay with 3DS

7. webhook_log: payment_success

8. Adyen US dashboard:
-> 3DS authentication visible
-> Amount: $150 USD
-> Google Pay transaction""","""googlepay_web_adyen;
googlepay_web_3ds;
region_us;
3ds_authentication;
""",P1,Automated
Adyen Google Pay,Google Pay 3DS Flow,GP-3DS,GP-3DS-006,Google Pay Web Sale - AU with 3DS Authentication,"""- Merchant in AU pointed to Adyen

- Google Pay enabled for AU

- 3DS test card available

- 3DS enabled""","""- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: AU (country_id: 3)

- Currency: AUD

- Amount: 200 AUD

- Google Pay 3DS card

- 3DS fields provided

- All mandatory fields""","""1. Open new card page

2. Click Google Pay button

3. Select 3DS test card

4. Complete card selection

5. 3DS flow initiated

6. Complete 3DS authentication

7. Verify payment success

8. Verify redirect

9. Check database""","""1. Google Pay card selected

2. 3DS completed successfully

3. Payment processed

4. Database verification - payments:
-> transaction_status_id: 1
-> method_id: 8 (Google Pay)
-> country: 'AU', currency: 'AUD'
-> gross: 200 AUD
-> 3DS flags set

5. adyen_webhook_notification_log:
-> 3DS success for Google Pay AU

6. webhook_log: payment_success

7. Adyen AU dashboard:
-> 3DS authentication visible
-> Amount: 200 AUD
-> Google Pay AU transaction""","""googlepay_web_adyen;
googlepay_web_3ds;
region_au;
3ds_authentication;
""",P1,Automated
Adyen Google Pay,Google Pay Split Payments,GP-SPLIT,GP-SPLIT-001,Google Pay Web Sale - UK Without Split (Standard Sale),"""- Merchant in UK pointed to Adyen

- Google Pay enabled

- NO split configuration in payload

- Standard sale scenario""","""- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: UK

- Currency: GBP

- Amount: £75.00

- Google Pay test card

- NO SplitFee array in payload

- All mandatory fields""","""1. Open new card page

2. Click Google Pay button

3. Select test card

4. Complete payment (no splits)

5. Verify transaction success

6. Verify database entries

7. Confirm NO split entries created""","""1. Payment successful

2. Database verification - payments:
-> Single entry for merchant
-> gross: £75.00
-> fee: merchant fee only
-> net: £75.00 - fee
-> NO split deductions

3. Database verification - payments_split_commission:
-> NO entries (table empty for this transaction)
-> Confirms no split processing

4. webhook_log:
-> payment_success
-> Single merchant payment

5. Adyen UK dashboard:
-> Single merchant transaction
-> NO split allocation
-> Full amount to merchant (minus fees)

6. Settlement report:
-> Merchant receives net amount
-> NO split distribution
-> Standard sale processing""","""googlepay_web_adyen;
googlepay_web_standard;
no_splits;
region_uk;
""",P1,Automated
Adyen Google Pay,Google Pay Split Payments,GP-SPLIT,GP-SPLIT-002,Google Pay Web Sale - With Split Type 1 (Food/Goods),"""- Merchant pointed to Adyen

- Google Pay enabled

- Split Type 1 configured

- Partner merchant ID available""","""- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: UK

- Currency: GBP

- Amount: £100.00

- Google Pay test card

- SplitFee array:
[
  {""partner_merchant_id"": ""Split_Merchant1_ID"", ""type_id"": 1, ""value"": ""15.00""}
]

- All mandatory fields""","""1. Open new card page

2. Verify Google Pay button

3. Click Google Pay button

4. Select test card from Google Pay

5. Complete payment with split configuration

6. Verify transaction success

7. Verify database entries for main and split merchants

8. Verify Adyen split allocation""","""1. Payment successful with split

2. Database verification - gateway_request_log:
-> SplitFee array captured in payload
-> Split Type 1 configuration logged

3. Database verification - payments table (2 entries):

Entry 1 - Main Merchant:
-> merchant_id: Main_Merchant_ID
-> gross: £100.00
-> fee: merchant fee
-> net: £100.00 - fee - £15.00 (split deducted)
-> transaction_method_id: 8 (Google Pay)

Entry 2 - Split Merchant (Type 1):
-> merchant_id: Split_Merchant1_ID
-> gross: £15.00
-> fee: £0.00
-> net: £15.00
-> commission_type_id: 1 (Food/Goods)
-> transaction_method_id: 8

4. Database verification - payments_split_commission:
-> Entry created with commission_type_id: 1
-> partner_merchant_id: Split_Merchant1_ID
-> amount: £15.00
-> payment_id: main payment_id

5. webhook_log:
-> payment_success with split details

6. Adyen dashboard:
-> Split allocation visible
-> Main merchant: net amount
-> Split merchant: £15.00
-> Total: £100.00

7. Financial reconciliation:
-> Customer pays: £100
-> Main merchant net: £100 - fee - £15
-> Split merchant: £15
-> Total distributed: £100""","""googlepay_web_adyen;
googlepay_web_splits;
split_type_food_goods;
region_uk;
""",P1,Automated
Adyen Google Pay,Google Pay Split Payments,GP-SPLIT,GP-SPLIT-003,Google Pay Web Sale - With Multiple Splits (Type 1 + Type 2),"""- Merchant pointed to Adyen

- Google Pay enabled

- Multiple split types configured

- Partner merchant IDs available""","""- Email: testing@datman.je

- api_key: (refer to QA team)

- Webhook url: webhook_url

- Country: UK

- Amount: £150.00

- Google Pay test card

- SplitFee array:
[
  {""partner_merchant_id"": ""Split_M1"", ""type_id"": 1, ""value"": ""20.00""},
  {""partner_merchant_id"": ""Split_M2"", ""type_id"": 2, ""value"": ""10.00""}
]

- All mandatory fields""","""1. Open new card page

2. Click Google Pay button

3. Select test card

4. Complete payment with multiple splits

5. Verify transaction success

6. Verify all database entries (main + 2 splits)

7. Verify Adyen split array""","""1. Payment successful with multiple splits

2. Database verification - payments table (3 entries):

Entry 1 - Main Merchant:
-> gross: £150.00
-> net: £150.00 - fee - £30.00 (total splits)
-> method_id: 8

Entry 2 - Split Merchant1 (Type 1):
-> gross: £20.00
-> net: £20.00
-> commission_type_id: 1

Entry 3 - Split Merchant2 (Type 2):
-> gross: £10.00
-> net: £10.00
-> commission_type_id: 2

3. Database verification - payments_split_commission (2 entries):
-> Entry 1: type_id 1, amount £20
-> Entry 2: type_id 2, amount £10

4. Adyen dashboard:
-> Three-way split visible
-> Main: £120 (after splits and fees)
-> Split1: £20
-> Split2: £10
-> Total: £150

5. Financial reconciliation:
-> Customer: £150
-> Main: £120 net
-> Split1: £20
-> Split2: £10
-> Total: £150 ✓""","""googlepay_web_adyen;
googlepay_web_splits;
multiple_splits;
region_uk;
""",P1,Automated
Adyen Google Pay,Google Pay Refunds,GP-REFUND,GP-REFUND-001,Google Pay Web Sale - Full Refund Without Splits,"""- Merchant pointed to Adyen

- Google Pay sale completed successfully

- NO splits in original transaction

- Refund enabled for merchant""","""- Original Google Pay sale:
  - Amount: £80.00
  - No splits
  - transaction_status_id: 1

- Refund details:
  - order_id: from original transaction
  - merchant_id: from original
  - Refund amount: £80.00 (FULL)
  - psp_reference: from original

- api_key: (refer to QA team)

- Webhook url: webhook_url""","""1. Complete Google Pay sale (£80.00, no splits)

2. Capture payment_id, order_id, psp_reference

3. Process refund API request with full amount

4. Verify refund successful

5. Check database entries

6. Verify Adyen refund processing""","""1. Refund API returns 200 Success with refund_id

2. Database verification - refunds table:
-> refund_amount: £80.00
-> original_payment_id: [payment_id]
-> refund_status_id: 1 (success)
-> refund_type: full
-> psp_refund_reference: Adyen refund reference

3. Database verification - payments table:
-> Original entry remains
-> transaction_status_id: 1
-> gross: £80.00 (unchanged)

4. Database verification - webhook_log:
-> action: refund_success
-> refund webhook sent
-> http_response_code: ""200""

5. Database verification - adyen_webhook_notification_log:
-> event: REFUND
-> refund reference logged
-> Adyen refund payload

6. Adyen dashboard:
-> Full refund of £80.00 visible
-> Original transaction shows refunded status
-> Customer receives £80.00

7. Financial reconciliation:
-> Customer paid: £80.00
-> Customer refunded: £80.00
-> Net: £0.00 ✓""","""googlepay_web_adyen;
googlepay_web_refund;
full_refund;
no_splits;
""",P1,Automated
