Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-001,Apple Pay Web Sale - UK Standard Non-3DS Sale,"- Merchant in UK (country_id: 1) pointed to Adyen
- Apple Pay enabled in digital_wallet_visibility_rules for Apple Pay and UK
- New card page accessible
- Apple Pay is only available in UK, US, AU and other Countries - So machine should be set to show that option
- Must test on Safari browser! (Apple Pay requirement)
- There are no test cards to add a live card, but it wont be charged in test environment","- Refer Git repository for test script to open new card page
- Email: testing@datman.je
- Merchant api_key: (refer credentials shared to QA team for test api_key)
- Webhook url: webhook_url
- Country: United Kingdom
- Currency: GBP
- Transaction amount: £50.00 (within express pay limit)
- Address objects (full format: house_number, flat, street, town, county, postcode)
- CardOnFile: [{AvsHouse, AvsPostcode}] pre-added
- Authenticate the transaction if required
- All mandatory fields populated","1. Open new card page using test script in Safari browser
2. Verify Apple Pay button displayed in payment form
3. Click on Apple Pay button
4. Complete payment through Apple Pay flow
5. Verify redirect to redirect_url upon completion
6. Capture order_id and verify database entries","- Payment completes successfully and redirects to redirect_url
- Database verification:
  1. gateway_request_log:
     -> Entry created with raw payload
     -> digital_wallet_method: Apple Pay Web
     -> payment_method_type: ApplePay, gateway_status_id: 3 (Success)
     -> payment_provider_id: 5 (Adyen)
     -> psp_reference: populated with Adyen reference
     -> created_at_utc: valid BST timestamp
  2. payments table:
     -> customer_id, first_name, last_name captured from Apple Pay
     -> psp_reference: matches Adyen reference
     -> country_id: 1, country_code: 'GB', country: 'United Kingdom'
     -> currency_id: 1, currency: 'GBP'
     -> gross_amount: 50.00
     -> gateway_fee: calculated based on merchant tier
     -> net_amount: gross - fees
     -> internal_order_id populated
     -> shopper_reference populated for tokenization
  3. merchant_cards:
     -> Card token saved with encrypted_payment_data
     -> http_response_data: ""200""
     -> payment_method_meta: {customer_data, address_data}
     -> notification_status: event: ""AUTHORISATION"", success: true
- Appears in UK dashboard
- No splits involved (standard sale)
- Settlement lifecycle completes",applepay_web_adyen;applepay_web;standard;region_uk;currency_gbp;non_3ds;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-002,Apple Pay Web Sale - US Standard Non-3DS Sale,"- Merchant in US (country_id: 7) pointed to Adyen
- Apple Pay enabled in digital_wallet_visibility_rules for Apple Pay and US
- New card page accessible
- Must test on Safari browser
- Test environment configured","- Test script for US merchant
- Email: testing@datman.us
- Merchant api_key for US
- Webhook url
- Country: United States
- Currency: USD
- Transaction amount: $75.00
- Address: US format (street, city, state, zip)
- All mandatory fields populated","1. Open new card page using US test script in Safari
2. Verify Apple Pay button displayed
3. Click Apple Pay button
4. Select US card from Apple Pay wallet
5. Complete payment flow
6. Verify redirect and capture order_id","- Payment completes successfully
- Database verification:
  -> country_id: 7, country_code: 'US'
  -> currency_id: 2, currency: 'USD'
  -> gross_amount: 75.00
  -> US merchant fees applied
  -> Address stored in US format
  -> payment_provider_id: 5 (Adyen)
- Appears in US dashboard
- Adyen webhook received and processed
- Settlement in USD",applepay_web_adyen;applepay_web;standard;region_us;currency_usd;non_3ds;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-003,Apple Pay Web Sale - AU Standard Non-3DS Sale,"- Merchant in AU (country_id: 3) pointed to Adyen
- Apple Pay enabled for AU region
- New card page accessible
- Safari browser required
- Test environment configured","- Test script for AU merchant
- Email: testing@datman.au
- Merchant api_key for AU
- Webhook url
- Country: Australia
- Currency: AUD
- Transaction amount: $100.00 AUD
- Address: AU format
- All mandatory fields","1. Open new card page using AU test script in Safari
2. Verify Apple Pay button displayed
3. Click Apple Pay button
4. Select AU card from Apple Pay wallet
5. Complete payment
6. Verify redirect and database","- Payment completes successfully
- Database verification:
  -> country_id: 3, country_code: 'AU'
  -> currency_id: 3, currency: 'AUD'
  -> gross_amount: 100.00
  -> AU merchant fees applied
  -> payment_provider_id: 5 (Adyen)
- Appears in AU dashboard
- Settlement in AUD",applepay_web_adyen;applepay_web;standard;region_au;currency_aud;non_3ds;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-004,Apple Pay Web Sale - UK 3DS Authentication,"- Merchant in UK pointed to Adyen
- Apple Pay enabled
- 3DS authentication enabled
- Safari browser
- Test card that triggers 3DS","- UK merchant credentials
- Email: testing@datman.je
- Country: United Kingdom
- Currency: GBP
- Amount: £100.00
- Test card: Use 3DS challenge card
- Full address and customer details","1. Open new card page in Safari
2. Click Apple Pay button
3. Select card requiring 3DS
4. Apple Pay wallet prompts for device authentication
5. Complete Face ID/Touch ID authentication
6. 3DS challenge page may appear
7. Complete 3DS authentication
8. Verify payment success and redirect","- 3DS authentication flow triggered
- Database verification:
  -> gateway_request_log: authentication_status logged
  -> 3DS version captured (3DS2.0)
  -> authentication_value stored
  -> eci_code populated
  -> cavv data stored
  -> 3ds_authentication table updated
  -> Payment completes after 3DS success
- Adyen webhook includes 3DS data
- Higher authorization rate with 3DS",applepay_web_adyen;applepay_web;3ds;region_uk;currency_gbp;authentication;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-005,Apple Pay Web Sale - US 3DS Authentication,"- Merchant in US pointed to Adyen
- Apple Pay enabled
- 3DS authentication enabled
- Safari browser
- Test card triggering 3DS","- US merchant credentials
- Country: United States
- Currency: USD
- Amount: $150.00
- 3DS challenge card
- Full customer details","1. Open new card page in Safari
2. Click Apple Pay button
3. Select 3DS card from Apple Pay wallet
4. Complete device authentication
5. Complete 3DS challenge if presented
6. Verify payment and redirect","- 3DS authentication successful
- Database verification:
  -> 3DS data stored in all relevant tables
  -> country_id: 7, currency: USD
  -> Payment completes with 3DS liability shift
- US dashboard shows 3DS payment
- Adyen 3DS webhook processed",applepay_web_adyen;applepay_web;3ds;region_us;currency_usd;authentication;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-006,Apple Pay Web Sale - AU 3DS Authentication,"- Merchant in AU pointed to Adyen
- Apple Pay enabled
- 3DS enabled
- Safari browser
- 3DS test card","- AU merchant credentials
- Country: Australia
- Currency: AUD
- Amount: $200.00 AUD
- 3DS test card
- Full details","1. Open new card page in Safari
2. Click Apple Pay button
3. Select 3DS card
4. Complete device and 3DS authentication
5. Verify payment success","- 3DS flow completes successfully
- Database verification:
  -> AU merchant (country_id: 3)
  -> 3DS authentication data stored
  -> Payment liability shifted to issuer
- AU dashboard updated
- Settlement processed",applepay_web_adyen;applepay_web;3ds;region_au;currency_aud;authentication;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-007,Apple Pay Web Sale - Split Type 1 (Food/Goods),"- UK merchant with split enabled
- Apple Pay enabled
- Split partners configured
- Safari browser","- UK merchant credentials
- Amount: £100.00
- Split array: [{partner_merchant_id: ""663208111"", type_id: 1, value_type: ""amount"", value: ""20.00""}]
- Country: UK, Currency: GBP","1. Open new card page in Safari
2. Click Apple Pay button
3. Complete payment with split payload
4. Verify redirect and database","- Payment successful
- Database verification:
  -> payments table: gross_amount = 100.00
  -> payment_splits table: Entry with type_id=1, amount=20.00
  -> Split sent to Adyen in authorization
  -> Partner merchant receives £20.00
  -> Primary merchant receives £80.00
- Dashboard shows split transaction",applepay_web_adyen;applepay_web;splits;split_type_1;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-008,Apple Pay Web Sale - Split Type 2 (Marketplace Fee),"- UK merchant with marketplace setup
- Apple Pay enabled
- Split partners configured
- Safari browser","- UK merchant credentials
- Amount: £150.00
- Split array: [{partner_merchant_id: ""663192253"", type_id: 2, value_type: ""percentage"", value: ""10""}]
- Country: UK, Currency: GBP","1. Open new card page in Safari
2. Click Apple Pay button
3. Complete payment with marketplace fee split
4. Verify payment and split allocation","- Payment successful
- Split calculation: 10% = £15.00
- Database verification:
  -> payment_splits: type_id=2, calculated amount=15.00
  -> Partner receives 10% (£15.00)
  -> Primary merchant receives £135.00
- Adyen receives split array
- Settlement distributed correctly",applepay_web_adyen;applepay_web;splits;split_type_2;marketplace;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-009,Apple Pay Web Sale - Split Type 7 (Multiple Splits),"- UK merchant with multiple partners
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £200.00
- Split array: [
  {partner_id: ""663208111"", type_id: 1, value_type: ""amount"", value: ""30.00""},
  {partner_id: ""663192253"", type_id: 2, value_type: ""amount"", value: ""20.00""},
  {partner_id: ""663192254"", type_id: 3, value_type: ""amount"", value: ""15.00""}
]","1. Open new card page in Safari
2. Click Apple Pay button
3. Complete payment with multiple splits
4. Verify all splits processed","- Payment successful for £200.00
- Database verification:
  -> 3 entries in payment_splits table
  -> Partner 1: £30.00 (Food/Goods)
  -> Partner 2: £20.00 (Marketplace Fee)
  -> Partner 3: £15.00 (Delivery Fee)
  -> Primary merchant: £135.00
- All splits sent to Adyen
- Settlement distributed to all parties",applepay_web_adyen;applepay_web;splits;split_multiple;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-010,Apple Pay Web Sale - Split Type 11 (Delivery Tip),"- UK merchant with delivery setup
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £80.00
- Split array: [{partner_merchant_id: ""663208111"", type_id: 11, value_type: ""amount"", value: ""8.00""}]
- Country: UK","1. Open new card page in Safari
2. Click Apple Pay button
3. Complete payment with delivery tip split
4. Verify split allocation","- Payment successful
- Database verification:
  -> payment_splits: type_id=11 (Delivery Tip), amount=8.00
  -> Delivery partner receives £8.00
  -> Restaurant receives £72.00
- Dashboard labels transaction with delivery tip",applepay_web_adyen;applepay_web;splits;split_type_11;delivery_tip;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-011,Apple Pay Web Sale - Split Type 100 (Custom Split),"- UK merchant with custom split
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £120.00
- Split array: [{partner_merchant_id: ""663192253"", type_id: 100, value_type: ""amount"", value: ""25.00""}]","1. Open new card page in Safari
2. Click Apple Pay button
3. Complete payment with custom split
4. Verify split processing","- Payment successful
- Database verification:
  -> payment_splits: type_id=100, amount=25.00
  -> Custom split processed
  -> Primary merchant: £95.00
  -> Partner: £25.00
- Adyen receives split array",applepay_web_adyen;applepay_web;splits;split_type_100;custom_split;region_uk;safari_only,Medium,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Web,AP-WEB,AP-WEB-012,Apple Pay Web Sale - Complex Split Combination,"- UK merchant with all split types enabled
- Apple Pay enabled
- Safari browser","- UK merchant credentials
- Amount: £500.00
- Split array: [
  {partner_id: ""A"", type_id: 1, value: ""100.00""},
  {partner_id: ""B"", type_id: 2, value: ""50.00""},
  {partner_id: ""C"", type_id: 11, value: ""30.00""},
  {partner_id: ""D"", type_id: 3, value: ""20.00""}
]","1. Open new card page in Safari
2. Click Apple Pay button
3. Complete payment with complex splits
4. Verify all splits and settlement","- Payment successful for £500.00
- Database verification:
  -> 4 entries in payment_splits
  -> Total splits: £200.00
  -> Primary merchant: £300.00
  -> All partners receive correct amounts
- Adyen processes all splits
- Dashboard shows breakdown
- Settlement reconciles correctly",applepay_web_adyen;applepay_web;splits;complex_split;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Refunds,AP-REFUND,AP-REFUND-001,Apple Pay Web Sale - Full Refund,"- Previous successful Apple Pay payment
- Merchant has refund permission
- Safari browser for viewing","- UK merchant credentials
- Original payment order_id
- Original amount: £100.00
- Refund reason: ""Customer request""","1. Login to merchant dashboard
2. Navigate to payments section
3. Find Apple Pay payment by order_id
4. Click ""Refund"" button
5. Select ""Full Refund""
6. Enter refund reason
7. Confirm refund
8. Verify refund processed","- Refund initiated successfully
- Database verification:
  -> refunds table: Entry created with full amount (£100.00)
  -> refund_status_id: 2 (Pending) → 3 (Completed)
  -> original payment status updated to ""Refunded""
  -> gateway_request_log: Refund API call logged
- Adyen refund webhook received
- Customer receives refund within 5-10 business days
- Dashboard shows refund status",applepay_web_adyen;applepay_web;refund;full_refund;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
Adyen Apple Pay,Apple Pay Refunds,AP-REFUND,AP-REFUND-002,Apple Pay Web Sale - Partial Refund,"- Previous successful Apple Pay payment
- Merchant has refund permission
- Safari browser","- UK merchant credentials
- Original payment: £150.00
- Partial refund amount: £50.00
- Refund reason provided","1. Login to merchant dashboard
2. Find Apple Pay payment
3. Click ""Refund"" button
4. Select ""Partial Refund""
5. Enter refund amount: £50.00
6. Enter reason
7. Confirm refund
8. Verify partial refund processed","- Partial refund successful
- Database verification:
  -> refunds table: Entry with amount=50.00
  -> Original payment remains at 150.00
  -> net_amount adjusted: 100.00 remaining
  -> Payment status: ""Partially Refunded""
- Adyen processes partial refund
- Customer receives £50.00 refund
- Remaining £100.00 can be refunded later if needed
- Dashboard shows partial refund",applepay_web_adyen;applepay_web;refund;partial_refund;region_uk;safari_only,High,Can't be automated,"AU, UK, US",YES,NA
