"Module","Submodule","Test Case #","Scenario","Precondition","Test Data","Test steps","Expected Result","Labels","Priority","Automation Status"
"Internal Fund Transfer","API Validation","IFT-API-001","Verify API validation for missing mandatory fields","1. Valid API token available
2. IFT feature enabled for country","Source merchant: MER_12345
Destination merchant: MER_67890
Amount: 45.00

Test variations:
a) Missing source_merchant_id
b) Missing destination_merchant_id
c) Missing amount
d) amount = 0
e) amount = -100","1. Prepare API request with valid authentication token
2. Create request payload missing source_merchant_id: {""destination_merchant_id"": ""MER_67890"", ""amount"": ""45.00""}
3. Send POST request to /api/v1/internal-fund-transfer
4. Verify response status and message
5. Query [table]
6. Repeat for each variation","Response for each variation:
a) 400 Bad Request - ""source_merchant_id is required""
b) 400 Bad Request - ""destination_merchant_id is required""
c) 400 Bad Request - ""amount is required""
d) 400 Bad Request - ""amount must be greater than 0""
e) 400 Bad Request - ""amount must be positive""","API Validation","Critical","Not Automated"
"Internal Fund Transfer","API Validation","IFT-API-002","Verify API handles invalid data types and formats","1. Valid [table] configured
2. Valid API token","Test data variations:
a) amount = ""abc"" (non-numeric)
b) amount = 100.999 (3 decimal places)
c) amount = 999999999999.99 (exceeds limit)
d) source_merchant_id = ""<script>alert(1)</script>"" (XSS)
e) Content-Type: text/plain (wrong header)","1. Send POST request with amount=""abc""
2. Verify rejection with proper error message
3. Send request with 3 decimal places
4. Send request with XSS attempt in merchant_id
5. Send request without proper Content-Type header
6. Verify no records created in database for any variation","Expected responses:
a) 400 - ""amount must be numeric""
b) 400 - ""amount must have maximum 2 decimal places""
c) 400 - ""amount exceeds maximum allowed value""
d) 400 - ""invalid merchant_id format"" (sanitized, no script executed)
e) 400 - ""Content-Type must be application/json""

Database verification:
- Query:No Entry Created in Datman_internal_transfer
- Input sanitization verified","API Validation","Critical","Not Automated"
"Internal Fund Transfer","Security","IFT-SEC-001","Verify authentication and authorization mechanisms","1. Multiple API tokens available (valid, expired, invalid, limited permissions)
2. Multiple [table] in system","Test scenarios:
a) No Authorization header
b) Invalid token: ""Bearer invalid_xyz123""
c) Expired token: ""Bearer expired_token_abc""
d) Valid token but user tries to transfer from unauthorized merchant
e) Token without IFT permission","1. Send POST /ift without Authorization header
2. Send with invalid token
3. Send with expired token (token_expiry < CURRENT_TIMESTAMP)
4. Authenticate as Merchant_A, try to transfer from Merchant_B account
5. Use token with read-only permissions
6. For each scenario check response and database
7. Check security audit logs","Expected results:
a) 401 Unauthorized - ""Authentication token required""
b) 401 Unauthorized - ""Invalid authentication token""
c) 401 Unauthorized - ""Token has expired""
d) 403 Forbidden - ""Not authorized to access merchant MER_12345""
e) 403 Forbidden - ""Insufficient permissions for internal fund transfer""

Database verification:

- Verify no payment records created","Security","Critical","Not Automated"
"Internal Fund Transfer","Country Configuration","IFT-CTRY-001","Verify country-level IFT configuration validations","1. Multiple [table] configured with different settings
2. Test [table] set up in each country

Country configurations:
- UK (country_id=1): internal_transfer_enabled=1, max_internal_transfer_limit=10000.00
- USA (country_id=2): internal_transfer_enabled=0, max_internal_transfer_limit=5000.00
- AU (country_id=3): internal_transfer_enabled=1, max_internal_transfer_limit=NULL","Test [DB record verified]
USA: MER_USA_001 (source), MER_USA_002 (dest)
AU: MER_AU_001 (source), MER_AU_002 (dest)

Test scenarios:
a) UK to UK: amount=45.00 (valid, under limit)
b) UK to UK: amount=48.00 (boundary, equals limit)
c) UK to UK: amount=49.00 (exceeds limit)
d) USA to USA: amount=40.00 (IFT disabled)
e) AU to AU: amount=40.00 (no limit configured)
f) UK to USA: amount=45.00 (different [table])","For each scenario:
1. Verify country configuration: [removed]
2. Send POST /ift request
3. Check API response
4. Query [table]
5. Check the record for successful transfers

Steps for scenario (c):
1. Verify: [removed]
2. POST {""source_merchant_id"": ""MER_UK_001"", ""destination_merchant_id"": ""MER_UK_002"", ""amount"": ""49.00""}
3. Verify response and database","Expected results:
a) 200 OK - Transfer SUCCESS
   [DB record verified]
   
b) 200 OK - Transfer SUCCESS (boundary accepted)
   [DB record verified]
   
c) 400 Bad Request - ""Amount 49.00 exceeds maximum transfer limit 48.00 for this country""
   [DB record verified]
   
d) 403 Forbidden - ""Internal fund transfer not enabled for this country""
   [DB record verified]
   
e) 403 Forbidden - ""Internal transfer limit not configured for this country""
   No record in [table]
   
f) 400 Bad Request - ""Source and destination [table] must belong to same country""
   [DB record verified]

Database queries for validation:
Entries created in Datman_internal_tranfer table and no entries created for the same.","Country Validation","Critical","Not Automated"
"Internal Fund Transfer","Merchant Configuration","IFT-MERCH-001","Verify merchant-level IFT sender and receiver configuration","[table] setup:
1. MER_SEND_ONLY: internal_transfer_sender=1, internal_transfer_receiver=0, status='active'
2. MER_RECEIVE_ONLY: internal_transfer_sender=0, internal_transfer_receiver=1, status='active'
3. MER_BOTH: internal_transfer_sender=1, internal_transfer_receiver=1, status='active'
4. MER_NEITHER: internal_transfer_sender=0, internal_transfer_receiver=0, status='active'
5. MER_INACTIVE: internal_transfer_sender=1, internal_transfer_receiver=1, status='inactive'
All in same country with IFT enabled","Test scenarios with all [table] having sufficient balance (10000.00 each):

a) MER_SEND_ONLY → MER_RECEIVE_ONLY (amount: 40.00) - Valid
b) MER_RECEIVE_ONLY → MER_SEND_ONLY (amount: 45.00) - Invalid sender
c) MER_SEND_ONLY → MER_NEITHER (amount: 45.00) - Invalid receiver
d) MER_NEITHER → MER_RECEIVE_ONLY (amount: 45.00) - Invalid sender
e) MER_BOTH → MER_BOTH (amount: 45.00) - Valid
f) MER_BOTH → MER_INACTIVE (amount: 40.00) - Inactive destination
g) MER_INACTIVE → MER_BOTH (amount: 40.00) - Inactive source
h) MER_BOTH → MER_BOTH (same merchant) - Same merchant error","For each scenario:
1. Pre-check: [removed]
2. Send POST /ift request
3. Record transaction_id from response
4. Check [DB record verified]
5. Check the record for successful cases
6. Verify webhook triggered
7. Verify balances updated

Detailed steps for scenario (a):
3. GET current balances: [removed]
4. POST request
5. Wait for processing (monitor status)
6. Query final state","Expected results:

a) 200 OK - Transfer SUCCESS
   [DB record verified]
   [table] (2 records):
   - payment_id=PAY_1, merchant_id='MER_SEND_ONLY', payment_provider_id=23, transaction_method_id=10, transaction_mode_id=3, amount=-40.00, merchant_id='MER_RECEIVE_ONLY', payment_provider_id=23, transaction_method_id=10, transaction_mode_id=3, amount=+1000.00, 
   
b) 403 Forbidden - ""Source merchant not authorized to send funds""
   [DB record verified]
   [DB record verified]
   
c) 403 Forbidden - ""Destination merchant not authorized to receive funds""
   [DB record verified]
   
d) 403 Forbidden - ""Source merchant not authorized to send funds""
   [DB record verified]
   
e) 200 OK - Transfer SUCCESS
   Both [table] records created with correct constants
   
f) 403 Forbidden - ""Destination merchant is not active""
   [DB record verified]
   
g) 403 Forbidden - ""Source merchant is not active""
   [DB record verified]
   
h) 400 Bad Request - ""Source and destination [table] cannot be same""
   No [table] record created

Database verification queries:","Merchant Validation","Critical","Not Automated"
"Internal Fund Transfer","Balance Validation","IFT-BAL-001","Verify balance sufficiency checks for all balance types","Setup [table] with specific balances:
1. MER_ADYEN_LOW: balance_adyen=50.00, balance_rbs=0.00
2. MER_ADYEN_HIGH: balance_adyen=45.00, balance_rbs=0.00
3. MER_RBS_LOW: balance_adyen=0.00, balance_rbs=75.00
4. MER_RBS_HIGH: balance_adyen=0.00, balance_rbs=8000.00
5. MER_BOTH: balance_adyen=3000.00, balance_rbs=45.00
6. MER_ZERO: balance_adyen=0.00, balance_rbs=0.00
All [table] in same country, all flags enabled","Test scenarios:

a) MER_ADYEN_LOW → MER_ADYEN_HIGH, amount=40.00 (insufficient Adyen)
b) MER_ADYEN_LOW → MER_ADYEN_HIGH, amount=50.00 (exact Adyen balance)
c) MER_RBS_LOW → MER_RBS_HIGH, amount=150.00 (insufficient RBS)
d) MER_RBS_LOW → MER_RBS_HIGH, amount=75.00 (exact RBS balance)
e) MER_ADYEN_HIGH → MER_BOTH, amount=45.00 (sufficient, partial)
f) MER_BOTH → MER_RBS_HIGH, amount=4000.00 (using exact RBS balance)
g) MER_ZERO → MER_ADYEN_HIGH, amount=<dynamic_amount> (zero balance source)
h) MER_ADYEN_HIGH → MER_ZERO, amount=40.00 (transfer to zero balance merchant)","For each scenario:
1. Pre-query balances: [removed]
2. Record initial balances
3. Determine which balance will be used (Adyen or RBS for source/destination)
4. Send POST /ift request
5. Wait for status update (poll [table].status)
6. Query final balances
7. Verify [table] records
8. Calculate expected final balances
9. Verify webhook triggered with correct status

Detailed for scenario (b):
2. POST {""source_merchant_id"": ""MER_ADYEN_LOW"", ""destination_merchant_id"": ""MER_ADYEN_HIGH"", ""amount"": ""45.00""}
3. Monitor: [removed]
4. Verify [table] created","Expected results:

a) INSUFFICIENT BALANCE
   API: 200 OK (request accepted)
   [DB record verified]
   [DB record verified]
   Balances unchanged: MER_ADYEN_LOW=45.00, MER_ADYEN_HIGH=45.00
   Webhook: triggered with status='FAILED'
   
b) EXACT BALANCE TRANSFER SUCCESS
   API: 200 OK
   [DB record verified]
   [table] (2 records):
     - merchant='MER_ADYEN_LOW', payment_provider_id=23, transaction_method_id=10, transaction_mode_id=3, amount=-50.00
     - merchant='MER_ADYEN_HIGH', payment_provider_id=23, transaction_method_id=10, transaction_mode_id=3, amount=+50.00
   Final balances: MER_ADYEN_LOW=0.00, MER_ADYEN_HIGH=5050.00
   Webhook: status='SUCCESS'
   
c) INSUFFICIENT BALANCE
   [DB record verified]
   [DB record verified]
   Balances unchanged: MER_RBS_LOW=75.00
   
d) EXACT BALANCE TRANSFER SUCCESS
   [table] (2 records with method_id=32 for RBS):
     - merchant='MER_RBS_LOW', payment_provider_id=23, transaction_method_id=32, transaction_mode_id=3, amount=-75.00
     - merchant='MER_RBS_HIGH', payment_provider_id=23, transaction_method_id=32, transaction_mode_id=3, amount=+75.00
   Final balances: MER_RBS_LOW=0.00, MER_RBS_HIGH=8075.00
   
e) PARTIAL TRANSFER SUCCESS
   Final balances: MER_ADYEN_HIGH=2500.00, MER_BOTH Adyen=5500.00
   
f) CROSS-BALANCE SUCCESS (Adyen→RBS)
   [table] use transaction_mode_id=4 (through Liable Account)
   Source record: method_id=10 (Adyen), amount=-4000.00
   Dest record: method_id=32 (RBS), amount=+4000.00
   Final: MER_BOTH Adyen=3000.00 (unchanged), RBS=0.00; MER_RBS_HIGH RBS=12000.00
   
g) ZERO BALANCE FAILURE
   [DB record verified]
   
h) TRANSFER TO ZERO SUCCESS
   MER_ZERO balance increases from 0.00 to 40.00

Database validation queries:","Balance Validation","Critical","Not Automated"
"Internal Fund Transfer","Case 1: Adyen to Adyen","IFT-CASE1-001","Verify Adyen to Adyen direct transfer with all database validations","Pre-setup:
1. Source merchant: MER_ADYEN_SRC
   - merchant_id: MER_ADYEN_SRC
   - country_id: 1 (UK)
   - balance_adyen: 45.00
   - balance_rbs: 0.00
   - internal_transfer_sender: 1
   - internal_transfer_receiver: 1
   - status: active

2. Destination merchant: MER_ADYEN_DEST
   - merchant_id: MER_ADYEN_DEST
   - country_id: 1 (UK)
   - balance_adyen: 45.00
   - balance_rbs: 0.00
   - internal_transfer_sender: 1
   - internal_transfer_receiver: 1
   - status: active

3. Country config: internal_transfer_enabled=1, max_limit=10000.00
4. Webhook URL configured: https://webhook.example.com/ift","Transfer request:
{
  ""source_merchant_id"": ""MER_ADYEN_SRC"",
  ""destination_merchant_id"": ""MER_ADYEN_DEST"",
  ""amount"": ""45.00"",
  ""reference"": ""Test Adyen to Adyen transfer"",
}

Expected database constants for Adyen→Adyen:
- payment_provider_id: 23 (Internal Fund Transfer)
- transaction_method_id: 10 (Adyen balance - receivable/payable)
- transaction_mode_id: 3 (Direct transfer, no Liable Account)","PRE-EXECUTION CHECKS:
1. Verify source merchant config:
   Expected: country_id=1, sender=1, status=active, balance_adyen=45.00

2. Verify destination merchant config - same query for MER_ADYEN_DEST
   Expected: country_id=1, receiver=1, status=active, balance_adyen=45.00

3. Verify country settings:
   Expected: enabled=1, max_limit=10000.00

EXECUTION STEPS:
4. Record timestamp: test_start_time = NOW()

5. Send POST request to /api/v1/internal-fund-transfer with authentication

6. Capture response and extract IFT ID

7. Poll for completion:
   Wait until status = 'SUCCESS' or 'FAILED' (max 30 seconds)

POST-EXECUTION VALIDATION:

8. Verify [table] record:
9. Verify [table] (should have 2 records):
10. Verify source merchant payment record:
11. Verify destination merchant payment record:
12. Verify updated balances:
13. Verify webhook triggered:
14. Verify sum of amounts = 0:
    Expected: 0.00","EXPECTED RESULTS:

API Response:
- HTTP Status: 200 OK
- Response body: {""Id"": ""12345"", ""status"": ""PENDING"", ""message"": ""Transfer initiated successfully""}

Table: [table]
- id: 12345
- source_merchant_id: MER_ADYEN_SRC
- destination_merchant_id: MER_ADYEN_DEST
- amount: 45.00
- currency: GBP
- status: SUCCESS
- failure_reason: NULL
- -: TEST-ADYEN-001
- created_at: <timestamp>
- updated_at: <timestamp after completion>
- completed_at: <timestamp>

Table: [table] (Record 1 - Source Debit)
- payment_id: <auto_generated>
- merchant_id: MER_ADYEN_SRC
- payment_provider_id: 23 ← CRITICAL: Must be 23 (IFT constant)
- transaction_method_id: 10 ← CRITICAL: Must be 10 (Adyen balance)
- transaction_mode_id: 3 ← CRITICAL: Must be 3 (Direct, no Liable Account)
- amount: -1500.00 ← CRITICAL: Negative for debit
- balance_after_transaction: 3500.00
- ift_reference: 12345
- transaction_type: INTERNAL_FUND_TRANSFER
- created_at: <timestamp>
- processed_at: <timestamp>

Table: [table] (Record 2 - Destination Credit)
- payment_id: <auto_generated>
- merchant_id: MER_ADYEN_DEST
- payment_provider_id: 23 ← CRITICAL: Must be 23 (IFT constant)
- transaction_method_id: 10 ← CRITICAL: Must be 10 (Adyen balance)
- transaction_mode_id: 3 ← CRITICAL: Must be 3 (Direct transfer)
- amount: +1500.00 ← CRITICAL: Positive for credit
- balance_after_transaction: 3500.00
- ift_reference: 12345
- transaction_type: INTERNAL_FUND_TRANSFER
- created_at: <timestamp>
- processed_at: <timestamp>

Table: [table] (Updated)
- MER_ADYEN_SRC: balance_adyen: 3500.00 (decreased from 45.00)
- MER_ADYEN_DEST: balance_adyen: 3500.00 (increased from 45.00)
- last_updated: <timestamp>

Table: [table] (Webhook)
- detail_id: <auto_generated>
- internal_transfer_id: 12345
- webhook_url: https://webhook.example.com/ift
- webhook_payload: {""Id"":""12345"",""status"":""SUCCESS"",""amount"":1500.00}
- http_status_code: 200
- response_body: {""received"": true}
- retry_count: 0
- triggered_at: <timestamp>

CRITICAL VALIDATIONS:
✓ Both payment records have payment_provider_id = 23
✓ Both payment records have transaction_method_id = 10 (Adyen)
✓ Both payment records have transaction_mode_id = 3 (Direct)
✓ Sum of amounts in [table] = 0.00
✓ Source balance decreased by 45.00
✓ Destination balance increased by 45.00
✓ Webhook triggered with http_status_code >= 200
✓ No records in [table] with status=FAILED
✓ IFT status transitioned: PENDING → PROCESSING → SUCCESS","Case 1: Adyen→Adyen","Critical","Not Automated"
"Internal Fund Transfer","Case 2: RBS to Adyen","IFT-CASE2-001","Verify RBS to Adyen cross-balance transfer through Datman Liable Account","Pre-setup:
1. Source merchant: MER_RBS_SRC
   - merchant_id: MER_RBS_SRC
   - country_id: 1 (UK)
   - balance_adyen: 0.00
   - balance_rbs: 45.00 ← Using RBS balance
   - internal_transfer_sender: 1
   - status: active

2. Destination merchant: MER_ADYEN_DEST2
   - merchant_id: MER_ADYEN_DEST2
   - country_id: 1 (UK)
   - balance_adyen: 45.00 ← Receiving to Adyen
   - balance_rbs: 0.00
   - internal_transfer_receiver: 1
   - status: active

3. Country config: internal_transfer_enabled=1, max_limit=10000.00
4. Webhook configured","Transfer request:
{
  ""source_merchant_id"": ""MER_RBS_SRC"",
  ""destination_merchant_id"": ""MER_ADYEN_DEST2"",
  ""amount"": ""45.00"",
  ""reference"": ""RBS to Adyen cross-balance"",
}

CRITICAL DATABASE CONSTANTS for RBS→Adyen:
- payment_provider_id: 23 (Internal Fund Transfer)
- transaction_method_id for SOURCE: 32 ← CRITICAL: 32 = Internal fund Transfer Payable (RBS balance impact)
- transaction_method_id for DESTINATION: 10 ← CRITICAL: 10 = Adyen balance
- transaction_mode_id: 4 ← CRITICAL: 4 = Transfer through Datman Liable Account (cross-balance)

Key difference from Case 1:
- Mode = 4 (not 3) because funds move through Datman Liable Account when crossing balance types
- Source uses method_id = 32 (RBS/Payable)
- Destination uses method_id = 10 (Adyen)","PRE-EXECUTION CHECKS:
1. Verify source RBS balance:
   Expected: 45.00

2. Verify destination Adyen balance:
   Expected: 45.00

3. Verify Datman Liable Account balance (if tracked):
EXECUTION:
4. Record timestamp: test_start_time = NOW()

5. Send POST request to /api/v1/internal-fund-transfer

6. Capture IFT ID from response

7. Monitor status transitions:
POST-EXECUTION VALIDATION:

8. Query main IFT record:
9. Query SOURCE payment record (RBS debit):
10. Query DESTINATION payment record (Adyen credit):
11. Verify balance updates:
12. Verify Datman Liable Account was used (if separate tracking exists):
13. Verify webhook:
14. Validate transaction integrity:
      (
      (","EXPECTED RESULTS:

API Response:
- HTTP Status: 200 OK
- Response: {""Id"": ""IFT_23456"", ""status"": ""PENDING""}

Table: [table]
- id: IFT_23456
- source_merchant_id: MER_RBS_SRC
- destination_merchant_id: MER_ADYEN_DEST2
- amount: 45.00
- status: SUCCESS
- created_at: <timestamp>
- updated_at: <completion_timestamp>

Table: [table] (SOURCE - RBS Debit)
- payment_id: PAY_5001
- merchant_id: MER_RBS_SRC
- payment_provider_id: 23 ← VERIFY: Must be 23
- transaction_method_id: 32 ← CRITICAL: Must be 32 (RBS/Payable, not 10)
- transaction_mode_id: 4 ← CRITICAL: Must be 4 (through Liable Account, not 3)
- amount: -45000.00 ← Negative (debit from RBS)
- balance_type: RBS
- balance_after_transaction: 45.00 (4000.00 - 45.00)
- ift_reference: IFT_23456
- created_at: <timestamp>

Table: [table] (DESTINATION - Adyen Credit)
- payment_id: PAY_5002
- merchant_id: MER_ADYEN_DEST2
- payment_provider_id: 23 ← VERIFY: Must be 23
- transaction_method_id: 10 ← CRITICAL: Must be 10 (Adyen, not 32)
- transaction_mode_id: 4 ← CRITICAL: Must be 4 (through Liable Account)
- amount: +2000.00 ← Positive (credit to Adyen)
- balance_type: ADYEN
- balance_after_transaction: 3500.00 (1500.00 + 45.00)
- ift_reference: IFT_23456
- created_at: <timestamp>

Table: [table] (Updated)
- MER_RBS_SRC: 
  * balance_adyen: 0.00 (unchanged)
  * balance_rbs: 45.00 (decreased from 45.00) ← CRITICAL VERIFICATION
  * last_updated: <timestamp>
  
- MER_ADYEN_DEST2:
  * balance_adyen: 3500.00 (increased from 45.00) ← CRITICAL VERIFICATION
  * balance_rbs: 0.00 (unchanged)
  * last_updated: <timestamp>

Table: [table]
- internal_transfer_id: IFT_23456
- webhook_payload includes: balance_types (source=RBS, dest=Adyen)
- http_status_code: 200
- triggered_at: <timestamp>

CRITICAL VALIDATIONS for RBS→Adyen:
✓ SOURCE payment has transaction_method_id = 32 (RBS/Payable)
✓ DESTINATION payment has transaction_method_id = 10 (Adyen)
✓ BOTH [table] have transaction_mode_id = 4 (Liable Account used)
✓ BOTH [table] have payment_provider_id = 23
✓ Source RBS balance decreased by 45.00
✓ Destination Adyen balance increased by 45.00
✓ Source Adyen balance unchanged (0.00)
✓ Destination RBS balance unchanged (0.00)
✓ Sum of amounts = 0.00
✓ Status = SUCCESS
✓ Webhook triggered

EXPECTED SQL VALIDATION RESULTS:
Result should show:
Row 1: method_id=32, mode_id=4, amount=-45.00
Row 2: method_id=10, mode_id=4, amount=+2000.00","Case 2: RBS→Adyen","Critical","Not Automated"
"Internal Fund Transfer","Case 3: RBS to RBS","IFT-CASE3-001","Verify RBS to RBS direct transfer (same balance type)","Pre-setup:
1. Source merchant: MER_RBS_SRC2
   - merchant_id: MER_RBS_SRC2
   - country_id: 1 (UK)
   - balance_adyen: 0.00
   - balance_rbs: 6000.00 ← Using RBS
   - internal_transfer_sender: 1
   - status: active

2. Destination merchant: MER_RBS_DEST
   - merchant_id: MER_RBS_DEST
   - country_id: 1 (UK)
   - balance_adyen: 0.00
   - balance_rbs: 45.00 ← Receiving to RBS
   - internal_transfer_receiver: 1
   - status: active

3. Country config validated","Transfer request:
{
  ""source_merchant_id"": ""MER_RBS_SRC2"",
  ""destination_merchant_id"": ""MER_RBS_DEST"",
  ""amount"": ""45.00"",
  ""reference"": ""RBS to RBS same balance"",
}

DATABASE CONSTANTS for RBS→RBS:
- payment_provider_id: 23 (IFT)
- transaction_method_id: 32 ← CRITICAL: Both source AND destination use 32 (RBS/Payable)
- transaction_mode_id: 3 ← CRITICAL: Mode 3 (Direct transfer, NO Liable Account)

Key characteristics:
- Both balances are RBS type = Direct transfer (mode 3, not 4)
- Both [table] use method_id = 32
- Simpler flow than cross-balance (no Liable Account)","EXECUTION STEPS:

1. Pre-check balances:
   Expected: MER_RBS_SRC2=6000.00, MER_RBS_DEST=45.00

2. Send POST /ift request

3. Monitor completion:
4. Query [table] records:
5. Verify final balances:
6. Validate constants:
7. Check webhook:","EXPECTED RESULTS:

API Response:
- HTTP 200 OK
- {""Id"": ""IFT_34567"", ""status"": ""PENDING""}

Table: [table]
- id: IFT_34567
- source_merchant_id: MER_RBS_SRC2
- destination_merchant_id: MER_RBS_DEST
- amount: 45.00
- status: SUCCESS

Table: [table] (SOURCE - RBS Debit)
- merchant_id: MER_RBS_SRC2
- payment_provider_id: 23 ← VERIFY: Must be 23
- transaction_method_id: 32 ← CRITICAL: Must be 32 (RBS)
- transaction_mode_id: 3 ← CRITICAL: Must be 3 (Direct, not 4)
- amount: -45500.00
- balance_type: RBS
- balance_after_transaction: 3500.00 (6000.00 - 45.00)
- ift_reference: IFT_34567

Table: [table] (DESTINATION - RBS Credit)
- merchant_id: MER_RBS_DEST
- payment_provider_id: 23 ← VERIFY: Must be 23
- transaction_method_id: 32 ← CRITICAL: Must be 32 (RBS, same as source)
- transaction_mode_id: 3 ← CRITICAL: Must be 3 (Direct)
- amount: +2500.00
- balance_type: RBS
- balance_after_transaction: 5500.00 (3000.00 + 45.00)
- ift_reference: IFT_34567

Table: [table]
- MER_RBS_SRC2: balance_rbs: 3500.00 (decreased)
- MER_RBS_DEST: balance_rbs: 5500.00 (increased)

CRITICAL VALIDATIONS for RBS→RBS:
✓ BOTH [table] have transaction_method_id = 32 (RBS)
✓ BOTH [table] have transaction_mode_id = 3 (Direct, no Liable Account)
✓ BOTH [table] have payment_provider_id = 23
✓ Source RBS balance: 6000.00 → 3500.00 (decreased by 45.00)
✓ Destination RBS balance: 45.00 → 5500.00 (increased by 45.00)
✓ Sum of amounts = 0.00
✓ No Liable Account involved (mode=3 confirms this)

SQL VALIDATION QUERY:
  payment_provider_id, 
  transaction_method_id, 
  transaction_mode_id, 
  amount 
FROM [table] 
WHERE ift_reference='IFT_34567' 
ORDER BY amount;

Expected result:
provider=23, method=32, mode=3, amount=-45.00
provider=23, method=32, mode=3, amount=+2500.00","Case 3: RBS→RBS","Critical","Not Automated"
"Internal Fund Transfer","Case 4: Adyen to RBS","IFT-CASE4-001","Verify Adyen to RBS cross-balance transfer through Datman Liable Account","Pre-setup:
1. Source merchant: MER_ADYEN_SRC2
   - merchant_id: MER_ADYEN_SRC2
   - country_id: 1 (UK)
   - balance_adyen: 7000.00 ← Using Adyen
   - balance_rbs: 0.00
   - internal_transfer_sender: 1
   - status: active

2. Destination merchant: MER_RBS_DEST2
   - merchant_id: MER_RBS_DEST2
   - country_id: 1 (UK)
   - balance_adyen: 0.00
   - balance_rbs: 45.00 ← Receiving to RBS
   - internal_transfer_receiver: 1
   - status: active","Transfer request:
{
  ""source_merchant_id"": ""MER_ADYEN_SRC2"",
  ""destination_merchant_id"": ""MER_RBS_DEST2"",
  ""amount"": ""45.00"",
  ""reference"": ""Adyen to RBS cross-balance"",
}

DATABASE CONSTANTS for Adyen→RBS:
- payment_provider_id: 23 (IFT)
- transaction_method_id for SOURCE: 10 ← CRITICAL: 10 = Adyen balance
- transaction_method_id for DESTINATION: 32 ← CRITICAL: 32 = RBS/Payable balance
- transaction_mode_id: 4 ← CRITICAL: 4 = Through Datman Liable Account (cross-balance)

This is the inverse of Case 2","EXECUTION & VALIDATION:

1. Verify pre-state:
2. Execute IFT

3. Query completed transfer:
4. Verify SOURCE payment (Adyen debit):
5. Verify DESTINATION payment (RBS credit):
6. Check final balances:
7. Validate method and mode:","EXPECTED RESULTS:

Table: [table] (SOURCE - Adyen Debit)
- merchant_id: MER_ADYEN_SRC2
- payment_provider_id: 23
- transaction_method_id: 10 ← CRITICAL: Adyen (not 32)
- transaction_mode_id: 4 ← CRITICAL: Through Liable Account
- amount: -3000.00
- balance_after_transaction: 45.00 (48.00 - <dynamic_amount>.00)
- ift_reference: IFT_45678

Table: [table] (DESTINATION - RBS Credit)
- merchant_id: MER_RBS_DEST2
- payment_provider_id: 23
- transaction_method_id: 32 ← CRITICAL: RBS/Payable (not 10)
- transaction_mode_id: 4 ← CRITICAL: Through Liable Account
- amount: +3000.00
- balance_after_transaction: 5500.00 (2500.00 + 45.00)
- ift_reference: IFT_45678

Table: [table]
- MER_ADYEN_SRC2:
  * balance_adyen: 45.00 (decreased from 7000.00)
  * balance_rbs: 0.00 (unchanged)
  
- MER_RBS_DEST2:
  * balance_adyen: 0.00 (unchanged)
  * balance_rbs: 5500.00 (increased from 45.00)

CRITICAL VALIDATIONS for Adyen→RBS:
✓ SOURCE: method_id=10 (Adyen), mode_id=4 (Liable Account)
✓ DESTINATION: method_id=32 (RBS), mode_id=4 (Liable Account)
✓ Both have provider_id=23
✓ Source Adyen decreased by 45.00
✓ Destination RBS increased by 45.00
✓ Sum of amounts = 0.00
✓ Mode = 4 confirms Liable Account used for cross-balance","Case 4: Adyen→RBS","Critical","Not Automated"
