Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,automation_status,Countries applicable,Partners applicable,Automation mapped TC
TC001,CARDSTREAM - Express pay - race condition,,"curl --location --request POST 
'https://legacy-qa-1.datmanpay.com/api2.php?action=paymentV2' \
--header 'Content-Type: application/json' \
--header 'api_token: 4HfhV2aYtUp7fwbonPM0gXPFUJ4PF98Q4fi' \
--header 'Cookie: __cfduid=d55a3661cb27d0c23bcd3b47ba6bca6251601221625' \
--data-raw '{
""order_id"": 27676211,
""merchantTokenId"": ""mxtoken_b4d3ee6bb9f80a8114221fe82601f2a9"",
""amount"": ""14.98"",
""host"": ""d-1337.t2scdn.com"",
""merchant_id"": 1234568,
""provider"": ""FH"",
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""to"",
""address"": {
""house_number"": ""6"",
""flat"": ""asdf"",
""address1"": ""6"",
""address2"": ""asd"",
""postcode"": ""NN17 8YG""
},
""avs"": {
""house_number"": ""6"",
""postcode"": ""NN17 8YG""
},
""AddressOnFile"": [

],
""cvv"": ""356"",
""email"": ""dharmesh@omni-pay.com""
}'","Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Try to do the sale with the below factors
1) Master_token from master_token table Non CARDSTREAM provider
2) Merchant_id = Non- CARDSTREAM merchant
3) Incorrect CVV
4) Incorrect Email
5) Sending value = not to
6) Address = Right address linked with Card used

Validate the same in DB

Validate Cardstream MMS dashboard","User should see the Express pay Card_payment happening

User should see the card_payment is not happening throwing Error message

User should see the Data is getting in DB with all the entries correctly 
like mainly
1) Payment_provider
2) Origin
3) Payment_status
4) Method

User should see the dashboard is getting entry with the required info

DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments table (Invalid sale scenarios):
-> For each INVALID scenario (wrong provider / wrong merchant_id / incorrect CVV / wrong email / sending != 'to'):
   - If rejected by our system before reaching Cardstream gateway:
     Verify NO entry is created in the payments table
   - If sent to Cardstream gateway and declined:
     Verify ONE entry exists with transaction_status_id : 7 (Declined) or 9 (Failed)
     psp_reference : NULL or CS decline reference
     TxAuthNo : NULL
     last_4_digits : NULL","express_checkout_non_3ds;
express_checkout_cs;
race_condition;",P2,Automated,UK,NA,"CS_EC_TC_022_race_condition.spec.js
CS_EC_TC_023_sale_with_refund_race_condition.spec.js
CS_EC_TC_055_bigtable_race_condition_sale.spec.js"
TC002,CARDSTREAM - Collection Express pay - Empty/Invalid AVS - UK and Ireland,,"curl --location 'https://ws1.datmanpay.com/api2.php?action=paymentV2' \
--header 'Content-Type: application/json' \
--header 'api_token: 4HfhV2aYtUp7fwbonPM0gXPFUJ4PF98Q4fi' \
--header 'Cookie: __cfduid=d55a3661cb27d0c23bcd3b47ba6bca6251601221625' \
--data-raw '{
""order_id"": 1414312,
""merchantTokenId"": ""mxtoken_b4d3ee6bb9f80a8114221fe82601f2a9"",
""amount"": ""10.00"",
""customer_id"": ""80491037"",
""WebhookUrl"": ""https://54602f6a156431a177c223aa5bd34f1b.m.pipedream.net"",
""host"": ""google.com"",
""merchant_id"": 63153688,
""provider"": ""FH"",
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""collection"",
""address"": {
""house_number"": ""6"",
""flat"": ""asdf"",
""address1"": ""6"",
""address2"": ""asd"",
""postcode"": ""NN178YG""
},
""avs"": {
""house_number"": ""6"",
""postcode"": ""NN178YG""
},
""AddressOnFile"": [

],
""cvv"": 356,
""email"": ""sundaresan@datman.je""
}'","1. Use the cURL available in the test data to process the Collection 
express pay transaction

2. Make sure to use the merchant id belonging to UK

3. Verify the request is processed without any issue

1.

a) Process the same cURL request and make sure to remove the AVS values in 
the payload

b) Process the same cURL request where the AVS values are invalid in 
payload

c) Process the same cURL request where the master token used in the request 
has invalid AVS values

d) Process the same cURL request where the master token used in the request 
has empty AVS values

2. Verify the transaction is processed without any issue

1. Repeat the steps 1 and 2 for the country Ireland and verify the 
transaction is processed without any issue","The request should be processed without any issue for the collection order 
and entry should be added in the database

The transaction should be processed without any issue as the postcode 
validation is not required for the country AU and US

The transaction should be processed without any issue

DB Validation - payments table (1 entry - Successful Collection Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

Note: Collection orders (sending=collection) follow the same payments table structure as delivery sales (sending=to).
AVS values (empty, invalid, missing) do not block the transaction for UK and Ireland on Cardstream.","express_checkout_collection;
express_checkout_cs;
avs_validation;
",P2,Automated,UK,NA,CS_EC_TC_026_collection_invalid_avs.spec.js
TC003,CARDSTREAM - Express pay using add card token,,"curl --location --request POST 
'https://legacy-qa-1.datmanpay.com/api2.php?action=paymentV2' \
--header 'Content-Type: application/json' \
--header 'api_token: 4HfhV2aYtUp7fwbonPM0gXPFUJ4PF98Q4fi' \
--header 'Cookie: __cfduid=d55a3661cb27d0c23bcd3b47ba6bca6251601221625' \
--data-raw '{
""order_id"": 27676211,
""merchantTokenId"": ""mxtoken_b4d3ee6bb9f80a8114221fe82601f2a9"",
""amount"": ""14.98"",
""host"": ""d-1337.t2scdn.com"",
""merchant_id"": 1234568,
""provider"": ""FH"",
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""to"",
""address"": {
""house_number"": ""6"",
""flat"": ""asdf"",
""address1"": ""6"",
""address2"": ""asd"",
""postcode"": ""NN17 8YG""
},
""avs"": {
""house_number"": ""6"",
""postcode"": ""NN17 8YG""
},
""AddressOnFile"": [

],
""cvv"": ""356"",
""email"": ""dharmesh@omni-pay.com""
}'","Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Try to do the sale with the below factors
1) Master_token from master_token table Non CARDSTREAM provider
2) Merchant_id = Non- CARDSTREAM merchant
3) Incorrect CVV
4) Incorrect Email
5) Sending value = not to
6) Address = Right address linked with Card used

Validate the same done sale in DB

Validate Carsdtream MMS dashboard","User should see the Express pay Card_payment happening

User should see the card_payment is not happening throwing Error message

User should see the Data is getting in DB with all the entries correctly 
like mainly
1) Payment_provider
2) Origin
3) Payment_status
4) Method

User should see the dashboard is getting entry with the required info

DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments table (Invalid sale scenarios):
-> For each INVALID scenario (non-CS token / non-CS merchant / incorrect CVV / wrong email / sending != 'to'):
   - If rejected before reaching Cardstream gateway:
     Verify NO entry is created in the payments table
   - If sent to Cardstream and declined:
     Verify ONE entry with transaction_status_id : 7 (Declined) or 9 (Failed)
     TxAuthNo : NULL, last_4_digits : NULL, psp_reference : NULL","express_checkout_non_3ds;
express_checkout_cs;
add_card_token;",P1,Automated,UK,NA,CS_AC_TC_002_add_card_with_express_pay_sale.spec.js
TC004,CS- Refresh token - Express pay - Split commission validation,,,,"DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments table - Split Partner entries:
-> Verify ONE entry per split partner merchant with:
   - order_ref : <order_id>SC<split_commission_id> (e.g. 952515216SC36010511)
   - merchant_id : Partner merchant_id (from split_fee payload)
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS) or 2 (3DS) matching the main sale
   - transaction_method_id : 4 (Express Pay)
   - gross : Split amount as per split_fee value
   - fee : 0 (partner split rows carry no fee unless configured)
   - net : Same as gross
   - psp_reference : Same as main sale psp_reference
   - internal_reference : Same as main sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : Same as main sale
   - TxAuthNo : Same as main sale
   - master_token_id : Same as main sale
   - shopper_id : Same as main sale
   - cs_mid : NULL (partner rows do not carry cs_mid)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments_split_commission table:
-> Verify entry with commission_type_id, partner_merchant_id, amount as per split_fee payload","express_checkout_splits;
express_checkout_cs;
refresh_token;
",P2,Automated,UK,NA,"CS_EC_TC_046_sale_with_split.spec.js
CS_EC_TC_047_sale_with_split_type2.spec.js"
TC005,CARDSTREAM - Tokenisation - Verifying the express-3ds sales based on xpress_sale_threeds_limit (Customer's table),,,"Note : 
Datman Global config >> wallet_id_toggle_rate >> 0 
Datman Global config >>  xpay_toggle_mxtoken_customer_id >> 1
Datman Global config >> express_pay_cs_3ds_toggle_rate >> 1



Limit as 30
By using the below query try to set the xpress_sale_threeds_limit as 30 & 
try to initiate the sales for below values
a) Less than 30 
b) More than 30","User should able to see

DB Validation - payments table (2 entries - 3DS Sale):

Entry 1 - 3DS Initiated (pending authorisation):
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 11 (3DS Initiated / threeds_required)
   - transaction_mode_id : 1 (initiated before 3DS redirect)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - gross / fee / net : As per payload amount and fee_tier
   - psp_reference : NULL (not yet authorised by Cardstream)
   - internal_reference : NULL
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used
   - reason : threeds_required - <challenge_code> (e.g. threeds_required - 1022)
   - delete_status : 0
   - withdrawn_status : 0

Entry 2 - 3DS Authenticated (success after 3DS completion):
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 2 (3DS authenticated)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same order_id as Entry 1
   - merchant_id : Same as Entry 1
   - gross / fee / net : Same values as Entry 1
   - psp_reference : CS transaction reference after 3DS completion
   - internal_reference : O<order_id>M<merchant_id>T<payment_id> (using Entry 2 payment_id)
   - last_4_digits : Last 4 digits of card used
   - TxAuthNo : CS auth number returned post-3DS
   - master_token_id : Same as Entry 1
   - shopper_id : Same as Entry 1
   - cs_mid : Same Cardstream MID
   - reason : Empty string
   - delete_status : 0
   - withdrawn_status : 0

Note - For amounts BELOW the xpress_sale_threeds_limit:
-> Only 1 entry is created with transaction_status_id : 1, transaction_mode_id : 1 (Non-3DS, no 3DS challenge triggered)

For amounts ABOVE the xpress_sale_threeds_limit:
-> 2 entries are created as described above (Entry 1: status=11, Entry 2: status=1 after 3DS)","express_checkout_3ds;
express_checkout_cs;
tokenisation;
threeds_limit;",P2,Automated,UK,NA,CS_EC_TC_037_3ds_sale_with_split_sanity.spec.js
TC006,CARDSTREAM - Tokenisation - Verifying the express-pay 3DS sales based on xpress_sale_threeds_limit,"Wallet -id should be generated if there is no wallet-id present in master 
token for CS in case of all the amounts.",select * from customers where id = 'your customer-id';,"Note : Need to be validated on both country level & customer's level

Using x-ref token 

1. Datman config >> express_pay_cs_3ds_toggle_rate >> 1
2. Datman config >> xpay_toggle_mxtoken_customer_id >> 1
3. Datman config >> wallet_id_toggle_rate >> 0

Limit as 20
A. Set the xpress_sale_threeds_limit as 20 in customers table as per the 
customer-id & Country table as NULL
B. Set the xpress_sale_threeds_limit as NULL in customers table as per the 
customer-id & Country table as 20

1) Try to initiate the 3DS express-pay sale for below mentioned amount for 
the above cases 
a) Less than 20
b) More than 20

DB validations


Try to verify the above processed sales in
a) DB
* payments table
* Webhook log
* Master token
* Payments split commission 
b) Dashboard

Limit as 45

A. Set the xpress_sale_threeds_limit as 45 in customers table as per the 
customer-id & Country table as NULL
B. Set the xpress_sale_threeds_limit as NULL in customers table as per the 
customer-id & Country table as 45

1) Try to initiate the 3DS express-pay sale for below mentioned amount
a) Less than 45
b) More than 45

DB validations


Try to verify the above processed sales in
a) DB
* payments table
* Webhook log
* Master token
* Payments split commission
b) Dashboard

Limit as 50
A. Set the xpress_sale_threeds_limit as 50 in customers table as per the 
customer-id & Country table as NULL
B. Set the xpress_sale_threeds_limit as NULL in customers table as per the 
customer-id & Country table as 50

1) Try to initiate the 3DS express-pay sale for below mentioned amount
a) Less than 50
b) More than 50

DB validations


Try to verify the above processed sales in
a) DB
* payments table
* Webhook log
* Master token
* Payments split commission
b) Dashboard

Limit as empty/ invalid/ null & verify the above step

Note : 

Using wallet-id token 

1. Datman config >> express_pay_cs_3ds_toggle_rate >> 1
2. Datman config >> xpay_toggle_mxtoken_customer_id >> 1
3. Datman config >> wallet_id_toggle_rate >> 1

Limit as 20
Set the xpress_sale_threeds_limit as 20 in customers table as per the 
customer-id

1) Try to initiate the 3DS express-pay sale for below mentioned amount
a) Less than 20
b) More than 20

DB validations


Try to verify the above processed sales in
a) DB
* payments table
* Webhook log
* Master token
* Payments split commission
b) Dashboard

Limit as 45
Set the xpress_sale_threeds_limit as 45 in customers table as per the 
customer-id

1) Try to initiate the 3DS express-pay sale for below mentioned amount
a) Less than 45
b) More than 45

DB validations


Try to verify the above processed sales in
a) DB
* payments table
* Webhook log
* Master token
* Payments split commission
b) Dashboard

Limit as 50
Set the xpress_sale_threeds_limit as 50 in customers table as per the 
customer-id

1) Try to initiate the 3DS express-pay sale for below mentioned amount
a) Less than 50
b) More than 50

DB validations


Try to verify the above processed sales in
a) DB
* payments table
* Webhook log
* Master token
* Payments split commission
b) Dashboard

Selection priority

Try to use checkout MID with CS token and verify the sale as per the limit
a) Less than the limit
b) More than the limit

DB validations


Try to verify the above processed sales in
a) DB
* Card-payment
* Webhook log
* Master token
* Payments split commission
b) Dashboard","User should able to see update the toggle as per mentioned note.



1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the entry as per the sale processed.

1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the entry as per the sale processed.

1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the entry as per the sale processed.

User should able to see the sale is being processed in normal flow.

User should able to see update the toggle as per mentioned note.



1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the entry as per the sale processed.

1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the entry as per the sale processed.

1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the entry as per the sale processed.

1) User should able to see the sale is being processed successfully without 
3DS.
2) User should able to see the sale is being processed successfully with 
3DS.

User should able to see the sales are being processed as per the token 
passed.

DB Validation - payments table (2 entries - 3DS Sale):

Entry 1 - 3DS Initiated (pending authorisation):
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 11 (3DS Initiated / threeds_required)
   - transaction_mode_id : 1 (initiated before 3DS redirect)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - gross / fee / net : As per payload amount and fee_tier
   - psp_reference : NULL (not yet authorised by Cardstream)
   - internal_reference : NULL
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used
   - reason : threeds_required - <challenge_code> (e.g. threeds_required - 1022)
   - delete_status : 0
   - withdrawn_status : 0

Entry 2 - 3DS Authenticated (success after 3DS completion):
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 2 (3DS authenticated)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same order_id as Entry 1
   - merchant_id : Same as Entry 1
   - gross / fee / net : Same values as Entry 1
   - psp_reference : CS transaction reference after 3DS completion
   - internal_reference : O<order_id>M<merchant_id>T<payment_id> (using Entry 2 payment_id)
   - last_4_digits : Last 4 digits of card used
   - TxAuthNo : CS auth number returned post-3DS
   - master_token_id : Same as Entry 1
   - shopper_id : Same as Entry 1
   - cs_mid : Same Cardstream MID
   - reason : Empty string
   - delete_status : 0
   - withdrawn_status : 0

Note - For amounts BELOW the xpress_sale_threeds_limit:
-> Only 1 entry with transaction_status_id : 1, transaction_mode_id : 1 (Non-3DS)

For amounts ABOVE the xpress_sale_threeds_limit:
-> 2 entries as above (Entry 1: status=11, Entry 2: status=1 after 3DS completion)

For checkout MID with CS token (selection priority):
-> Same 2-entry pattern applies when amount exceeds the limit","express_checkout_3ds;
express_checkout_cs;
tokenisation;
wallet_id;",P2,Automated,UK,NA,CS_EC_TC_033_3ds_sale_collection.spec.js
TC008,Cardstream Express pay - Fee_tier Association E2E,,,,"DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0","express_checkout_non_3ds;
express_checkout_cs;
fee_tier;",P2,Automated,UK,NA,CS_EC_TC_081_3ds_sale_price_uplift_partial_refund_to_card_fee_tier_0.spec.js
TC009,CS_EC_TC_001_sale + Express pay sale,,,,"DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments table (1 entry - Refund):
-> Verify ONE additional entry is created for the refund with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 0 (Refund mode)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same order_id as original sale
   - gross : Negative of original gross (e.g. -1000 for a 10.00 refund)
   - fee : Negative of original fee
   - net : Negative of original net
   - psp_reference : Same as original sale psp_reference
   - internal_reference : Same as original sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : NULL
   - cs_mid : NULL
   - reason : Refund reason text referencing original payment id (#<original_id>)
   - delete_status : 0
   - withdrawn_status : 0","express_checkout_non_3ds;
express_checkout_cs;
e2e_sale;",P2,Automated,UK,NA,CS_EC_TC_002_sale_smoke_sanity.spec.js
TC010,CS_EC_TC_002_cvv_scenarios.spec.js - Cardstream - Expresspay,,,"Use the given Curl to make an express pay sale

Validate the scenario when cvv is empty

Verify that Express pay fails

Observe the API response

Validate the scenario when cvv is NULL

Verify that Express pay fails

Validate the scenario when cvv is Alphabets

Verify that Express pay fails

Observe the API response

Validate the scenario when cvv is Special characters

Verify that Express pay fails

Observe the API response

Validate the scenario when cvv is undefined

Verify that Express pay fails

Observe that the API response is challenged","Validate that the user sees the Express pay Card_payment happening

Observe that the API response is challenged with outcome 'challenged' and 
code '1001'

Is the outcome 'challenged' and the code '1001'?

DB Validation - payments table (Valid CVV scenario):
-> For the initial valid sale scenario:
DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments table (Invalid CVV scenarios - empty / NULL / alphabets / special chars / undefined):
DB Validation - payments table:
-> Verify NO entry is created in the payments table
-> Validation failure is caught before the request reaches the Cardstream gateway
-> The invalid input should return an error API response without persisting any record","express_checkout_non_3ds;
express_checkout_cs;
cvv_scenarios;",P2,Automated,UK,NA,CS_EC_TC_003_cvv_scenarios.spec.js
TC012,CS_EC_TC_003_invalid_cvv.spec.js - Cardstream - Expresspay,,,"Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Validate the express pay response when invalid cvv is passed .","User should see the Express pay Card_payment happening

Express pay sale should failed when invalid cvv is passed.

{outcome: failed, message: Request missing required params}

DB Validation - payments table:
-> Verify NO entry is created in the payments table
-> Validation failure is caught before the request reaches the Cardstream gateway
-> The invalid input should return an error API response without persisting any record","express_checkout_non_3ds;
express_checkout_cs;
invalid_cvv;",P2,Automated,UK,NA,CS_EC_TC_004_invalid_cvv_sanity.spec.js
