Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
TC001,Express pay Sale - Expired Token Handling - System expired token,"- Merchant pointed to Adyen

- Customer has token that expired in system

- Token expiry date passed

- Valid customer_id","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- merchantTokenId: expired token ID from system

- customer_id: valid customer ID

- Token expired_at date in past

- All mandatory fields","1. Verify token exists in system with expired_at date in past

2. Process Express pay API request using expired token

3. System validates token status

4. Verify token expiry check

5. Check error response","1. Token validation:

-> System checks token table
-> token.expired_at < current_date
-> Token marked as expired

2. API returns error response:

HTTP Status: 400 Bad Request

Response:
{
    ""outcome"": ""failed"",
    ""message"": ""Token has expired. Please use a valid token."",
    ""code"": 4001
}

3. Database verification:

-> gateway_request_log - request logged with expired token
-> payments table - NO entry created (transaction blocked)
-> No webhook sent

4. Transaction does not proceed

5. User/merchant notified to update payment method

6. Token status remains expired in database","express_checkout_token;
express_checkout_adyen;
expired_token;
negative_test;
",P1,Prod monitoring,"AU, UK, US",NA,NA
TC002,Express pay Sale - Inactive Token Handling - Deactivated token,"- Merchant pointed to Adyen

- Customer has token that was deactivated

- Token status = inactive/disabled

- Valid customer_id","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- merchantTokenId: inactive/deactivated token ID

- customer_id: valid customer ID

- Token status: inactive or is_active = 0

- All mandatory fields","1. Verify token exists with status = inactive or is_active = 0

2. Process Express pay API request using inactive token

3. System validates token status

4. Verify inactive token rejection

5. Check error response","1. Token validation:

-> System checks token table
-> token.status = 'inactive' OR token.is_active = 0
-> Token marked as inactive/disabled

2. API returns error response:

HTTP Status: 400 Bad Request

Response:
{
    ""outcome"": ""failed"",
    ""message"": ""Token is inactive. Please use an active token."",
    ""code"": 4002
}

3. Database verification:

-> gateway_request_log - request logged with inactive token
-> payments table - NO entry created
-> No processing with inactive token

4. Transaction blocked

5. Reasons for inactive token:
   - Manually deactivated by merchant
   - Customer requested deactivation
   - Security concerns
   - Multiple failed attempts

6. Customer must add new payment method","express_checkout_token;
express_checkout_adyen;
inactive_token;
negative_test;
",P1,Prod monitoring,"AU, UK, US",NA,NA
TC003,Express pay Sale - Master token selection - UK with Checkout token (no Adyen/Cardstream),"- Merchant in UK (country_id: 1)

- NO Adyen or Cardstream tokens available

- Valid Checkout token available

- master_token_selection_priority: CHECKOUT-HF priority 1 for country_id 1","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- customer_id with Checkout token only

- Country: UK (country_id: 1)","1. Process API request for UK merchant

2. System detects no Adyen or Cardstream tokens

3. System selects Checkout token from priority table

4. Hit API request

5. Verify transaction processes through Checkout","1. API returns 200 with Success and payment_id

2. Database verification:

-> payments - payment_provider_id(for Checkout), transaction processed through Checkout

-> master_token_selection_priority - CHECKOUT-HF verified for country_id 1

-> gateway_request_log - Checkout token used

3. Checkout dashboard shows transaction processed

4. Token selection cascades correctly to Checkout provider","express_checkout_token_priority;
express_checkout_checkout;
uk_checkout_fallback;
",P2,Pending,"UK, US",NA,NA
TC004,Express pay Sale - Master token selection - US with Adyen token,"- Merchant in US (country_id: 7)

- Valid Adyen token available

- master_token_selection_priority: ADYEN-HF priority 1 for country_id 7","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- customer_id with Adyen token

- Country: US (country_id: 7)","1. Process API request for US merchant

2. System detects Adyen token

3. Adyen selected based on priority for country_id 7

4. Hit API request

5. Verify processes through Adyen US","1. API returns 200 with Success and payment_id

2. Database verification:

-> payments - payment_provider_id(5), country_code(US), currency_code(USD)

-> master_token_selection_priority - ADYEN-HF priority 1 for country_id 7

-> gateway_request_log - Adyen token used

3. Adyen US dashboard shows transaction","express_checkout_token_priority;
express_checkout_adyen;
us_adyen_token;
",P1,Pending,"UK, US",NA,NA
TC005,Express pay Sale - Master token selection - US with Cardstream-CH token (no Adyen),"- Merchant in US (country_id: 7)

- NO Adyen token available

- Valid Cardstream-CH token available

- master_token_selection_priority: CARDSTREAM-CH priority 1 for country_id 7","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- customer_id with Cardstream-CH token (no Adyen)

- Country: US (country_id: 7)","1. Process API request for US merchant

2. No Adyen token detected

3. System selects Cardstream-CH based on priority

4. Hit API request

5. Verify processes through Cardstream-CH","1. API returns 200 with Success and payment_id

2. Database verification:

-> payments - payment_provider_id(for Cardstream-CH), country_code(US), currency_code(USD)

-> master_token_selection_priority - CARDSTREAM-CH verified for country_id 7

-> gateway_request_log - Cardstream-CH token used

3. Cardstream-CH dashboard shows US transaction","express_checkout_token_priority;
express_checkout_cardstream_ch;
us_cardstream_fallback;
",P2,Pending,"UK, US",NA,NA
TC006,Express pay Sale - Master token selection - US with Checkout token (no Adyen/Cardstream-CH),"- Merchant in US (country_id: 7)

- NO Adyen or Cardstream-CH tokens

- Valid Checkout token available

- master_token_selection_priority: CHECKOUT-HF priority 1 for country_id 7","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- customer_id with Checkout token only

- Country: US (country_id: 7)","1. Process API request for US merchant

2. No Adyen or Cardstream-CH tokens available

3. System selects Checkout token

4. Hit API request

5. Verify processes through Checkout","1. API returns 200 with Success and payment_id

2. Database verification:

-> payments - payment_provider_id(for Checkout), country_code(US), currency_code(USD)

-> master_token_selection_priority - CHECKOUT-HF verified for country_id 7

-> gateway_request_log - Checkout token used

3. Checkout dashboard shows US transaction","express_checkout_token_priority;
express_checkout_checkout;
us_checkout_fallback;
",P2,Pending,"UK, US",NA,NA
TC007,Express pay Sale - Datman Partners (Edining) - Express Pay 3DS with Order ID Matching and HMAC Validation,"- Merchant should be Datman Partners - Edining

- Valid Express Pay token exists requiring 3DS

- HMAC secret key is configured for Edining merchant

- Webhook URL is configured and accessible

- 3DS is enabled for saved card transactions

- ext_order_id_conversion_mapping table configured

- test_card_mappings configured with datman_cvv

- Database access available for verification","- Refer Apidog documentation for Express pay payload

- Pass valid amount within express pay limit: 150.00 GBP

- Email - testing@datman.je

- Fetch CVV from test_card_mappings table (datman_cvv column)

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- customer_id: Valid customer with token requiring 3DS

- Partner: Edining

- Token: Valid master_token with three_ds_status=1

- Order ID: Unique order reference (e.g., ORD-EDINING-3DS-001)","1. Fetch card details and CVV from test_card_mappings table using datman_cvv column

2. Process Express Pay API request with saved card token that will trigger 3DS

3. Hit the API request with valid api_key and specified order_id

4. Observe the 3DS challenge being triggered

5. Complete the 3DS challenge authentication

6. Wait for transaction completion and webhook dispatch

7. Query the payments table for entries with the order_id

8. Verify two rows exist: one for Express Pay (first row) and one for Saved Card 3DS (second row)

9. Compare the order_id values in both rows - they MUST match

10. Capture the webhook request and verify HMAC signature","1. API should return 200 response and transaction completes successfully after 3DS authentication

2. Verify ext_order_id_conversion_mapping table:
-> datman_order_ref: fetched and mapped correctly
-> Order ID mapping exists

3. Database payments table contains TWO rows for this transaction:

   Row 1 (Express Pay Entry - First Row):
   -> order_id: ORD-EDINING-3DS-001 (matches API order_id)
   -> transaction_type: 'express_pay' or transaction_method_id=4
   -> transaction_status_id: 1 (success) or pending status
   -> amount: 150.00
   -> currency: GBP
   -> merchant_id: Edining merchant ID
   -> created_at: timestamp of initial request
   -> This row represents the initial Express Pay authorization attempt

   Row 2 (Saved Card 3DS Success Entry - Second Row):
   -> order_id: ORD-EDINING-3DS-001 (MUST MATCH Row 1 order_id)
   -> transaction_type: 'saved_card_3ds' or transaction_method_id indicating Saved Card 3DS
   -> transaction_status_id: 1 (success)
   -> amount: 150.00
   -> currency: GBP
   -> merchant_id: Edining merchant ID
   -> psp_reference: gateway reference from 3DS completion
   -> three_ds_status: 1 (authenticated)
   -> created_at: timestamp after 3DS completion
   -> This row represents the final successful 3DS authenticated transaction

4. Critical Validation - Order ID Match:
   -> Row 1 order_id = Row 2 order_id = ORD-EDINING-3DS-001
   -> Both rows are linked by the same order_id
   -> No mismatch or duplicate order_ids generated

5. Row ordering validation:
   -> Row 1 (Express Pay) created_at < Row 2 (Saved Card 3DS) created_at
   -> Chronological order maintained

6. Webhook sent for the final successful transaction (Row 2) with:
   -> HMAC signature present and valid
   -> order_id matches both database rows
   -> https_status: 200

7. HMAC signature verification:
   -> Computed HMAC using Edining secret key matches the signature
   -> Signature covers the entire raw payload

8. Verify webhook_log and adyen_webhook_notification_log entries are created correctly","datman_partners_express_pay;
webhook_hmac;
edining;
express_pay_3ds;
order_id_match;
express_pay_adyen;",P0,Pending,"AU, UK, US",NA,NA
TC008,Express pay Sale - Datman Partners (Fastfood) - Express Pay 3DS with Order ID Matching and HMAC Validation,"- Merchant should be Datman Partners - Fastfood

- Valid Express Pay token exists requiring 3DS

- HMAC secret key is configured for Fastfood merchant

- Webhook URL is configured and accessible

- 3DS is enabled for saved card transactions

- ext_order_id_conversion_mapping table configured

- test_card_mappings configured with datman_cvv

- Database access available for verification","- Refer Apidog documentation for Express pay payload

- Pass valid amount within express pay limit: 175.00 GBP

- Email - testing@datman.je

- Fetch CVV from test_card_mappings table (datman_cvv column)

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- customer_id: Valid customer with token requiring 3DS

- Partner: Fastfood

- Token: Valid master_token with three_ds_status=1

- Order ID: Unique order reference (e.g., ORD-FASTFOOD-3DS-001)","1. Fetch card details and CVV from test_card_mappings table using datman_cvv column

2. Process Express Pay API request with saved card token that will trigger 3DS

3. Hit the API request with valid api_key and specified order_id

4. Observe the 3DS challenge being triggered

5. Complete the 3DS challenge authentication

6. Wait for transaction completion and webhook dispatch

7. Query the payments table for entries with the order_id

8. Verify two rows exist: one for Express Pay (first row) and one for Saved Card 3DS (second row)

9. Compare the order_id values in both rows - they MUST match

10. Capture the webhook request and verify HMAC signature","1. API should return 200 response and transaction completes successfully after 3DS authentication

2. Verify ext_order_id_conversion_mapping table:
-> datman_order_ref: fetched and mapped correctly
-> Order ID mapping exists

3. Database payments table contains TWO rows for this transaction:

   Row 1 (Express Pay Entry - First Row):
   -> order_id: ORD-FASTFOOD-3DS-001 (matches API order_id)
   -> transaction_type: 'express_pay' or transaction_method_id=4
   -> transaction_status_id: 1 (success) or pending status
   -> amount: 175.00
   -> currency: GBP
   -> merchant_id: Fastfood merchant ID
   -> created_at: timestamp of initial request
   -> This row represents the initial Express Pay authorization attempt

   Row 2 (Saved Card 3DS Success Entry - Second Row):
   -> order_id: ORD-FASTFOOD-3DS-001 (MUST MATCH Row 1 order_id)
   -> transaction_type: 'saved_card_3ds' or transaction_method_id indicating Saved Card 3DS
   -> transaction_status_id: 1 (success)
   -> amount: 175.00
   -> currency: GBP
   -> merchant_id: Fastfood merchant ID
   -> psp_reference: gateway reference from 3DS completion
   -> three_ds_status: 1 (authenticated)
   -> created_at: timestamp after 3DS completion
   -> This row represents the final successful 3DS authenticated transaction

4. Critical Validation - Order ID Match:
   -> Row 1 order_id = Row 2 order_id = ORD-FASTFOOD-3DS-001
   -> Both rows are linked by the same order_id
   -> No mismatch or duplicate order_ids generated

5. Row ordering validation:
   -> Row 1 (Express Pay) created_at < Row 2 (Saved Card 3DS) created_at
   -> Chronological order maintained

6. Webhook sent for the final successful transaction (Row 2) with:
   -> HMAC signature present and valid
   -> order_id matches both database rows
   -> https_status: 200

7. HMAC signature verification:
   -> Computed HMAC using Fastfood secret key matches the signature
   -> Signature covers the entire raw payload

8. Verify webhook_log and adyen_webhook_notification_log entries are created correctly","datman_partners_express_pay;
webhook_hmac;
fastfood;
express_pay_3ds;
order_id_match;
express_pay_adyen;",P0,Pending,"AU, UK, US",NA,NA
TC009,Express pay Sale - Datman Partners (Edining) - Webhook HMAC Signature Validation with Incorrect Secret Key,"- Merchant should be Datman Partners - Edining

- Valid Express Pay token available for the customer_id

- HMAC secret key is known for Edining merchant

- Test environment allows signature manipulation testing

- Webhook URL is configured and accessible

- ext_order_id_conversion_mapping table configured

- test_card_mappings configured with datman_cvv","- Refer Apidog documentation for Express pay payload

- Pass valid amount within express pay limit: 60.00 GBP

- Email - testing@datman.je

- Fetch CVV from test_card_mappings table (datman_cvv column)

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- customer_id: Valid customer with existing token

- Partner: Edining

- Correct Secret Key: edining_merchant_secret_key_123

- Incorrect Secret Key: wrong_secret_key_456","1. Fetch card details and CVV from test_card_mappings table using datman_cvv column

2. Execute Express Pay API request and capture the webhook

3. Extract the HMAC signature from webhook headers

4. Extract the raw JSON payload from webhook body

5. Attempt to verify signature using the CORRECT secret key

6. Attempt to verify signature using an INCORRECT secret key

7. Compare the verification results

8. Document the signature algorithm used (SHA256, etc.)","1. API should return 200 response with Success message and payment_id

2. Verify payments table and ext_order_id_conversion_mapping table entries exist

3. HMAC signature is present in webhook headers

4. Raw JSON payload is present in webhook body

5. Signature verification with CORRECT secret key (Edining):
   -> Computed hash matches the header signature
   -> Verification result: PASS

6. Signature verification with INCORRECT secret key:
   -> Computed hash does NOT match the header signature
   -> Verification result: FAIL

7. This confirms:
   -> HMAC signature provides payload integrity protection
   -> Only parties with correct Edining secret can verify authenticity
   -> Payload tampering would be detectable
   -> Prevents unauthorized webhook spoofing

8. Algorithm confirmation: HMAC-SHA256 (or as configured)

9. Verify webhook_log table contains valid HMAC signature","datman_partners_express_pay;
webhook_hmac;
edining;
express_pay_adyen;
hmac_validation;
security_testing;",P2,Pending,"AU, UK, US",NA,NA
TC010,Express pay Sale - Datman Partners (Fastfood) - Webhook HMAC Signature Validation with Incorrect Secret Key,"- Merchant should be Datman Partners - Fastfood

- Valid Express Pay token available for the customer_id

- HMAC secret key is known for Fastfood merchant

- Test environment allows signature manipulation testing

- Webhook URL is configured and accessible

- ext_order_id_conversion_mapping table configured

- test_card_mappings configured with datman_cvv","- Refer Apidog documentation for Express pay payload

- Pass valid amount within express pay limit: 65.00 GBP

- Email - testing@datman.je

- Fetch CVV from test_card_mappings table (datman_cvv column)

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- customer_id: Valid customer with existing token

- Partner: Fastfood

- Correct Secret Key: fastfood_merchant_secret_key_123

- Incorrect Secret Key: wrong_secret_key_789","1. Fetch card details and CVV from test_card_mappings table using datman_cvv column

2. Execute Express Pay API request and capture the webhook

3. Extract the HMAC signature from webhook headers

4. Extract the raw JSON payload from webhook body

5. Attempt to verify signature using the CORRECT secret key

6. Attempt to verify signature using an INCORRECT secret key

7. Compare the verification results

8. Document the signature algorithm used (SHA256, etc.)","1. API should return 200 response with Success message and payment_id

2. Verify payments table and ext_order_id_conversion_mapping table entries exist

3. HMAC signature is present in webhook headers

4. Raw JSON payload is present in webhook body

5. Signature verification with CORRECT secret key (Fastfood):
   -> Computed hash matches the header signature
   -> Verification result: PASS

6. Signature verification with INCORRECT secret key:
   -> Computed hash does NOT match the header signature
   -> Verification result: FAIL

7. This confirms:
   -> HMAC signature provides payload integrity protection
   -> Only parties with correct Fastfood secret can verify authenticity
   -> Payload tampering would be detectable
   -> Prevents unauthorized webhook spoofing

8. Algorithm confirmation: HMAC-SHA256 (or as configured)

9. Verify webhook_log table contains valid HMAC signature","datman_partners_express_pay;
webhook_hmac;
fastfood;
express_pay_adyen;
hmac_validation;
security_testing;",P2,Pending,"AU, UK, US",NA,NA
