"Module","Submodule","Parent ID","Test Case #","Scenario","Precondition","Test Data","Test steps","Expected Result","Labels","Priority","Automation Status","Countries applicable","Partners applicable","Automation mapped TC"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","AP-T243","Cardstream-CH :  Payment failure: error code","- Ensure the MID is pointed to Cardstream-CH
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>","1. Use the following PHP script
<<test_script_repo_url>> 
and try to process the sale for US merchant (Cardstream-ch)
1. Use the same URL and try to process the payment.
1. Use the same order_id and change the amount and try to process the 
payment.
1. Use the valid card and enter invalid CVV and try to process the payment.
Try to process the sale by passing the invalid Merchant 
1. Open the payment link and modify the URl and process the payment

2. Verify able to see the payment getting processed","1. The sale should be processed.
1. The Page should throw an error message stating that invalid request.
1. The Page should redirect to blank page.
1. The page should throw proper error message stating that Payment failed : 
50685-M63155116A4387L0821.
The sale should not be processed and should throw proper error message.
The payment should fail with the error message","Automated","P2","Automated","US","Cardstream","NA"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","AP-T265","Cardstream-CH : Saved card sale (USA)","- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
update customers set threeds_version='2' where id='<id of new merchant 
created>';

update cardstream_settings set value = 232640 where name = 'merchant_id';"," PHP end point
1. Use the following script - Datman script
<<test_script_repo_url>> 
and use the valid values and make sure to use the merchant id as the one 
which was enabled for 3DSV2 using the query in test data and the customer 
is newly created and haven't done any transactions before

2. Make sure to enter the webhookUrl as 
<webhook_listener_url>

3. Make sure to use the datmanHost value as 
<legacy_checkout_url>
Click on pluto link and check whether saved card sale is going through or 
not
After page got loaded we should be able to enter cvv of a specific card in 
landed page.
Check after sale is successfully done whether its redirecting to 
redirect_url which was passed in payload.




Verify the entries in DB and MMS dashboard
a) DB
* Payments & Payments split commission
* Webhook-log
* Shoppers


Validate the back button for all the scenarios and see if it is navigating 
to the back_URL given in the payload
Verify on other browser, if gpay link and apple pay link is displaying
Verify on mobile browser, if gpay link and apple pay link is displaying","The value of threeds_version should be updated in the table
Click on link then saved sale page has to be loaded.
Cvv page should be displayed
After sale is successful it should redirect to redirect_url which was 
passed in payload.
a) The entries should be updated in DB & Dashboard as per the sale value.
* Transaction-status-id should be updated as 1, transaction-method-id 2, 
transcation-mode-02, &
Master token id should be updated as per the token used.
* commission type, amount, payment_status, fee_type & master-token-id 
should be updated successfully.
* The webhook log should be updated in the DB
* No duplicate entry should be added in the table


User should see when clicking on back button the URL is navigating in the 
end to back_URL given in the payload
On other browser, gpay link and apple pay link should be displayed
On mobile browser, gpay link and apple pay link be displayed

── DB VALIDATION ──
-- 1. Verify payments record created
SELECT id, order_ref, merchant_id, country_code, currency_code,
       gross, fee, net, transaction_time, psp_reference,
       internal_reference, last_4_digits, firstname, lastname,
       email_address, delete_status, withdrawn_status,
       payment_provider_id, transaction_status_id,
       transaction_mode_id, transaction_method_id,
       TxAuthNo, master_token_id, shopper_id, cs_mid
FROM payments
WHERE order_ref = '<order_ref>';

-- Expected values:
--   merchant_id          = <merchant_id>
--   country_code         = 'US'
--   currency_code        = 'USD'
--   gross                = <sale_amount>
--   delete_status        = 0
--   withdrawn_status     = 0
--   payment_provider_id  = 3  (Cardstream)
--   transaction_status_id= 1  (Success)
--   transaction_mode_id  = 2  (Saved Card mode)
--   transaction_method_id= 2  (Saved Card)
--   master_token_id      = <master_token_id from token table>
--   shopper_id           = '<shopper_id>'
--   last_4_digits        = <last4 from master_token table>
--   TxAuthNo             = <auth_code returned by gateway>
--   psp_reference        = <reference returned by Cardstream>
--   day/week/month/year  = match transaction_time date parts

-- Verify shoppers entry
SELECT * FROM shoppers WHERE shopper_id='<shopper_id>';

-- Verify webhook_log
SELECT * FROM webhook_log WHERE order_ref='<order_ref>';

-- Verify no duplicate in payments
SELECT COUNT(*) FROM payments WHERE order_ref='<order_ref>';
-- Expected: COUNT = 1 (no duplicates)","Automated, sanity","P2","Automated","US","Cardstream","CH_SC_TC_001_us_sale_smoke_sanity.spec.js"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","AP-T268","Cardstream-CH : Process payment with a non-US merchant","- Ensure the MID is pointed to Cardstream-CH
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
php script : php test script
<<test_script_repo_url>>

BaseUrl: <legacy_checkout_url> (can change based on build )

Stage DB Details
<https://datman.atlassian.net/wiki/spaces/ND/pages/837353652/Gateway+Stage+DB+setup>","                   New Card: Non-US merchant 
1. Add Non-UK merchantID to the payload

2. Use php script and load the url in the browser (use MAMP to run php 
server)

3. User added the card details and proceed with the payment
Navigate to Stage DB & validate the Payments table & Dashboard
                   Saved Card: Non-US merchant 
1. Add Non-UK merchantID with valid master-token & Customer-id to the 
payload

2. Use php script and load the url in the browser (use MAMP to run php 
server)

3. User added the card details and proceed with the payment
Navigate to Stage DB & validate the Payments table & Dashboard
Express-pay - Non-US

1. Try to process the sale by passing the valid master-token and verify the 
sale in DB.
Try to process the sale by passing the values

b) Country-id as 1 with CS Cardstream-ID
d) Country-id as 1 with CS-CH-USA Cardstream-ID
e) Country-id as 11 with CS-CH-USA Cardstream-ID","1. Cardstream-Checkout Hosted form page should be displayed
2. upon submitting the card details and clicking on pay button the payment 
should be displayed as successful.
user should be able to see the transaction happened in the payments table & 
Entry should be displayed in Dashboard
The page should be redirected to saved card hosted form.
user should be able to see the transaction happened in the payments table & 
Entry should be displayed in Dashboard
The sale should be success and the entry should be displayed in DB.
a) Should be passed
b) Should be passed
c) Should be failed
d) Should be failed
e) Should be failed

","Automated","P2","Automated","US","Cardstream","NA"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","AP-T1345","CARDSTREAM-CH : Saved Card Sale - Validation of OMT reference in metadata ","- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>","Using the payload for Saved Card try

1. Open the link Pluto
<<legacy_checkout_url>> 
and process the payment by entering the valid card details
1. Verify the values in the payments table
1. Login to the test MMS portal, navigate to the transactions of the 
merchant 232639 and verify the transaction made through 3DSV2 is available

2. Verify the value of the 3D Secure Check in the transaction details
Verify the OMT reference in metadata in AWS logs ","The payment should be processed without any issue
The entry should be updated successfully.
a) Transaction-status-id as 1
b) Payment-provider-id as 3
c) Transaction-mode-id as1
d) Transaction-method-id as 2


The value of the 3D secure check should be Authenticated (2.1.0)
OMT Reference should be shown  in metadata in AWS logs

── DB VALIDATION ──
SELECT id, order_ref, payment_provider_id, transaction_status_id,
       transaction_mode_id, transaction_method_id, master_token_id,
       shopper_id, gross, last_4_digits
FROM payments WHERE order_ref='<order_ref>';
-- Expected:
--   transaction_status_id = 1
--   payment_provider_id   = 3  (Cardstream)
--   transaction_mode_id   = 1
--   transaction_method_id = 2  (Saved Card)","Can't-be-automated","P2","Can't-be-automated","US","Cardstream","NA"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","PS-CSCH-SC-001","Cardstream-CH Saved Card - Split Commission - Global Split Type Sale Succeeds","- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: ex 3, value_type: 'amount', value: 2.50}]
Note: Global split types (IDs 1-8 and 11) can be used across all providers. New global splits can also be created via FH API token.","1. Process a Saved Card sale with a global split type (ex: type_id=3 'Delivery Fee Restaurant') in the split_fee payload.
2. Complete the payment successfully.
3. Verify the sale is successful with transaction_status_id=1.
4. Query payments_split_commission table for the split entry.
5. Verify the commission amount matches the split_fee payload.","1. Sale succeeds with global split type ✓
2. payments_split_commission table contains entry with commission_type_id matching the split used ✓
3. commission_amount = 2.50 as per payload ✓
4. split_payment_flag=1 in payments table ✓
5. All global split types are usable across all providers (Cardstream, Checkout.com, Spreedly, Adyen) ✓

── DB VALIDATION ──
-- 1. Verify payments record created
SELECT id, order_ref, merchant_id, country_code, currency_code,
       gross, fee, net, transaction_time, psp_reference,
       internal_reference, last_4_digits, firstname, lastname,
       email_address, delete_status, withdrawn_status,
       payment_provider_id, transaction_status_id,
       transaction_mode_id, transaction_method_id,
       TxAuthNo, master_token_id, shopper_id, cs_mid
FROM payments
WHERE order_ref = '<order_ref>';

-- Expected values:
--   merchant_id          = <merchant_id>
--   country_code         = 'US'
--   currency_code        = 'USD'
--   gross                = <sale_amount>
--   delete_status        = 0
--   withdrawn_status     = 0
--   payment_provider_id  = 3  (Cardstream)
--   transaction_status_id= 1  (Success)
--   transaction_mode_id  = 2  (Saved Card mode)
--   transaction_method_id= 2  (Saved Card)
--   master_token_id      = <master_token_id from token table>
--   shopper_id           = '<shopper_id>'
--   last_4_digits        = <last4 from master_token table>
--   TxAuthNo             = <auth_code returned by gateway>
--   psp_reference        = <reference returned by Cardstream>
--   day/week/month/year  = match transaction_time date parts

-- 2. Verify split commission record
SELECT psc.id, psc.payment_id, psc.commission_type_id,
       psc.commission_amount, psc.value_type
FROM payments_split_commission psc
JOIN payments p ON p.id = psc.payment_id
WHERE p.order_ref = '<order_ref>';

-- Expected: commission_amount = 2.50
--            commission_type_id = <type_id from payload>

-- 3. Verify split flag on payments
SELECT split_payment_flag FROM payments WHERE order_ref = '<order_ref>';
-- Expected: split_payment_flag = 1","Automated","P2","Automated","US","Cardstream","CH_SC_TC_019_sale_with_one_dynamic_split.spec.js"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","PS-CSCH-SC-002","Cardstream-CH Saved Card - Split Commission - Invalid Split Type ID Rejected","- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: 9999, value_type: 'amount', value: 2.50}]
Note: Only valid global split type IDs (ex: 1-8 and 11) or newly created splits via API are accepted.","1. Process a Saved Card sale with an invalid/non-existent split type_id (ex: type_id=9999) in the split_fee payload.
2. Verify the transaction is rejected before authorization.
3. Confirm no payments_split_commission entry is created.
4. Verify no payment record is created.","1. Sale is rejected ✓
2. API responds with error: 'invalid type id' ✓
3. No payments_split_commission record created ✓
4. No payment record created ✓
5. Only valid split type IDs from split_commission_types table are accepted ✓

── DB VALIDATION ──
-- Verify NO payments record was created
SELECT COUNT(*) FROM payments WHERE order_ref = '<order_ref>';
-- Expected: COUNT = 0

-- Verify NO webhook-log entry created
SELECT COUNT(*) FROM webhook_log WHERE order_ref = '<order_ref>';
-- Expected: COUNT = 0

-- Confirm no split record
SELECT COUNT(*) FROM payments_split_commission psc
JOIN payments p ON p.id = psc.payment_id
WHERE p.order_ref='<order_ref>';
-- Expected: COUNT = 0","Automated","P2","Automated","US","Cardstream","CH_SC_TC_022_sale_with_one_dynamic_split_with_delete_status_zero.spec.js"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","PS-CSCH-SC-003","Cardstream-CH Saved Card - Split Commission - Soft-Deleted Split Type (delete_status=0) Blocks Sale","- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: <soft_deleted_split_id>, value_type: 'amount', value: 2.50}]
Precondition: Use DELETE API on an existing split type → verify delete_status=0 in split_commission_types table","1. Use the DELETE API to soft-delete an existing split type (sets delete_status=0 in split_commission_types table).
2. Verify the split_commission_types table shows delete_status=0 for the deleted split type.
3. Process a Saved Card sale using the soft-deleted split type_id in the split_fee payload.
4. Verify the transaction is rejected before authorization.
5. Confirm no payments_split_commission entry is created.","1. DELETE API successfully soft-deletes the split type ✓
2. split_commission_types table shows delete_status=0 for the target split ✓
3. Sale using soft-deleted split type is rejected ✓
4. API responds with error: 'invalid type id' ✓
5. No payments_split_commission record created ✓
6. No payment record created ✓

── DB VALIDATION ──
-- Verify NO payments record was created
SELECT COUNT(*) FROM payments WHERE order_ref = '<order_ref>';
-- Expected: COUNT = 0

-- Verify NO webhook-log entry created
SELECT COUNT(*) FROM webhook_log WHERE order_ref = '<order_ref>';
-- Expected: COUNT = 0

-- Confirm no split record
SELECT COUNT(*) FROM payments_split_commission psc
JOIN payments p ON p.id = psc.payment_id
WHERE p.order_ref='<order_ref>';
-- Expected: COUNT = 0","Automated","P2","Automated","US","Cardstream","CH_SC_TC_022_sale_with_one_dynamic_split_with_delete_status_zero.spec.js"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","PS-CSCH-SC-004","Cardstream-CH Saved Card - Split Commission - Updated Split Type via API Used in Sale Succeeds","- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Saved Card
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: Visa, last 4 digits: use from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: <updated_split_id>, value_type: 'amount', value: 3.00}]
Precondition: Use Update API to modify an existing split type → verify updated values in split_commission_types table","1. Use the Update API to modify an existing split type (ex: update name or value).
2. Verify the split_commission_types table reflects the updated values.
3. Process a Saved Card sale using the updated split type_id in the split_fee payload.
4. Complete the payment successfully.
5. Query payments_split_commission table for the split entry.
6. Verify the commission entry reflects the updated split type.","1. Update API successfully modifies the split type ✓
2. split_commission_types table reflects updated values ✓
3. Sale with updated split type succeeds with transaction_status_id=1 ✓
4. payments_split_commission table contains entry with updated commission_type_id ✓
5. commission_amount = 3.00 as per payload ✓
6. split_payment_flag=1 in payments table ✓

── DB VALIDATION ──
-- 1. Verify payments record created
SELECT id, order_ref, merchant_id, country_code, currency_code,
       gross, fee, net, transaction_time, psp_reference,
       internal_reference, last_4_digits, firstname, lastname,
       email_address, delete_status, withdrawn_status,
       payment_provider_id, transaction_status_id,
       transaction_mode_id, transaction_method_id,
       TxAuthNo, master_token_id, shopper_id, cs_mid
FROM payments
WHERE order_ref = '<order_ref>';

-- Expected values:
--   merchant_id          = <merchant_id>
--   country_code         = 'US'
--   currency_code        = 'USD'
--   gross                = <sale_amount>
--   delete_status        = 0
--   withdrawn_status     = 0
--   payment_provider_id  = 3  (Cardstream)
--   transaction_status_id= 1  (Success)
--   transaction_mode_id  = 2  (Saved Card mode)
--   transaction_method_id= 2  (Saved Card)
--   master_token_id      = <master_token_id from token table>
--   shopper_id           = '<shopper_id>'
--   last_4_digits        = <last4 from master_token table>
--   TxAuthNo             = <auth_code returned by gateway>
--   psp_reference        = <reference returned by Cardstream>
--   day/week/month/year  = match transaction_time date parts

-- 2. Verify split commission record
SELECT psc.id, psc.payment_id, psc.commission_type_id,
       psc.commission_amount, psc.value_type
FROM payments_split_commission psc
JOIN payments p ON p.id = psc.payment_id
WHERE p.order_ref = '<order_ref>';

-- Expected: commission_amount = 3.00
--            commission_type_id = <type_id from payload>

-- 3. Verify split flag on payments
SELECT split_payment_flag FROM payments WHERE order_ref = '<order_ref>';
-- Expected: split_payment_flag = 1","Automated","P2","Automated","US","Cardstream","CH_SC_TC_019_sale_with_one_dynamic_split.spec.js"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","MT-DIFF-001","Cardstream-CH: Saved card sale with master_token linked to MasterCard (USA)","- Ensure the MID is pointed to Cardstream-CH (USA only; Australia is out of scope)
- Test environment is accessible and stable
- Valid test credentials are available
- A valid master_token exists for the shopper in the master_token table","Payment method: Saved Card
Region: USA only (Australia is out of scope for Cardstream-CH)
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: see per-case brand from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>
Card Brand: MasterCard — fetch from master_token table where card_brand='MasterCard' and provider='cardstream'","1. Fetch master_token where card_brand=MasterCard, provider=cardstream.
2. Build saved-card payload using that token.
3. Submit sale via PHP script / cURL.
4. Verify API response.
5. Query DB.","1. Sale succeeds — transaction_status_id=1 ✓
2. payments.last_4_digits matches MasterCard token ✓
3. master_token_id in payments matches token used ✓
4. Webhook fired with success status ✓

── DB VALIDATION ──
-- 1. Verify payments record created
SELECT id, order_ref, merchant_id, country_code, currency_code,
       gross, fee, net, transaction_time, psp_reference,
       internal_reference, last_4_digits, firstname, lastname,
       email_address, delete_status, withdrawn_status,
       payment_provider_id, transaction_status_id,
       transaction_mode_id, transaction_method_id,
       TxAuthNo, master_token_id, shopper_id, cs_mid
FROM payments
WHERE order_ref = '<order_ref>';

-- Expected values:
--   merchant_id          = <merchant_id>
--   country_code         = 'US'
--   currency_code        = 'USD'
--   gross                = <sale_amount>
--   delete_status        = 0
--   withdrawn_status     = 0
--   payment_provider_id  = 3  (Cardstream)
--   transaction_status_id= 1  (Success)
--   transaction_mode_id  = 2  (Saved Card mode)
--   transaction_method_id= 2  (Saved Card)
--   master_token_id      = <master_token_id from token table>
--   shopper_id           = '<shopper_id>'
--   last_4_digits        = <last4 from master_token table>
--   TxAuthNo             = <auth_code returned by gateway>
--   psp_reference        = <reference returned by Cardstream>
--   day/week/month/year  = match transaction_time date parts

-- Extra: confirm master_token record
SELECT id, card_brand, last_4_digits, provider
FROM master_token
WHERE id = '<master_token_id>';
-- Expected: card_brand = 'MasterCard', provider = 'cardstream'

-- Verify webhook_log entry
SELECT id, order_ref, status, payload, created_at
FROM webhook_log
WHERE order_ref = '<order_ref>';
-- Expected: status = success, payload contains correct order/amount","Automated","P2","Automated","US","Cardstream","CH_SC_TC_007_us_cs_tokenisation_sale.spec.js; CH_SC_TC_013_us_sale_scheme_validation_sanity.spec.js"
"Cardstream-CH","Cardstream-CH - Saved card","SAV-CAR","MT-DIFF-002","Cardstream-CH: Saved card sale with master_token linked to Amex card (USA)","- Ensure the MID is pointed to Cardstream-CH (USA only; Australia is out of scope)
- Test environment is accessible and stable
- Valid test credentials are available
- A valid master_token exists for the shopper in the master_token table","Payment method: Saved Card
Region: USA only (Australia is out of scope for Cardstream-CH)
Shopper: shopper_id=<shopper_id>
Master token: Fetch from master_token table (provider=cardstream)
Card: see per-case brand from master_token table
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>
Card Brand: Amex — fetch from master_token table where card_brand='Amex' and provider='cardstream'","1. Fetch master_token where card_brand=Amex, provider=cardstream.
2. Build saved-card payload.
3. Submit sale.
4. Verify API response and DB.","1. Sale succeeds — transaction_status_id=1 ✓
2. payments.last_4_digits matches Amex token ✓
3. master_token_id matches ✓
4. Webhook fired ✓

── DB VALIDATION ──
-- 1. Verify payments record created
SELECT id, order_ref, merchant_id, country_code, currency_code,
       gross, fee, net, transaction_time, psp_reference,
       internal_reference, last_4_digits, firstname, lastname,
       email_address, delete_status, withdrawn_status,
       payment_provider_id, transaction_status_id,
       transaction_mode_id, transaction_method_id,
       TxAuthNo, master_token_id, shopper_id, cs_mid
FROM payments
WHERE order_ref = '<order_ref>';

-- Expected values:
--   merchant_id          = <merchant_id>
--   country_code         = 'US'
--   currency_code        = 'USD'
--   gross                = <sale_amount>
--   delete_status        = 0
--   withdrawn_status     = 0
--   payment_provider_id  = 3  (Cardstream)
--   transaction_status_id= 1  (Success)
--   transaction_mode_id  = 2  (Saved Card mode)
--   transaction_method_id= 2  (Saved Card)
--   master_token_id      = <master_token_id from token table>
--   shopper_id           = '<shopper_id>'
--   last_4_digits        = <last4 from master_token table>
--   TxAuthNo             = <auth_code returned by gateway>
--   psp_reference        = <reference returned by Cardstream>
--   day/week/month/year  = match transaction_time date parts

-- Extra: confirm master_token record
SELECT id, card_brand, last_4_digits, provider
FROM master_token
WHERE id = '<master_token_id>';
-- Expected: card_brand = 'Amex', provider = 'cardstream'

-- Verify webhook_log entry
SELECT id, order_ref, status, payload, created_at
FROM webhook_log
WHERE order_ref = '<order_ref>';
-- Expected: status = success, payload contains correct order/amount","Automated","P2","Automated","US","Cardstream","CH_SC_TC_013_us_sale_scheme_validation_sanity.spec.js"
