Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status
Pay By Link,End-to-End,PBL-E2E,PBL-E2E-001,Pay By Link - Complete End-to-End Flow (UI + API + Dashboard + Webhooks + Fund Transfer),"- Pay By Link enabled for merchant
- Merchant configured in Cardstream (payment_provider_id: 1)
- Webhook URL configured
- Country: UK (country_id: 1)
- Fund transfer configured","- Merchant ID: Valid UK merchant
- Amount: £50.00
- Customer email: customer@test.com
- Card: Visa 4929 4212 3460 0821
- Expiry: 12/2026, CVV: 123","1. Generate Pay By Link via API
2. Customer receives email with PBL link
3. Customer opens link in browser
4. Payment page displays correctly
5. Customer enters card details
6. Completes 3DS authentication
7. Payment processes successfully
8. Verify dashboard updated
9. Verify webhook sent
10. Verify fund transfer initiated","1. Pay By Link generated successfully ✓ Verify if the hosted form has the month column with data as(Front of card, written in MM/YY) & Security code has infromation as (Back of card, 3 digits). check if the white labeling information is not ruled out and is coming as expected
CVV is hidden by default and only becomes visible after the eye icon is toggled. 

API Response:
-> pbl_reference: Generated unique reference
-> link_url: Payment page URL
-> status: Active
-> expiry_date: Set

2. Email sent ✓

3. Payment page loaded ✓
-> Amount: £50.00
-> Merchant name displayed
-> Currency: GBP

4. Payment SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 1 (new card)
-> transaction_mode_id: 2 (3DS)
-> gross: £50.00
-> fee: £0.50
-> net: £49.50
-> payment_provider_id: 1 (Cardstream)
-> psp_reference: Cardstream reference
-> pbl_reference: Links to PBL

Database - master_token table:
-> token: Cardstream token created
-> scheme_name: 'visa'
-> last_4_digit: '1111'
-> three_ds_status: 1
-> delete_status: 0

5. Dashboard updated ✓
-> Transaction visible
-> Status: Success
-> PBL reference shown

6. Webhook sent ✓
-> Event: payment.success
-> Payload: Complete payment data
-> Status: Delivered

7. End-to-end flow COMPLETE ✓",pbl;end_to_end;api;ui;dashboard;webhook;fund_transfer;positive_test,P1,
Pay By Link,Link Lifecycle,PBL-LINK,PBL-LNK-001,Pay By Link - One-time link usage validation,"- PBL link generated
- First payment completed successfully
- Link marked as used","- PBL reference: PBL-2024-XXXXX
- Status: Used
- First payment: Successful (£50.00)","1. Customer completes first payment
2. Link marked as used
3. Customer attempts to open same link again
4. System validates link status
5. Second attempt blocked","1. First payment SUCCESSFUL ✓

2. Second attempt BLOCKED ✓

Response:
-> Status: Link already used
-> Error: ""This payment link has already been used""
-> Message: ""Please contact the merchant for a new payment link""

Database - pbl_links table (if exists):
-> status: Used
-> payment_count: 1
-> first_payment_date: Timestamp
-> link_disabled: Yes

Database - payments table:
-> Only ONE payment entry
-> No duplicate payment created

3. Link cannot be reused ✓
4. Customer sees clear message ✓",pbl;link_lifecycle;one_time_use;validation;negative_test,P1,
Pay By Link,Link Lifecycle,PBL-LINK,PBL-LNK-002,Pay By Link - Expired link validation,"- PBL link generated with expiry
- expiry_date: 2024-12-28 23:59:59
- Current date: 2024-12-29 10:00:00
- Link expired","- PBL reference: PBL-2024-XXXXX
- expiry_date: 2024-12-28 23:59:59 (past)
- Current date: 2024-12-29 10:00:00
- Status: Expired","1. Customer opens expired PBL link
2. System validates expiry date
3. Expiry detected
4. Payment blocked","1. Link access BLOCKED ✓

Response:
-> Status: Link expired
-> Error: ""This payment link has expired""
-> Expiry date: 2024-12-28 23:59:59
-> Message: ""Please contact the merchant for assistance""

Database - pbl_links table:
-> status: Expired
-> expiry_date: 2024-12-28 23:59:59 (past)
-> No payment allowed

2. Expired link cannot be used ✓
3. Customer informed clearly ✓",pbl;link_lifecycle;expired;validation;negative_test,P2,
Pay By Link,Link Lifecycle,PBL-LINK,PBL-LNK-003,Pay By Link - Disabled link by merchant,"- PBL link generated
- Merchant manually disabled the link
- Status: Disabled","- PBL reference: PBL-2024-XXXXX
- Status: Disabled by merchant
- Disable reason: ""Order cancelled""","1. Merchant disables PBL link
2. Customer attempts to open link
3. System validates link status
4. Payment blocked","1. Link access BLOCKED ✓

Response:
-> Status: Link disabled
-> Error: ""This payment link is no longer active""
-> Message: ""Please contact the merchant""

Database - pbl_links table:
-> status: Disabled
-> disabled_by: Merchant user ID
-> disabled_at: Timestamp
-> disable_reason: ""Order cancelled""

2. Disabled link cannot be used ✓
3. Customer redirected or shown error ✓",pbl;link_lifecycle;disabled;merchant_action;negative_test,P2,
Pay By Link,API & Payload,PBL-API,PBL-API-001,Pay By Link - Invalid payload (missing mandatory fields),"- API access enabled
- API credentials valid
- Payload validation active","Invalid Payload (missing amount):
{
  ""merchant_id"": ""123"",
  ""email"": ""customer@test.com"",
  ""currency"": ""GBP""
  // ""amount"" missing
}","1. Send PBL generation API request
2. Payload validation executes
3. Missing fields detected
4. Request rejected","1. Link generation FAILED ✓

API Response:
-> Status: 400 Bad Request
-> Error: ""Validation failed""
-> Missing fields: [""amount""]
-> Message: ""Required field 'amount' is missing""

Database - pbl_links table:
-> No link created

2. Validation error returned ✓
3. Clear error message ✓",pbl;api;payload_validation;missing_fields;negative_test,P2,
Pay By Link,API & Payload,PBL-API,PBL-API-002,Pay By Link - Special characters and emojis in payload,"- API access enabled
- Validation rules active
- Special character handling configured","Payload with special characters:
{
  ""merchant_id"": ""123"",
  ""amount"": 50.00,
  ""email"": ""test@example.com"",
  ""description"": ""Test � payment! <script>alert('xss')</script>""
  ""customer_name"": ""José O'Brien™""
}","1. Send API request with special chars
2. System sanitizes input
3. Validates against rules
4. Handles appropriately","1. Input sanitized ✓

Response:
-> Special chars: Escaped or removed
-> Emojis: Handled per UI rules
-> Script tags: Stripped (XSS prevention)
-> Accented chars: Preserved (José)
-> Apostrophes: Escaped (O'Brien)

Database - pbl_links table:
-> description: Sanitized version
-> customer_name: ""José O'Brien™""
-> No XSS vulnerability

2. Link generated with sanitized data ✓",pbl;api;special_characters;sanitization;security;positive_test,P2,
Pay By Link,UI Validation,PBL-UI,PBL-UI-001,Pay By Link - UI rendering and display validation,"- PBL link generated
- Amount: £50.00
- Merchant: Test Merchant Ltd
- Description: Product purchase","- PBL URL: https://pay.datman.je/pbl/PBL-2024-XXXXX
- Amount: £50.00
- Currency: GBP
- Merchant: Test Merchant Ltd","1. Customer opens PBL link
2. Payment page loads
3. Verify UI elements displayed
4. Check data accuracy","1. Page loaded successfully ✓

UI Display:
✓ Merchant name: ""Test Merchant Ltd""
✓ Amount: ""£50.00""
✓ Currency symbol: £ (correct)
✓ Payment form: Visible
✓ Card input fields: Present
✓ Submit button: ""Pay £50.00""
✓ Security badges: Displayed
✓ Terms and conditions: Linked

2. All elements rendered correctly ✓
3. No broken images or layout issues ✓",pbl;ui;rendering;display;validation;positive_test,P1,
Pay By Link,UI Validation,PBL-UI,PBL-UI-002,Pay By Link - Mobile responsive UI validation,"- PBL link generated
- Mobile browser (iOS Safari / Android Chrome)
- Responsive design enabled","- Device: iPhone 13 (375x812)
- Browser: Safari iOS 15
- PBL URL: Valid link","1. Open PBL link on mobile device
2. Check responsive layout
3. Test touch interactions
4. Verify usability","1. Mobile UI loaded ✓

Mobile Responsiveness:
✓ Layout: Adapts to screen width
✓ Font size: Readable without zoom
✓ Buttons: Large enough for touch
✓ Input fields: Properly sized
✓ Keyboard: Opens correctly
✓ Scroll: Smooth
✓ No horizontal scroll

2. Fully functional on mobile ✓
3. Touch targets minimum 44x44px ✓",pbl;ui;mobile;responsive;usability;positive_test,P1,
Pay By Link,Payment Methods,PBL-PAY,PBL-PAY-001,Pay By Link - New card payment (UK merchant),"- PBL link active
- New card details available
- 3DS enabled","- Card: Visa 4929 4212 3460 0821
- Expiry: 12/2026
- CVV: 123
- Amount: £50.00","1. Customer opens PBL link
2. Enters new card details
3. Submits payment
4. Completes 3DS
5. Payment processes","1. Payment SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 1 (new card)
-> transaction_mode_id: 2 (3DS)
-> gross: £50.00
-> pbl_reference: PBL reference

Database - master_token table:
-> token: Created
-> scheme_name: 'visa'
-> last_4_digit: '1111'
-> three_ds_status: 1

2. New card saved (if option selected) ✓
3. PBL link marked as used ✓",pbl;payment;new_card;3ds;positive_test,P1,
Pay By Link,Payment Methods,PBL-PAY,PBL-PAY-002,Pay By Link - Saved card payment - UI Validation,"PBL link active
Customer has saved card (Amex and Non-Amex card)
master_token exists
delete_status: 0","- Saved card: Visa ending 1234
- master_token_id: Valid token
- Amount: £50.00","1. Customer opens PBL link
2. Selects saved card option & Will check for the UI for the detail of CVV
3. Enters CVV (if required)
4. Submits payment
5. Completes 3DS (if required)","1. User opens the Saved card and validates if the Back of the card, Last 3 digits is seen for Non-Amex cards. And Front of the card 4 digits, for Amex card, post that enters the right CVV and completes the sale

Payment SUCCESSFUL ✓

Database - payments table:
-> transaction_status_id: 1
-> transaction_method_id: 2 (saved card)
-> master_token_id: Links to token
-> gross: £50.00

Database - master_token table:
-> token: Existing token used
-> delete_status: 0 (active)

2. Saved card processed ✓
3. PBL link marked as used ✓",pbl;payment;saved_card;token;positive_test,P1,
