Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
WALLET,cardstream_ch_wallet,AP-T1365,AP-T1365,CARDSTREAM -CH - wallet against recharge & wallet payment - Validation of OMT reference in metadata,"- Merchant in US configured
- Cardstream-CH payment gateway enabled
- Customer has wallet balance available","curl --location 
'https://stage.datmanpay.com/api2.php?action=wallet_rechargeV2' \
--header 'Content-Type: application/json' \
--header 'api_token: <api_token>' \
--header 'qa-auth: <qa_auth>' \
--data-raw '{
""shopper_id"": <shopper_id>,
""merchantTokenId"": """",
""amount"": ""10.00"",
""order_id"": <order_id>,
""merchant_id"": <merchant_id>,
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""to"",
""address"": {
""house_number"": ""10"",
""flat"": ""11"",
""address1"": ""10"",
""address2"": ""11"",
""postcode"": ""NN178YG""
},
""avs"": {
""house_number"": ""11, 10"",
""postcode"": ""NN178YG""
},
""AddressOnFile"": [
{
""AvsHouseNumber"": ""11, 10"",
""AvsPostcode"": ""NN178YG""
}
],
""cvv"": ""<cvv>"",
""email"": ""<email>""
}'

curl --location 
'https://stage.datmanpay.com/api2.php?action=wallet_payment' \
--header 'api_token: <api_key>' \
--header 'Content-Type: application/json' \
--header 'qa-auth: <qa_auth>' \
--data-raw '{
""order_id"": ""331387047"",
""shopper_id"": ""<shopper_id>"",
""amount"": ""10.00"",
""host"": ""google.com"",
""merchant_id"": ""<merchant_id>"",
""WebhookUrl"": ""https://54602f6a156431a177c223aa5bd34f1b.m.pipedream.net"",
""first_name"": ""QA"",
""last_name"": ""Testing"",
""email"": ""<email>"",
""address"": {
""house_number"": ""10"",
""flat"": ""Make It Mobile"",
""address1"": ""Sanderson Street"",
""address2"": ""Sheffield"",
""postcode"": ""NN178YG""
},
""avs"": {
""house_number"": ""Make It Mobile, 10"",
""postcode"": ""NN178YG""
}
}'

<AWS ECS logs URL>","Wallet recharge:

1. Use the cURL from test data - pass the valid values and process the API 
request

2. Verify able to see the request processed without any issue

Wallet payment:

1. Using the same order id from the previous steps, process the cURL 
request from the test data

2. Verify able to see the request processed without any issue

Verify the logs in metadata in AWS","Wallet recharge should be successful in response we should get outcome as 
success, status code should be updated as 200.

Wallet payment should be successful in response we should get outcome as 
success, status code should be updated as 200.

OMT Reference should be shown  in metadata in AWS logs",wallet_api;wallet_recharge;wallet_payment;cardstream_ch;region_ch;,P1,Can't be automated,US,NA,NA
WALLET,cardstream_ch_wallet,AP-T1439,AP-T1439,W2C - Process wallet to card for multiple partial refunds - Cardstream-CH,"- Merchant in US configured
- Cardstream-CH payment gateway enabled
- Customer has wallet balance available",nan,"Cardstream-CH Sale - New card/Saved card/Express 
checkout/Wallet+X/Gpay/Apple pay
1. Using the given build and apt script/request according to the sale mode 
and make sure to use the valid values to complete the transaction

2. Once the sale is completed, verify the entry is added in the Payments 
table and Checkout-HF dashboard as expected

1. Use the refund API request from the test data to process the PARTIAL 
refund for the transaction processed

2. Make sure to pass the destination value as ""WALLET"" so that the 
transaction will be refunded to wallet

3. Verify the entry has been added in the payments table for the refund 
initiated

4. Verify able to see the entry added in the transaction_wallet table for 
the wallet refund initiated. Verify the withdrawal_status column value for 
the wallet refund entry

Hit the partial refund  API multiple times and perform W2C for all the 
multiple refunds made to wallet 
Verify the entry in transaction_wallet table post performing multiple 
refund

Hit the wallet_balance API and verify the total balance post Wallet to Card","The sale should be processed as expected and entries should be available in 
payments table and MMS without any issue

1. The wallet refund should be processed without any issue and the entries 
should be added in the respective tables as expected

2. withdrawal_status column value should be updated as 1

1. The wallet refund should be processed without any issue for all the 
remaining  partial wallet refunds and the entries should be added in the 
transaction_wallet  table as expected
2. withdrawal_status column value should be updated as 2 for all the 
partial refund to card entries
3. transaction_type_id column value should be updated as 9 for all the 
partial w2c entries

Wallet_balance should be updated post W2C API is hit.",wallet_api;wallet_to_card;cardstream_ch;refund;region_ch;,P1,Automated,US,NA,"CH_WA_TC_001, CH_WA_TC_012, CH_WA_TC_013, CH_WA_TC_014, CH_WA_TC_015"
WALLET,cardstream_ch_wallet,PS-CSCH-WP,PS-CSCH-WP-001,Cardstream-CH Wallet - Split Commission - Global Split Type Sale Succeeds,"- Merchant in US configured
- Cardstream-CH payment gateway enabled
- Customer has wallet balance available","split_fee: [{type_id: ex 3, value_type: 'amount', value: 2.50}]
Note: Global split types (IDs 1-8, 11, 100) can be used across all providers. New global splits can also be created via FH API token.","1. Process a Wallet sale with a global split type (ex: type_id=3 'Delivery Fee Restaurant') in the split_fee payload.
2. Complete the payment successfully.
3. Verify the sale is successful with transaction_status_id=1.
4. Query payments_split_commission table for the split entry.
5. Verify the commission amount matches the split_fee payload.","1. Sale succeeds with global split type ✓
2. payments_split_commission table contains entry with commission_type_id matching the split used ✓
3. commission_amount = 2.50 as per payload ✓
4. split_payment_flag=1 in payments table ✓
5. All global split types are usable across all providers (Cardstream, Checkout.com, Spreedly, Adyen) ✓",wallet_api;split_commission;cardstream_ch;region_ch;,P1,Automated,US,NA,"CH_WA_TC_030, CH_WA_TC_031"
WALLET,cardstream_ch_wallet,PS-CSCH-WP,PS-CSCH-WP-002,Cardstream-CH Wallet - Split Commission - Invalid Split Type ID Rejected,"- Merchant in US configured
- Cardstream-CH payment gateway enabled
- Customer has wallet balance available","split_fee: [{type_id: 9999, value_type: 'amount', value: 2.50}]
Note: Only valid global split type IDs (ex: 1-8, 11, 100) or newly created splits via API are accepted. Partner-specific merchants (FASTFOOD/EDININGEXPRESS) transact through Adyen only.","1. Process a Wallet sale with an invalid/non-existent split type_id (ex: type_id=9999) in the split_fee payload.
2. Verify the transaction is rejected before authorization.
3. Confirm no payments_split_commission entry is created.
4. Verify no payment record is created.","1. Sale is rejected ✓
2. API responds with error: 'invalid type id' ✓
3. No payments_split_commission record created ✓
4. No payment record created ✓
5. Only valid split type IDs from split_commission_types table are accepted ✓",wallet_api;split_commission;cardstream_ch;negative_test;region_ch;,P1,Automated,US,NA,"CH_WA_TC_032, CH_WA_TC_051, CH_WA_TC_052"
WALLET,cardstream_ch_wallet,PS-CSCH-WP,PS-CSCH-WP-003,Cardstream-CH Wallet - Split Commission - Soft-Deleted Split Type (delete_status=0) Blocks Sale,"- Merchant in US configured
- Cardstream-CH payment gateway enabled
- Customer has wallet balance available","split_fee: [{type_id: <soft_deleted_split_id>, value_type: 'amount', value: 2.50}]
Precondition: Use DELETE API on an existing split type → verify delete_status=0 in split_commission_types table","1. Use the DELETE API to soft-delete an existing split type (sets delete_status=0 in split_commission_types table).
2. Verify the split_commission_types table shows delete_status=0 for the deleted split type.
3. Process a Wallet sale using the soft-deleted split type_id in the split_fee payload.
4. Verify the transaction is rejected before authorization.
5. Confirm no payments_split_commission entry is created.","1. DELETE API successfully soft-deletes the split type ✓
2. split_commission_types table shows delete_status=0 for the target split ✓
3. Sale using soft-deleted split type is rejected ✓
4. API responds with error: 'invalid type id' ✓
5. No payments_split_commission record created ✓
6. No payment record created ✓",wallet_api;split_commission;cardstream_ch;negative_test;region_ch;,P1,Automated,US,NA,CH_WA_TC_053
WALLET,cardstream_ch_wallet,PS-CSCH-WP,PS-CSCH-WP-004,Cardstream-CH Wallet - Split Commission - Updated Split Type via API Used in Sale Succeeds,"- Merchant in US configured
- Cardstream-CH payment gateway enabled
- Customer has wallet balance available","split_fee: [{type_id: <updated_split_id>, value_type: 'amount', value: 3.00}]
Precondition: Use Update API to modify an existing split type → verify updated values in split_commission_types table","1. Use the Update API to modify an existing split type (ex: update name or value).
2. Verify the split_commission_types table reflects the updated values.
3. Process a Wallet sale using the updated split type_id in the split_fee payload.
4. Complete the payment successfully.
5. Query payments_split_commission table for the split entry.
6. Verify the commission entry reflects the updated split type.","1. Update API successfully modifies the split type ✓
2. split_commission_types table reflects updated values ✓
3. Sale with updated split type succeeds with transaction_status_id=1 ✓
4. payments_split_commission table contains entry with updated commission_type_id ✓
5. commission_amount = 3.00 as per payload ✓
6. split_payment_flag=1 in payments table ✓",wallet_api;split_commission;cardstream_ch;region_ch;,P1,Automated,US,NA,"CH_WA_TC_049, CH_WA_TC_050"
WALLET,wallet_payment,WP-01TC,CSH-WP-01TC001,Wallet Payment - End to End with Sufficient Balance,"""- Merchant in US (<country_id>) configured
- Customer has wallet balance available
- Wallet payment enabled
- Fund transfer configured (Datman to Merchant)""","""- Refer Git repository
- Email: <email>
- Country: US
- Currency: CHF
- Customer ID: valid
- Wallet balance: CHF 100.00
- Payment amount: CHF 50.00
- Merchant ID: configured for wallet
- Fund transfer account: active""","""1. Verify customer wallet balance: CHF 100.00

2. Navigate to payment page

3. Select wallet payment method

4. Enter payment amount: CHF 50.00

5. Confirm payment

6. Payment processed from wallet

7. Verify payment success

8. Check wallet balance deduction

9. Verify wallet history entry

10. Check database entries

11. Verify fund transfer (Datman → Merchant)

12. Validate all DB tables updated""","""1. Payment SUCCESSFUL from wallet ✓

2. Wallet balance validation:
-> Initial balance: CHF 100.00
-> Payment amount: CHF 50.00
-> Final balance: CHF 50.00 ✓
-> Deduction: Correct

3. Database - transaction_wallet:
-> transaction_id: generated
-> customer_id: [provided]
-> transaction_type: 'payment' or 'debit'
-> amount: -50.00 (negative = debit)
-> currency: 'CHF'
-> payment_id: [linked payment]
-> status: 'completed'
-> created_at: timestamp ✓

4. Database - transaction_wallet:
-> customer_id: [provided]
-> currency: 'CHF'
-> balance: 50.00 (updated) ✓
-> previous_balance: 100.00
-> last_updated: timestamp

5. Database - payments:
-> payment_id: generated
-> customer_id: [provided]
-> amount: 50.00
-> currency: 'CHF'
-> transaction_status_id: 1 (success)
-> wallet_transaction_id: [linked]
-> created_at: timestamp ✓

6. Wallet history visible:
-> Transaction: Payment
-> Amount: -CHF 50.00
-> Balance after: CHF 50.00
-> Date/Time: [timestamp]
-> Description: ""Payment for order #[order_id]""
-> User can view in wallet dashboard ✓

7. Fund transfer (Datman → Merchant):
-> Transfer initiated: YES ✓
-> Transfer amount: CHF 50.00
-> From account: Datman wallet pool
-> To account: Merchant settlement account
-> Transfer status: 'completed' or 'pending'
-> Settlement batch: included

8. Database - fund_transfer_transactions:
-> transfer_id: generated
-> payment_id: [linked]
-> transfer_type: 'merchant_settlement'
-> amount: 50.00
-> currency: 'CHF'
-> from_account: 'datman_wallet'
-> to_account: 'merchant_[merchant_id]'
-> status: 'completed'
-> initiated_at: timestamp
-> completed_at: timestamp ✓

9. Database - fund_transfer_transactions:
-> settlement_id: generated
-> merchant_id: [provided]
-> payment_id: [linked]
-> amount: 50.00
-> currency: 'CHF'
-> wallet_funded: 1 ✓

10. All DB entries consistent:
-> transaction_wallet ↔ payments: Linked ✓
-> payments ↔ fund_transfer_transactions: Linked ✓
-> fund_transfer_transactions ↔ fund_transfer_transactions: Linked ✓
-> All amounts match: CHF 50.00 ✓
-> All timestamps logical ✓

11. End-to-end flow complete:
-> Payment processed ✓
-> Wallet debited ✓
-> History updated ✓
-> Fund transfer executed ✓
-> Merchant credited ✓
-> All systems synchronized ✓""",wallet_payment;end_to_end;sufficient_balance;wallet_debit;fund_transfer;datman_to_merchant;wallet_history;database_validation;payment_success;region_ch;currency_chf;cardstream_ch;,P1,Automated,US,NA,"CH_WA_TC_003, CH_WA_TC_037"
WALLET,wallet_payment,WP-01TC,CSH-WP-01TC002,Wallet Payment - Insufficient Balance (Payment > Balance),"""- Merchant in UK configured
- Customer has limited wallet balance
- Wallet payment enabled
- Insufficient funds handling configured""","""- Email: <email>
- Country: US
- Currency: CHF
- Wallet balance: CHF 30.00
- Payment amount: CHF 50.00 (EXCEEDS balance)
- Difference: CHF 20.00 shortfall""","""1. Verify wallet balance: CHF 30.00

2. Attempt payment: CHF 50.00

3. System checks balance

4. Insufficient funds detected

5. Verify payment FAILS

6. Check error message

7. Verify wallet balance unchanged

8. Check database entries""","""1. Payment FAILED - insufficient wallet balance

2. Balance validation:
-> Required: CHF 50.00
-> Available: CHF 30.00
-> Shortfall: CHF 20.00
-> Status: INSUFFICIENT ✗

3. Error response:
-> HTTP 400 (Bad Request) or 402 (Payment Required)
-> Error: ""Insufficient wallet balance""
-> Message: ""Your wallet balance (CHF 30.00) is insufficient for this payment (CHF 50.00)""
-> Shortfall displayed: ""You need CHF 20.00 more""
-> User prompted to top up wallet

4. Database - transaction_wallet:
-> Balance: CHF 30.00 (UNCHANGED) ✓
-> No deduction made
-> Balance preserved

5. Database - transaction_wallet:
-> NO new transaction created ✓
-> OR transaction with status: 'failed'
-> Reason: 'insufficient_balance'

6. Database - payments:
-> payment_id: may be created
-> transaction_status_id: 3 (failed) or 7 (declined)
-> failure_reason: 'insufficient_transaction_wallet'
-> amount: 50.00
-> No wallet_transaction_id (NULL)

7. No fund transfer:
-> NO fund transfer initiated ✓
-> No entry in fund_transfer_transactions table
-> Merchant NOT credited
-> Datman wallet unchanged

8. User experience:
-> Clear error message
-> Current balance shown: CHF 30.00
-> Required amount shown: CHF 50.00
-> Option to:
  * Top up wallet (recharge)
  * Use different payment method
  * Reduce order amount

9. Wallet balance unchanged ✓

10. No merchant settlement ✓

11. Payment gateway:
-> Payment attempt logged
-> Failure reason recorded
-> Analytics: Insufficient balance event""",wallet_payment;insufficient_balance;payment_failed;balance_exceeded;insufficient_funds;error_handling;no_deduction;negative_test;region_ch;currency_chf;cardstream_ch;,P1,Automated,US,NA,CH_WA_TC_003
WALLET,wallet_payment,WP-01TC,CSH-WP-01TC003,Wallet Payment - Currency Validation - CH Region (CHF),"""- Merchant in US (<country_id>)
- Customer has CHF wallet balance
- Currency-specific wallet
- Region validation enabled""","""- Email: <email>
- Country: US
- Payment currency: CHF
- Wallet balance CHF: CHF 100.00
- Wallet balance CHF: CHF 0.00 (if exists)
- Wallet balance CHF: CHF 0.00 (if exists)
- Payment amount: CHF 50.00""","""1. Verify customer in UK region

2. Check wallet balances by currency

3. Confirm CHF balance: CHF 100.00

4. Attempt payment in CHF: CHF 50.00

5. Verify correct currency wallet used

6. Process payment

7. Verify CHF wallet debited

8. Confirm other currency wallets unchanged

9. Check database entries""","""1. Payment SUCCESSFUL - correct currency used ✓

2. Currency validation:
-> Payment region: UK
-> Payment currency: CHF ✓
-> Wallet currency available: CHF ✓
-> Match: YES ✓

3. Database - transaction_wallet (CHF):
-> customer_id: [provided]
-> currency: 'CHF'
-> Deduction: 50.00 ✓

4. Database - transaction_wallet (CHF) - UNCHANGED:
-> customer_id: [provided]
-> currency: 'CHF'
-> balance: 0.00 (unchanged) ✓
-> No cross-currency usage

5. Database - transaction_wallet (CHF) - UNCHANGED:
-> customer_id: [provided]
-> currency: 'CHF'
-> balance: 0.00 (unchanged) ✓
-> No cross-currency usage

6. Database - transaction_wallet:
-> transaction_id: generated
-> currency: 'CHF' ✓
-> amount: -50.00
-> Region matched: UK ✓

7. Database - payments:
-> currency: 'CHF' ✓
-> amount: 50.00
-> <country_id> (UK)
-> Payment processed in correct currency

8. Region-currency validation:
-> UK requires: CHF ✓
-> CHF wallet used: YES ✓
-> Cross-currency blocked: N/A
-> Correct currency enforcement ✓

9. Fund transfer:
-> Amount: CHF 50.00 (CHF)
-> Currency: CHF ✓
-> Merchant receives: CHF
-> No currency conversion

10. Important: Cross-currency NOT allowed:
-> Cannot use CHF wallet for CHF payment ✗
-> Cannot use CHF wallet for CHF payment ✗
-> Only CHF wallet for UK payments ✓""",wallet_payment;currency_validation;region_ch;currency_chf;correct_currency;multi_currency;currency_specific;payment_success;cardstream_ch;,P1,Automated,US,NA,CH_WA_TC_003
WALLET,wallet_payment,WP-01TC,CSH-WP-01TC004,Wallet Payment - Currency Validation - CH Region (CHF) - Cross-region check,"""- Merchant in US (<country_id>)
- Customer has CHF wallet balance
- May have CHF balance but cannot use
- Currency-region enforcement""","""- Email: <email>
- Country: US
- Payment currency: CHF
- Wallet balance CHF: CHF 100.00
- Wallet balance CHF: CHF 50.00 (exists but cannot use)
- Payment amount: CHF 50.00""","""1. Customer in US region

2. Check wallet balances

3. Payment currency: CHF

4. Verify CHF wallet: CHF 100.00

5. Process payment: CHF 50.00

6. Confirm CHF wallet used (not CHF)

7. Verify CHF balance unchanged

8. Check database entries""","""1. Payment SUCCESSFUL - CHF wallet used ✓

2. Currency-region validation:
-> Payment region: US
-> Required currency: CHF ✓
-> Wallet currency used: CHF ✓
-> CHF wallet: Available but NOT used ✓

3. Database - transaction_wallet (CHF):
-> currency: 'CHF'
-> Deduction: CHF 50.00 ✓

4. Database - transaction_wallet (CHF) - UNCHANGED:
-> currency: 'CHF'
-> balance: 50.00 (unchanged) ✓
-> Cross-region restriction enforced ✓

5. Database - transaction_wallet:
-> currency: 'CHF' ✓
-> amount: -50.00
-> Description: Payment in US

6. Database - payments:
-> currency: 'CHF' ✓
-> <country_id> (US)
-> amount: 50.00

7. Cross-currency prevention:
-> System validates: US requires CHF
-> CHF wallet exists: CHF 50.00
-> But CHF NOT used for US payment ✓
-> Correct currency enforcement

8. Region-specific rules:
-> US payments: CHF only
-> UK payments: CHF only
-> AU payments: CHF only
-> No cross-currency allowed ✓""",wallet_payment;currency_validation;region_ch;currency_chf;cross_currency_prevention;multi_currency;payment_success;cardstream_ch;,P1,Automated,US,NA,CH_WA_TC_003
