Module,Submodule,Parent ID,Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,AP-T277,CARDSTREAM-CH - Collection Express pay - Empty/Invalid AVS - US,"- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- AVS validation rules are configured for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
curl --location '<ws1_api_endpoint> \
--header 'Content-Type: application/json' \
--header 'api_token: <api_token>' \
--header 'Cookie: __cfduid=<cfduid>' \
--data-raw '{
""order_id"": <order_id>,
""merchantTokenId"": ""<master_token>"",
""amount"": ""10.00"",
""customer_id"": ""<customer_id>"",
""WebhookUrl"": ""<webhook_listener_url>
""host"": ""google.com"",
""merchant_id"": <merchant_id>,
""provider"": ""FH"",
""first_name"": ""QA"",
""last_name"": ""Testing"",
""sending"": ""collection"",
""address"": {
""house_number"": ""6"",
""flat"": ""asdf"",
""address1"": ""6"",
""address2"": ""asd"",
""postcode"": ""NN178YG""
},
""avs"": {
""house_number"": ""6"",
""postcode"": ""NN178YG""
},
""AddressOnFile"": [

],
""cvv"": 356,
""email"": ""<test_email>""
}'","1. Use the cURL available in the test data to process the Collection 
express pay transaction

2. Make sure to use the merchant id belonging to US

3. Verify the request is processed without any issue
1.

a) Process the same cURL request and make sure to remove the AVS values in 
the payload

b) Process the same cURL request where the AVS values are invalid in 
payload

c) Process the same cURL request where the master token used in the request 
has invalid AVS values

d) Process the same cURL request where the master token used in the request 
has empty AVS values

2. Verify the transaction is processed without any issue



is processed without any issue","The request should be processed without any issue for the collection order 
and entry should be added in the database
The transaction should be processed without any issue as the postcode 
validation is not required for the country US
The transaction should be processed without any issue",Automated,P2,Automated
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,AP-T1346,CARDSTREAM-CH : Express Pay Sale -  Validation of OMT reference in metadata,"- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>","Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used
Verify the values in the payments table
Verify the OMT reference in metadata in AWS logs ","The payment should be processed without any issue
The entry should be updated successfully.
a) Transaction-status-id as 1
b) Payment-provider-id as 3
c) Transaction-mode-id as1
d) Transaction-method-id as 4


OMT Reference should be shown  in metadata in AWS logs ",Can't-be-automated,P2,Can't-be-automated
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,AP-T1529,CARDSTREAM-CH - Verifying the response based on CVV checks on merchant level (E2E) (cloned),- Ensure the MID is pointed to Cardstream-CH,"Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>","Datman Merchant
 
Pick a merchant which is pointing to ""CARDSTREAM""  provider and enable the 
cvv_check column to 0 
Try to initiate a Express-pay sale by passing the below and verify the API 
response.
a) Invalid CVV
b) Empty CVV 
c) Remove the CVV attribute
d) Valid CVV
Verify the same entries in 
a) DB 
b) Dashboard 
Verify the same in Cloud-watch
Try to initiate a below sale by passing invalid CVV 
a) New card 
b) Saved card 
c) G-pay 
d) apple-pay 
e) WAR 3DS 
Now , Enable the toggle to 1 and verify all the above scenarios and verify 
the response
Pass the empty values in cvv_checks column and verify the default value 
which is getting updated ","User should able to disable the cvv_check 
User should able to see the api response is getting success for all the 
cvv's as we have disabled the CVV checks.
User should able to see the txn status as success
User should able to see the response as per the cvv checks and no 
exceptional errors should be there.
User should able to see the sale is getting declined as the toggle is only 
for EP and WAR.
User should able to see the response according to the existing checks.
User should able to see the default value as 1.",invalid,P2,Manual
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,PS-CSCH-EP-001,Cardstream-CH Express Pay - Split Commission - Global Split Type Sale Succeeds,"- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: ex 3, value_type: 'amount', value: 2.50}]
Note: Global split types (IDs 1-8, 11, 100) can be used across all providers. New global splits can also be created via FH API token.","1. Process a Express Pay sale with a global split type (ex: type_id=3 'Delivery Fee Restaurant') in the split_fee payload.
2. Complete the payment successfully.
3. Verify the sale is successful with transaction_status_id=1.
4. Query payments_split_commission table for the split entry.
5. Verify the commission amount matches the split_fee payload.","1. Sale succeeds with global split type ✓
2. payments_split_commission table contains entry with commission_type_id matching the split used ✓
3. commission_amount = 2.50 as per payload ✓
4. split_payment_flag=1 in payments table ✓
5. All global split types are usable across all providers (Cardstream, Checkout.com, Spreedly, Adyen) ✓",Automated,P2,Automated
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,PS-CSCH-EP-002,Cardstream-CH Express Pay - Split Commission - Invalid Split Type ID Rejected,"- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: 9999, value_type: 'amount', value: 2.50}]
Note: Only valid global split type IDs (ex: 1-8, 11, 100) or newly created splits via API are accepted. Partner-specific merchants (FASTFOOD/EDININGEXPRESS) transact through Adyen only.","1. Process a Express Pay sale with an invalid/non-existent split type_id (ex: type_id=9999) in the split_fee payload.
2. Verify the transaction is rejected before authorization.
3. Confirm no payments_split_commission entry is created.
4. Verify no payment record is created.","1. Sale is rejected ✓
2. API responds with error: 'invalid type id' ✓
3. No payments_split_commission record created ✓
4. No payment record created ✓
5. Only valid split type IDs from split_commission_types table are accepted ✓",Automated,P2,Automated
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,PS-CSCH-EP-003,Cardstream-CH Express Pay - Split Commission - Soft-Deleted Split Type (delete_status=0) Blocks Sale,"- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: <soft_deleted_split_id>, value_type: 'amount', value: 2.50}]
Precondition: Use DELETE API on an existing split type → verify delete_status=0 in split_commission_types table","1. Use the DELETE API to soft-delete an existing split type (sets delete_status=0 in split_commission_types table).
2. Verify the split_commission_types table shows delete_status=0 for the deleted split type.
3. Process a Express Pay sale using the soft-deleted split type_id in the split_fee payload.
4. Verify the transaction is rejected before authorization.
5. Confirm no payments_split_commission entry is created.","1. DELETE API successfully soft-deletes the split type ✓
2. split_commission_types table shows delete_status=0 for the target split ✓
3. Sale using soft-deleted split type is rejected ✓
4. API responds with error: 'invalid type id' ✓
5. No payments_split_commission record created ✓
6. No payment record created ✓",Automated,P2,Automated
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,PS-CSCH-EP-004,Cardstream-CH Express Pay - Split Commission - Updated Split Type via API Used in Sale Succeeds,"- Ensure the MID is pointed to Cardstream-CH
- A valid master_token exists for the shopper in the master_token table
- Split commission configuration is active for the merchant
- Test environment is accessible and stable
- Valid test credentials are available","Payment method: Express Pay (Collection)
Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
Amount: 10.00 GBP
Merchant: <merchant_id> (Cardstream-CH merchant)
Merchant ID: <merchant_id>
Shopper ID: <shopper_id>
Webhook URL: <webhook_listener_url>
Redirect URL: <redirect_url>

Additional test data / cURL:
split_fee: [{type_id: <updated_split_id>, value_type: 'amount', value: 3.00}]
Precondition: Use Update API to modify an existing split type → verify updated values in split_commission_types table","1. Use the Update API to modify an existing split type (ex: update name or value).
2. Verify the split_commission_types table reflects the updated values.
3. Process a Express Pay sale using the updated split type_id in the split_fee payload.
4. Complete the payment successfully.
5. Query payments_split_commission table for the split entry.
6. Verify the commission entry reflects the updated split type.","1. Update API successfully modifies the split type ✓
2. split_commission_types table reflects updated values ✓
3. Sale with updated split type succeeds with transaction_status_id=1 ✓
4. payments_split_commission table contains entry with updated commission_type_id ✓
5. commission_amount = 3.00 as per payload ✓
6. split_payment_flag=1 in payments table ✓",Automated,P2,Automated
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,CS-CSCH-EP-TC001,CARDSTREAM-CH - Express pay Sale - Expired Token Handling - System expired token,"- Merchant pointed to Cardstream-CH

- Customer has token that expired in system

- Token expiry date passed

- Valid customer_id","Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- merchantTokenId: expired token ID from system

- customer_id: valid customer ID

- Token expired_at date in past

- All mandatory fields","1. Verify token exists in system with expired_at date in past

2. Process Express pay API request using expired token

3. System validates token status

4. Verify token expiry check

5. Check error response","1. Token validation:

-> System checks token table
-> token.expired_at < current_date
-> Token marked as expired

2. API returns error response:

HTTP Status: 400 Bad Request

Response:
{
    ""outcome"": ""failed"",
    ""message"": ""Token has expired. Please use a valid token."",
    ""code"": 4001
}

3. Database verification:

-> gateway_request_log - request logged with expired token
-> payments table - NO entry created (transaction blocked)
-> No webhook sent

4. Transaction does not proceed

5. User/merchant notified to update payment method

6. Token status remains expired in database","express_checkout_token;
express_checkout_cardstream_ch;
expired_token;
negative_test;
",P1,Prod monitoring
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,CS-CSCH-EP-TC002,CARDSTREAM-CH - Express pay Sale - Inactive Token Handling - Deactivated token,"- Merchant pointed to Cardstream-CH

- Customer has token that was deactivated

- Token status = inactive/disabled

- Valid customer_id","Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- merchantTokenId: inactive/deactivated token ID

- customer_id: valid customer ID

- Token status: inactive or is_active = 0

- All mandatory fields","1. Verify token exists with status = inactive or is_active = 0

2. Process Express pay API request using inactive token

3. System validates token status

4. Verify inactive token rejection

5. Check error response","1. Token validation:

-> System checks token table
-> token.status = 'inactive' OR token.is_active = 0
-> Token marked as inactive/disabled

2. API returns error response:

HTTP Status: 400 Bad Request

Response:
{
    ""outcome"": ""failed"",
    ""message"": ""Token is inactive. Please use an active token."",
    ""code"": 4002
}

3. Database verification:

-> gateway_request_log - request logged with inactive token
-> payments table - NO entry created
-> No processing with inactive token

4. Transaction blocked

5. Reasons for inactive token:
   - Manually deactivated by merchant
   - Customer requested deactivation
   - Security concerns
   - Multiple failed attempts

6. Customer must add new payment method","express_checkout_token;
express_checkout_cardstream_ch;
inactive_token;
negative_test;
",P1,Prod monitoring
Cardstream-CH,Cardstream-CH - Express pay,EXP-PAY,CS-CSCH-EP-TC003,CARDSTREAM-CH - Express pay Sale - Master token selection - UK with Checkout token (no Cardstream-CH/Cardstream),"- Merchant in UK (country_id: 1)

- NO Cardstream-CH or Cardstream tokens available

- Valid Checkout token available

- master_token_selection_priority: CHECKOUT-HF priority 1 for country_id 1","Merchant token: Fetch master_token from master_token table (provider=cardstream-ch)
- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- customer_id with Checkout token only

- Country: UK (country_id: 1)","1. Process API request for UK merchant

2. System detects no Cardstream-CH or Cardstream tokens

3. System selects Checkout token from priority table

4. Hit API request

5. Verify transaction processes through Checkout","1. API returns 200 with Success and payment_id

2. Database verification:

-> payments - payment_provider_id(for Checkout), transaction processed through Checkout

-> master_token_selection_priority - CHECKOUT-HF verified for country_id 1

-> gateway_request_log - Checkout token used

3. Checkout dashboard shows transaction processed

4. Token selection cascades correctly to Checkout provider","express_checkout_token_priority;
express_checkout_checkout;
uk_checkout_fallback;
",P2,Pending
